galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.slope,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.point_0.centre.centre_0,galaxies.source.point_0.centre.centre_1,       log_likelihood,          log_prior,          log_posterior,                weight
             -0.014445177957241886,              -0.03915505021160679,                1.1848484912974142,      1.8620980060586632,                      0.1159161481722041,                     0.16305810183429856,       0.051697644291958944,        0.03173293042988314,                   0.041780803871868805,                   0.044908542801767766,   -11.58769915183616,   1.10668428776843,    -10.481014864067731,4.5745414253532175e-10
              0.007374228723710824,            -0.0016232635932125804,                 1.210947621837692,       2.044750389940027,                     0.10724281488208129,                      0.1444116378443321,       0.034602735721387994,        0.02273340763683504,                   0.056240507004136284,                    0.06867623770597073,   -11.41080411638041, 1.2023285279981688,     -10.20847558838224,  5.45974177271529e-10
              0.003492046066931732,             -0.015472942092222476,                1.2237779935499433,       2.014042329881004,                     0.11296636729416748,                     0.16280867064199697,       0.043982846347592024,       0.025050107927779643,                    0.05805320292111911,                    0.05983730424941377,  -11.966931351195385,  1.233456373461571,    -10.733474977733813,3.1307552189236897e-10
            -0.0027003742203016434,               -0.0024446229010767,                1.1734246948637153,      1.8898754968143663,                     0.11547969530585894,                      0.1432003162361492,       0.047354443969894994,        0.03862312588482485,                   0.043147272937644775,                    0.06178568764489526,   -9.994216086352287, 1.1541026645348416,     -8.840113421817446,2.2510672369636647e-09
             0.0025297107201260817,             -0.005149177334618487,                1.2286599398892286,       2.120568823472445,                     0.12256951111734306,                     0.14015977944079988,       0.013834235715030029,        0.01952387838450768,                    0.06221247478583501,                    0.07739013583178471,  -10.284150049623003, 0.9855209721392972,     -9.298629077483707,1.6845028369746336e-09
                0.0130542777361406,             0.0054371835317932144,                1.2128821547625752,       2.102656210421204,                     0.10976389767968564,                      0.1482889653918665,       0.029331728526501972,        0.01866129803510878,                    0.06547907480389095,                    0.07656653113875281,  -11.212223174410001, 1.0807719182639097,    -10.131451256146091, 6.659087320744296e-10
             -0.005271007833771966,              0.007115815927888865,                1.2141725927434814,      2.0770815932252904,                     0.12192697528193829,                     0.12900595258331807,       0.019401786304390035,       0.027065958803698987,                    0.04723730144307283,                    0.07923648355794329,  -12.152072341063528, 1.1321111447617977,     -11.01996119630173,2.6016172466084395e-10
             -0.004312417236007167,             0.0032539427991173917,                1.2309143272684933,       2.109308966919941,                      0.1217619408274592,                     0.14279246389178296,        0.01623418305102082,        0.02153831471739516,                   0.054740372169964385,                    0.08596704440052566,  -11.802437699434615,  1.025320134142588,    -10.777117565292027,3.6905219990686775e-10
             -0.014883880848098822,            -0.0005284270153000984,                1.1982240440427938,       1.952933517409639,                     0.11591656964080957,                     0.13270415221047455,        0.03485343822497233,        0.03555432280752867,                   0.031230975206707492,                    0.06666780633592477,  -10.596770704962369,  1.239752753581434,     -9.357017951380934,1.2322599148275862e-09
             0.0012564764620071913,              -0.00779907167244583,                 1.220610501126464,       2.037666276350413,                     0.12606658769939239,                     0.17022525843811506,        0.04369598111609806,        0.03164309037577438,                   0.058515669522074557,                    0.06596759681463119,   -9.533815883499921, 1.1996234063245872,     -8.334192477175334,3.5672844003055922e-09
             -0.014052513218858576,             -0.015117707456345704,                 1.202159582632468,      1.9358111571986067,                      0.1337650425191913,                     0.15816056477258084,       0.042780915217237314,        0.04303621184831814,                    0.04031674058836059,                    0.06627383578072968,  -13.015265095676058, 1.2237509227625065,    -11.791514172913551,1.0973964546635608e-10
             -0.001173144029042476,              0.006786355855393389,                1.2107872760292917,       2.032065230015002,                      0.1491677182329603,                     0.14528354524595272,        0.02701004008183557,        0.04682812548697987,                     0.0525716107058615,                    0.08167896480419139,  -12.463624434735584, 1.2219604758658376,    -11.241663958869747, 1.905188923131134e-10
             -0.005052252587236768,             0.0074575939014897095,                1.2329112165973115,      2.0856300278403634,                     0.13820955025989667,                     0.15244711311728262,       0.027651440917009808,        0.03569789605274146,                   0.050659933890614746,                     0.0831389434703242,  -12.326523451201762, 1.1065549300107846,    -11.219968521190978, 2.185144937812456e-10
              0.005279968621330083,              -0.01282113814731521,                1.1868978007396218,      1.9704762084923086,                     0.08707101371225286,                     0.14199992785665605,        0.04075992379983145,       0.015155521113573307,                    0.05138530784072413,                    0.05512294799559154,   -9.579809237561513, 1.2454615166893168,     -8.334347720872195, 3.406928935524801e-09
             -0.005656218596347288,             -0.004393422363922266,                1.1677879106693452,       1.879089030789198,                     0.11747412123892406,                     0.15619382217999572,       0.055269735720448625,       0.039960147664954225,                    0.04187685029103946,                     0.0611164417351522,   -9.329434289385514, 1.1454713765210476,     -8.183962912864466,  4.37622389565042e-09
              0.009547137773960913,              0.007997726685036106,                1.2235361041145731,      2.1840044398826532,                     0.07382361983571216,                     0.12962327158082534,       0.013004518120551353,      -0.005574363090007665,                   0.062494817315932226,                    0.08324107799572203,    -10.3055375178562, 0.8058964724056034,     -9.499641045450597,1.6488581199052323e-09
