galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,galaxies.lens.mass.einstein_radius,    log_likelihood,         log_prior,     log_posterior,                weight
             -0.002858109260339894,             -0.002209496946069119,                    -0.05106100823607835,                   0.0005263792105606761,        0.05027269320389821,       -0.04902570161361475,               -0.0018609752289849488,               -0.0010236200207912151,                       -0.10192337557660738,                       -0.03469313828349207,              1.284858624761101,                    0.0966668678042895,                0.8622967573196544,                1.6012235227830638,6482.2759234993355,1.4006726633078028, 6483.676596162643,1.6327080314774358e-10
           -0.00016153754180664947,            -0.0009685343167717708,                   -0.055961756516232024,                   0.0008587349703454975,        0.05143872171797581,      -0.051904339677033146,               -0.0011092943613262712,               0.00014294830507087476,                       -0.09080740144483655,                       -0.04438152438216016,             1.1933989793024435,                   0.10060719316309283,                0.9043543361302769,                1.6010788992061546,6482.6735790699395, 1.449134788080775, 6484.122713858021, 2.430010494045533e-10
           -0.00032003854190346424,             0.0008213647456189899,                    -0.05693694755120675,                   0.0014852062537562744,       0.049804219536310146,       -0.05302509008443396,                0.0004924210472881823,                -9.52229892429136e-05,                       -0.09685918898771007,                       -0.04456293250684596,             1.1947603813213523,                   0.09891162552782792,                0.9450201413570316,                1.5994081474805817, 6484.764405993149,1.4539444390673442,6486.2183504322165,1.9662681499585085e-09
            -0.0008011471657977549,            -0.0012613465094987433,                   -0.047894789812422046,                  -0.0038495852063216013,        0.04981853193122515,      -0.047392604235729996,              -0.00012787136244600303,               -0.0007421371925829685,                       -0.09116737537441591,                        -0.0686443235088244,             1.2646154851001885,                   0.09905186943209757,                0.8536001315371595,                1.5991070563857164, 6483.107764313811,1.4221811926102643,6484.5299455064205,3.7512188721779454e-10
             -0.001974593167872988,            -0.0002668257810204874,                    -0.05123484290790683,                  -0.0020888402278364643,        0.05053969219765808,      -0.049409300356783814,               -0.0004174373469368671,               -0.0002996511071652103,                       -0.09222341887207645,                      -0.043048785719960826,              1.188200171951591,                   0.10150738215291895,                0.8991054336818101,                1.6006038461323393, 6481.863994370476,1.4565333360114032, 6483.320527706487,1.0814588064555922e-10
            -0.0029088464489248544,              0.000629837723335803,                   -0.050195203808232385,                   -0.003234593840870635,        0.04911481932323403,       -0.04875892243869262,               -0.0016386455183015991,                0.0010814360731513915,                       -0.11927591266151748,                      -0.034581794666927096,              1.276198987453475,                   0.09811342388615402,                0.8895707191975445,                1.6012026161835784, 6483.142009409876,1.4274523851045275,  6484.56946179498, 3.881904624584784e-10
            -0.0008512198099450452,            -0.0009624318818530294,                    -0.05014584989146912,                    0.007550197069658193,         0.0530838336084235,       -0.04774130320401948,               -0.0013879853599013026,                0.0006635208628041542,                       -0.10618798203918978,                       -0.04926525758705916,              1.191156870168046,                   0.09839319067577743,                0.9960156951155634,                1.5997701489765046, 6484.138232184893,1.4732419839764102,  6485.61147416887,1.0512328285340013e-09
             -0.002593426642837893,            0.00017659415153564338,                   -0.052337149774702406,                   0.0037195020203890008,        0.05054016747543966,       -0.04946748450357491,                -0.001215846159306909,               -0.0002855124488539235,                       -0.10763889994255245,                      -0.028124643273193188,             1.2075881038881722,                   0.09703264495112722,                0.9646935221953201,                 1.602814410597939, 6483.843844585694, 1.453696280334723, 6485.297540866029, 7.831555048574381e-10
            -0.0006011704546903603,             -0.001316147593638028,                    -0.05484372316528388,                  0.00012154538711032355,        0.04935796536082604,      -0.050803376057879324,                0.0006842922665033867,               -0.0008261710568226959,                       -0.10564719165303398,                      -0.051295220225223294,             1.1596244871604833,                    0.0991723387548367,                1.0380675229678509,                1.5993127809001892, 6482.279987705215,1.4941596081668473, 6483.774147313382,1.6393571956918995e-10
             -0.001331330198193236,             0.0005917922292815518,                    -0.05364318366513812,                   -0.002201685873397043,        0.04900069789265521,       -0.05140476987517653,               -0.0010515321256229129,                0.0002911476014430222,                       -0.09662059914401638,                       -0.04911046509458796,             1.2005899927078316,                   0.10050149840204742,                0.9608509979018179,                 1.598791237920997,  6483.05307001343, 1.454071747865436, 6484.507141761296,3.5515584933870323e-10
            -0.0004903700582471067,             0.0011869655150070126,                    -0.04992613222030078,                   -0.003140094228734328,        0.04925644087199488,      -0.049717606042981366,                0.0006202568467765048,                0.0006631191583077987,                        -0.1027701011988646,                       -0.04579172472214387,             1.1709118285076208,                   0.10214808691349248,                0.9406299503213629,                1.6010317784832495, 6484.197701490888,1.4823305989165276, 6485.680032089805,1.1156452129083876e-09
             -0.001213691631177993,           -0.00012446505287543158,                    -0.04933084371870348,                    0.004272786255090474,        0.05201500161476574,      -0.048280434237888414,              -0.00016995981984298177,                0.0006658696313146671,                       -0.08701009847430317,                       -0.05413080117689907,             1.2049631319405303,                   0.09859235928027839,                0.9084454483507812,                1.5995134735780279, 6483.578263213697, 1.446480770312093,  6485.02474398401,  6.00492352144349e-10
            -0.0004335075330117994,            -0.0011027483127179385,                   -0.055582084862057936,                  -0.0006420088556481992,       0.050273227802428544,       -0.05188147546153746,                0.0008121579260909669,                -0.002101108644909061,                       -0.07522529318442545,                      -0.057678544052911875,             1.2351985047276008,                   0.09936647316451246,                 0.900298952652782,                1.5991374103968667, 6483.581335141129,1.4142252645714841,   6484.9955604057,1.9573588243773892e-10
             -0.002539987878608593,            -0.0001085431025555711,                    -0.04752331947236573,                    0.007840060513282177,        0.05299799921348258,       -0.04630827048671926,               -0.0010352548004850368,               -0.0009647049360592002,                       -0.10866241725145794,                        -0.0442714369051466,             1.1824356888341625,                   0.09779006395744334,                0.9863886922497299,                1.6019681227286298, 6484.230678629609,1.4814292597505818,  6485.71210788936, 3.746940028178227e-10
             0.0008466555099323795,             0.0001719388078986694,                    -0.05617623618422493,                   -0.009096644656708765,        0.04630975485952449,       -0.05263499790197379,                0.0005160329860778723,                0.0007041608855662013,                       -0.10288976651418882,                       -0.05084043634620662,             1.2649142577505206,                   0.09990824202412091,                0.8537760770906254,                1.5990198729895804, 6484.122022436744,1.4175752459993674, 6485.539597682744,3.3611504847005216e-10
            -0.0008817507483380748,              0.003584379839079488,                    -0.05251301988526988,                  0.00023019015145763952,        0.04999137487194644,       -0.04993680273092782,                0.0005781181229587708,                0.0037688592245110706,                        -0.0950168444847869,                       -0.05465959401337957,             1.2351889466123402,                   0.09727333242480313,                0.9330572063298452,                 1.600341737712194, 6483.757057335124,1.4335747440229696, 6485.190632079147, 2.333380839365557e-10
            -0.0012071074276947917,             -0.001174050153260613,                    -0.05325687430182547,                   0.0008215028567789264,        0.05008891007796257,      -0.049167565445796035,                -0.000988079771019237,                0.0005794778794593892,                       -0.10751961863897853,                       -0.04166035371880491,             1.2362491007695517,                   0.09832205714905058,                0.9134083915753377,                1.6005873823150085, 6483.082561076804,1.4389390717925914, 6484.521500148597,1.1886544600919462e-10
            0.00047645450490342226,              -0.00181410380690803,                    -0.05128122448085764,                     0.00484832986063189,       0.051932096391910654,      -0.048131843810373165,               0.00039803654041602855,               -0.0023638540490579715,                       -0.10775976403423727,                      -0.061188889676407704,             1.2225048212930383,                   0.09778113995795082,                0.9573285790262225,                1.6003351377800186, 6483.886800368862,1.4605581196713797, 6485.347358488533, 2.656637575029901e-10
            -0.0017687305986746683,             -0.001603618321543544,                     -0.0571709108727734,                    -0.00753822809316364,       0.047900022540599774,       -0.05326799035231439,               -0.0018662754915609392,               -0.0013544091172956777,                        -0.0835044814942016,                      -0.058546229076397345,             1.2862875623800092,                   0.09959333492448767,                0.8183191999412476,                1.6003755442557015, 6483.031795783468,1.3888385381620079,  6484.42063432163,1.1298181247841497e-10
            -0.0008652138114639195,             0.0021908954226058566,                    -0.05756617677602734,                  -0.0012558695951014787,        0.04899931035244115,       -0.05263294760739906,               0.00041743353338062855,                0.0022970251593130587,                       -0.10394360077732222,                      -0.045208934016371674,             1.1337272169852612,                   0.10162236008664664,                1.0098231585124722,                1.6013000563158244,  6484.70887812072, 1.507098945011638, 6486.215977065732, 6.044440992938592e-10
            -0.0012027996311066316,             0.0009469130235879603,                     -0.0573778056055342,                    0.009432440043396988,        0.05445178822314989,       -0.05238312697054079,               -0.0005887120881128857,                0.0004223151301151261,                       -0.09593434329872863,                       -0.05499244511753106,             1.1344095753815706,                   0.10102600108216755,                1.0161220985986716,                1.6021291770390593, 6483.022215489944, 1.502568012975749,6484.5247835029195,1.1190458188384534e-10
            0.00028260128017007974,             -0.001525002272828653,                   -0.059563364482379595,                  -0.0019829597897496453,        0.04935111129155795,       -0.05404608431367772,                0.0014665200734416846,               -0.0019942846830859774,                        -0.1038494161837796,                       -0.04619305123064705,              1.197711219560737,                   0.10056498241429082,                0.9189306560029878,                1.6014016074916495, 6483.747386662704,1.4589032664423893, 6485.206289929147,2.3109242378708105e-10
            -0.0009268503996059885,            -1.956847727046352e-05,                    -0.05493058951471948,                   -0.004539493439076865,       0.047275720891187034,       -0.05192754808660799,               -0.0013080425275447283,                0.0005306007668285963,                       -0.07348317141989208,                       -0.04671777228934632,              1.228788024568416,                   0.09939934538142874,                0.8831494763595289,                1.6004001422742284,6484.7643368011995,1.4108959652835655,6486.1752327664835, 6.389127298025443e-10
