galaxies.lens_0.mass.centre.centre_0,galaxies.lens_0.mass.centre.centre_1,galaxies.lens_0.bulge.centre.centre_0,galaxies.lens_0.bulge.centre.centre_1,galaxies.lens_0.bulge.ell_comps.ell_comps_0,galaxies.lens_0.bulge.ell_comps.ell_comps_1,galaxies.lens_0.bulge.intensity,galaxies.lens_0.bulge.effective_radius,galaxies.lens_0.bulge.sersic_index,galaxies.lens_0.mass.ell_comps.ell_comps_0,galaxies.lens_0.mass.ell_comps.ell_comps_1,galaxies.lens_0.mass.einstein_radius,galaxies.lens_0.shear.gamma_1,galaxies.lens_0.shear.gamma_2,galaxies.lens_1.mass.centre.centre_0,galaxies.lens_1.mass.centre.centre_1,galaxies.lens_1.bulge.centre.centre_0,galaxies.lens_1.bulge.centre.centre_1,galaxies.lens_1.bulge.ell_comps.ell_comps_0,galaxies.lens_1.bulge.ell_comps.ell_comps_1,galaxies.lens_1.bulge.intensity,galaxies.lens_1.bulge.effective_radius,galaxies.lens_1.bulge.sersic_index,galaxies.lens_1.mass.ell_comps.ell_comps_0,galaxies.lens_1.mass.ell_comps.ell_comps_1,galaxies.lens_1.mass.einstein_radius,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,log_likelihood,log_prior,log_posterior,weight
0.0628228661902043,0.0023666655522991,0.0806240300479995,0.0098301643640509,0.0633710577441811,-0.1261600060262482,0.0097135310449406,1.674560569997543,4.77895842952008,0.0681157068439837,-0.0898277792214605,1.7849851435476451,0.0075509620869103,0.0241849808870068,0.0182388252147484,5.138068665968835e-05,-0.0119509211439059,-0.0435381709349722,0.0988660046172987,0.2229662094308085,0.0075409877600568,0.3161957591526662,3.4022034014267524,0.1902316932220504,0.4926549859751939,3.708316889275757e-05,-0.1985328889676723,0.2629033552296406,0.3178553557316563,0.416145704018814,0.2438414086896788,0.125144413081407,1.409771729047332,31006.718226664503,239.8125587634385,31246.53078542794,0.0001
0.067764914871277,0.0038015710334377,0.0798327111243852,0.0104530397504285,0.0682340599882934,-0.1241705344815868,0.0101853392960381,1.633881937004982,4.701264727642682,0.0705494738537548,-0.0982132839882683,1.7889311225865578,0.0027223391265507,0.0252768858366426,-0.2418997956056524,-0.0664741066458653,-0.0118938509014224,-0.0439878299737216,0.1081522919452264,0.2014156649201257,0.011313662910307,0.2463732204673364,2.972516987697894,0.3864225110907037,-0.0269244193602001,0.0001695831894292,-0.1967735199442567,0.267111036329107,0.3435864450768984,0.3944722321990826,0.2525569904339032,0.1320875674743185,1.6235755491853423,31003.94054438462,194.60085702515408,31198.541401409773,0.0001
0.0614832277974745,0.0024852931155808,0.080274175745195,0.0098021273337762,0.0631250050240679,-0.1285238293415304,0.0086375282486742,1.8010160822641008,4.974201488229994,0.0677496440497918,-0.0904062664362527,1.7859782781470472,0.0071060375684249,0.0243487441963297,-0.1320360140159158,-0.0954412833207143,-0.0138957956384322,-0.0441409641307668,0.1098528423970993,0.2066203725125774,0.0093350364363396,0.2699394650371262,3.267184797303611,-0.2115210571193764,0.0681359416136189,5.6186760590160685e-05,-0.199383933578538,0.2629405175377186,0.3166485393253235,0.4020737239859576,0.2455499123469448,0.127031285255274,1.4545388288702563,31008.433481752814,229.79396592486236,31238.227447677677,0.0001
0.0610449219254459,0.0036233910342338,0.0780487129789512,0.0090142449765632,0.0642507395674998,-0.1249555588897347,0.010600904696426,1.589019475566141,4.655436860023293,0.0653688501191953,-0.0922354291731794,1.7849142162340106,0.00553979554238,0.0227201344172589,0.1212883478212839,0.0128886222772148,-0.0135640787293112,-0.0428197705529642,0.1106984686325078,0.2015468667244031,0.0074068680734638,0.3147270033712719,3.540223176660679,0.049157571514594,0.034475458032982,5.5533330690110954e-05,-0.1994582065414471,0.2643967482830945,0.3230405264240798,0.4401694155190781,0.2586719798883807,0.1281511222757383,1.6439756323869477,31003.763564857865,235.51350348456464,31239.27706834243,0.0001
0.0648578004299627,0.001307179599038,0.0775842924073038,0.0105876238263344,0.0703288900868572,-0.1311074033363906,0.0096596292221704,1.6839605031611464,4.757289336839844,0.0677296651999792,-0.0906115049700495,1.7843756618776525,0.0065718155532857,0.0222198876001572,9.7848205672227e-05,0.009734532456168,-0.0117536409820743,-0.0450538601698509,0.0979499871875538,0.2146365066006695,0.007227744710115,0.3208635676281935,3.4828161994012996,0.2937794039009128,-0.1733516493775145,0.0002450068404391,-0.1982150144970844,0.2638639800587831,0.3333492775625312,0.4064590181114286,0.250751904538479,0.1340053460037883,1.6714132790907366,30999.90267400364,246.91967373895545,31246.822347742596,0.0001
0.0622490865106407,0.0037193887639271,0.0792139238003294,0.0092700210542628,0.0647685202240024,-0.1299093222768189,0.0099714351148162,1.6392097401549584,4.76957735590447,0.0673716289605245,-0.0908188660119462,1.7861345297031113,0.0062119288909992,0.0241102077596446,0.0752226502649197,-0.0886271667969776,-0.013088629579796,-0.0427167878492895,0.0990961291960556,0.222887879394117,0.0068255614219395,0.3313923302153901,3.58962902766675,0.1548417875049167,-0.5295820132129462,0.000151683053179,-0.1992819856880562,0.2648453163838818,0.3095791467862056,0.4220067393450523,0.2440223869467318,0.1283636817567065,1.527213616586775,31009.230390111232,251.56031477141823,31260.79070488265,0.0001
0.0650335355374907,0.0007780958576166,0.0793208739782026,0.0081507430655874,0.0687040739429779,-0.1255289681999027,0.0080810562132603,1.8740878874546223,4.993507506471038,0.0657967793342401,-0.0916450841501314,1.7839955131845546,0.0058773673835156,0.0218522072965604,-0.0123951777040979,0.0874258337655254,-0.0113310286373361,-0.0464508549218696,0.1000040127863883,0.210268431556511,0.0099635740268088,0.2597289553550896,3.228543937303141,-0.1399083692830146,0.2380804907255902,2.358773499225349e-05,-0.1984095776438026,0.2636845775401838,0.3204828317865081,0.4147252173348273,0.2444048130683931,0.1205912633519487,1.358805046811778,31007.11700288983,229.89255877203556,31237.009561661867,0.0001
0.0623898043565188,0.0007178351430676,0.0778932975797186,0.0096124079137164,0.0620034995160092,-0.1310664998835106,0.009499385668651,1.704570926645253,4.820392208109454,0.0665703832532406,-0.0934190386732429,1.784526298840588,0.0044792037098923,0.0227932948148183,-0.1326373811068185,-0.1110239179439155,-0.0134716528862033,-0.0463287173473128,0.1048199316769475,0.222032612501923,0.0101053420737906,0.2588376519224293,3.2013947513329564,0.2506916554094758,-0.0520018379980083,0.0005887879941119,-0.1987665557784212,0.2639357185192876,0.3378760549913494,0.4233226465528871,0.2506116849981885,0.1322703898678957,1.6480724575456067,31007.378499619488,210.91415711155813,31218.29265673105,0.0001
0.0640962196488491,0.0034688899172934,0.0812356398922921,0.0081171113030138,0.0663979145631599,-0.1237636836254764,0.0107734896385075,1.5872353695295205,4.591981607833452,0.0691866410206833,-0.0862454120572317,1.7875443757437552,0.0097871059702304,0.026176319953106,0.0027234058575508,-0.1266989420765335,-0.0111934963253764,-0.0418523840203342,0.0864439919459967,0.2222242140809735,0.0071190304523089,0.3209889799121458,3.5364413853690806,0.1108894957925764,0.0649834052217402,0.0008010111073003,-0.1977261624181165,0.2634525138755945,0.3338110688102748,0.4164314349031337,0.259513661629943,0.1239717449530532,1.5570845441096963,30999.75845983711,239.51029519188484,31239.268755028996,0.0001
0.0644531065236113,0.0022390454495436,0.0793730349994818,0.0088591001070225,0.066027149788742,-0.1268201520036838,0.0096899457565894,1.6794778433595607,4.7618404203249955,0.065985628172906,-0.092639576558435,1.7856594685733178,0.0062408919917825,0.02266725493093,-0.0143328334348862,0.0380784077165042,-0.0120741685515148,-0.0442726335323813,0.1122803504111224,0.2143211875026091,0.0082285992969064,0.290366644718697,3.363938603227208,-0.3237927932925581,-0.4488973922191193,0.0001037826684458,-0.1982769320454267,0.2641791494359664,0.3499496619114462,0.4131183822848867,0.2588058705602553,0.129858077503316,1.6741733742468954,31003.923406532536,228.5651098394764,31232.488516372017,0.0001
