galaxies.lens.bulge.centre.centre_0,galaxies.lens.bulge.centre.centre_1,galaxies.lens.bulge.ell_comps.ell_comps_0,galaxies.lens.bulge.ell_comps.ell_comps_1,galaxies.lens.bulge.intensity,galaxies.lens.bulge.effective_radius,galaxies.lens.bulge.sersic_index,galaxies.lens.bulge.mass_to_light_ratio,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,    log_likelihood,         log_prior,     log_posterior,                weight
                0.08564847012570542,                0.01127086612985247,                      0.02025813405919245,                     -0.13828362880598202,         0.015359028743238513,                  1.4962459978753735,              3.5547224968406255,                     1.6457403265730162,       -0.03669686605580568,      -0.006228525018651496,                 -0.20392872369388296,                  -0.8642681086020554,                       -0.33967167784452146,                       -0.30182220260499465,            0.33239965785654385,                   0.24818624109426413,                1.3206583893496338, 22709.63960436677,  70.1532083594467,22779.792812726217,1.3820811240589598e-10
                0.08088117696655357,               0.009520594428752284,                       0.0258050461567086,                     -0.13664458808377433,         0.014210139487497987,                  1.5518224967739183,               3.716874045639604,                     1.5399051999396425,       -0.04491265642366801,       0.013915149338820149,                 -0.18878046958537492,                  -0.8732892973585992,                        -0.3772402846030157,                        -0.2841907859297633,            0.32854336038763526,                   0.24454189158843043,                  1.23939161347417, 22709.44491805823, 75.58087508096436,22785.025793139193,  1.13758104261493e-10
                0.08572220754003004,                 0.0141774476908722,                     0.024363621705843712,                     -0.13663541285196953,         0.015675251808016787,                  1.4830824451103872,              3.5536551209762077,                     1.5434311729088397,       0.009471300112354312,      -0.020978867687135205,                 -0.24415876031231634,                  -0.8307007122259419,                        -0.3265614627792693,                        -0.3392291579170705,            0.37502269225526697,                    0.2449522870149451,                 1.409816093768474,22709.529674561338, 68.20352944656865,22777.733204007905,1.2382023607099983e-10
                 0.0820447229857842,               0.011068615919632862,                     0.023632915674510962,                     -0.13793558747655424,         0.014539495383070604,                  1.5352497832004985,               3.689309586224563,                     1.5269954427387178,       -0.03862958928445213,      -0.019247557931420606,                 -0.23000786385374528,                  -0.8794133913499665,                        -0.3260452493913992,                       -0.27742705539775353,             0.3163977320947434,                   0.24837979684881598,                1.2655711849548559,22709.549052498063, 74.31921623566677, 22783.86826873373,1.2624301518791766e-10
                0.08402544186185533,               0.012371388274542152,                     0.020426496946061284,                     -0.13581013563677174,         0.014914681718678841,                  1.5236409203253218,               3.637298596844813,                     1.6302667675616187,       -0.01823283902891387,       -0.04934189322718996,                 -0.25370801633317236,                  -0.8618166688685356,                        -0.2766882204148653,                        -0.3136876825268911,             0.3558156252950029,                    0.2529726737070929,                1.4254582411061731, 22709.53566666145, 72.38413903267652,22781.919805694128,1.2456440666715614e-10
                0.08113763488784102,               0.011369528591156945,                     0.025350927964153867,                     -0.14602328279612886,         0.015421656422580273,                  1.4888166768952746,               3.646270922498676,                      1.610911399895187,       -0.04055261681232585,     -0.0057102230573148945,                 -0.21261720211217947,                  -0.8679718160617845,                         -0.339829294408374,                        -0.2909374921624095,             0.3464241583830663,                    0.2518100443854396,                1.3787062591403494, 22709.38785725706, 69.90314800666303,22779.291005263723,1.0744869742271689e-10
                0.08677677572211023,               0.014322316557207325,                      0.01909946065306247,                     -0.13287424496740632,         0.015796256380872495,                  1.4653280551307595,              3.5910688572394855,                     1.5432933747879565,      -0.016823259579200136,       -0.01908919048455977,                 -0.22887146613804338,                  -0.8528059075416496,                        -0.3094207274973699,                        -0.3211273333401902,            0.33163133630821123,                   0.25578653189097517,                1.2920549769830414,22709.804042258576, 68.26837734415768,22778.072419602733, 1.629100978789319e-10
                0.08300955514174622,               0.011819140177961046,                     0.016922579380458984,                     -0.13946111134861994,         0.015500504371117267,                  1.4918699754391258,               3.581352803777815,                     1.6671615222534837,      -0.026428755012615754,      -0.014809361009586847,                 -0.21529978524326762,                  -0.8513229777388476,                        -0.3165512127392062,                       -0.32981597700736615,             0.3349821401529961,                    0.2539102752755475,                 1.328895081243489,22709.838654957006, 69.38432206564846,22779.222977022655,1.6864757800367226e-10
                  0.085257611298482,               0.014179043794902604,                      0.02479547299600083,                     -0.13727314103927576,         0.015430640409008045,                  1.4912320764890852,              3.6052001342589124,                     1.6881383339973608,       -0.02957065475553691,        -0.0412596153528148,                 -0.24310409325571875,                  -0.8649116904931415,                        -0.2991670444435156,                       -0.32901291977466457,            0.35180169951406076,                   0.25804086349625677,                1.4372526425794803,22710.243489417706,  69.9934783833786,22780.236967801084, 2.528118815633752e-10
                 0.0810776009743156,                0.00781999730728979,                     0.024816827066889986,                     -0.13813865202884223,          0.01566783080329318,                   1.464901863712709,               3.608691801290001,                       1.52179803179068,      -0.012397027297744586,       0.014291399686592349,                 -0.19860341448957816,                  -0.8467897853504502,                        -0.3676371468592452,                       -0.30575234254063755,            0.33771178597322205,                     0.248694181967811,                1.3136389546194118, 22709.92683381807, 68.47569389245865, 22778.40252771053,  1.84194094194392e-10
