galaxies.source.pixelization.mesh.weight_power,galaxies.source.pixelization.mesh.weight_floor,galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,galaxies.source.pixelization.regularization.signal_scale,    log_likelihood,         log_prior,     log_posterior,                weight
                            0.9676240267756189,                        2.1805988836109307e-05,                                          0.03776874362069273,                                       0.00010296578032546013,                                     0.11633483758855978, 5641.261639203726, 55597.40277362991,61238.664412833634, 9.269801069947812e-10
                            1.0390426543121059,                            0.9138556581277629,                                       2.4893189865826135e-06,                                        2.784449754975313e-06,                                      0.6698709395851772, 5640.283083230867, 760854.7728023428, 766495.0558855736, 3.484086710682214e-10
                             1.031207165753871,                          0.001628330546593066,                                        0.0002813365285036327,                                        3.620028554831431e-05,                                    0.020632001071227313, 5639.708354378026,31792.679415225462, 37432.38776960349,1.9610442149318815e-10
                            1.0411119883233262,                           0.04457823834699823,                                         0.025017991305929934,                                       0.00035242763110885993,                                      0.6783593576192772, 5640.213525489766, 2899.865673465015,  8540.07919895478,3.2499779309267114e-10
                            0.9698333039027413,                         0.0006087501068851506,                                       2.4209818228359102e-06,                                          0.01547580676886617,                                      0.7568646504185443, 5640.164530329055,414762.88610431645, 420403.0506346455,3.0945826333098693e-10
                            1.0199041958000663,                          0.043727751971426095,                                        0.0035605368872573375,                                        0.0006938345641832215,                                      0.6972190189373667, 5639.086373769649,1744.9910517093924, 7384.077425479041,1.0528454862895119e-10
                             0.968110219502871,                           0.07342322949542875,                                       2.4330688484949935e-06,                                           0.9189746047943003,                                     0.25291601548485265, 5640.794934911635,411018.28491173574, 416659.0798466474, 5.812772361475685e-10
                            1.0494313771440078,                         0.0003171355704623008,                                       1.2811541349907014e-06,                                          0.19327674981053874,                                    0.007867251407438047,5639.4335768161945, 783704.6060229372, 789344.0395997535,1.4898858887056609e-10
                            0.6416865436465238,                        0.00011628782863115995,                                        0.0016481112931310282,                                         0.008440870859458566,                                     0.22418840816382646, 5651.970160247496,  9324.57857238443,14976.548732631925,1.4189639792636943e-05
                           0.10120252582541511,                         0.0002612121668150846,                                       0.00044668824670424486,                                           0.3056062644850156,                                     0.38456361962604213, 5647.239649094653, 6070.275591164576,11717.515240259228,1.2518044199885391e-07
                            0.2761307725631132,                        1.5423007115574946e-05,                                        0.0010137585249909728,                                         0.001272206057310482,                                      0.6692040671566032, 5650.458631718471, 66610.66309696232,  72261.1217286808,3.1298452963137335e-06
                            0.9482102444800006,                         0.0029851541623741244,                                          0.05144048331183294,                                       1.6339938194728802e-05,                                      0.4305583291642707, 5644.497855907238,61554.172905154985, 67198.67076106223, 8.068463317311441e-09
                            0.9912312334463236,                        4.9188189431763404e-05,                                          0.07705406287796018,                                         0.010016954483844638,                                     0.24887365994562638, 5641.518610132233,20442.892176443187, 26084.41078657542, 4.101293299904739e-10
                            0.8349211388336836,                          0.004240488707011753,                                          0.14677303198966263,                                        0.0010247983615273547,                                    0.058488414315847836, 5645.415472194981, 1218.436832511652, 6863.852304706633, 2.019791401972166e-08
                          0.037138832910024455,                           0.06615723235327431,                                       1.1493421796578005e-05,                                        0.0009384300901522216,                                      0.2187319140738584,  5642.92826375966, 88087.01586150248, 93729.94412526215, 1.679289684905529e-09
                            0.9842734402883185,                            0.5878730468042289,                                        2.327317503637118e-05,                                          9.8064849406222e-05,                                      0.6713779472562349, 5641.420828233444,53166.958116296286, 58808.37894452973,3.7192441575327473e-10
                            0.9128540576964019,                          0.005369587336507278,                                          0.11227653515379926,                                         0.018990628833946924,                                     0.13170731256039847, 5647.747425389587,247.79818182886459, 5895.545607218452, 2.079988451101166e-07
                           0.23328925100046194,                        0.00022854203222432573,                                       2.9184673531057516e-05,                                       0.00011627310579317064,                                      0.6381840614273935, 5652.152004015003, 47240.56394800833,52892.715952023325,1.7019434104940783e-05
                           0.06950341892641099,                           0.12256708985650248,                                          0.05392075205361253,                                        0.0054779677614201555,                                     0.18297529210273789, 5644.565704181017,209.25398199745678,5853.8196861784745, 8.634892988509166e-09
