galaxies.source.pixelization.mesh.weight_power,galaxies.source.pixelization.mesh.weight_floor,galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,galaxies.source.pixelization.regularization.signal_scale,    log_likelihood,         log_prior,     log_posterior,                weight
                           0.45715791760580704,                          0.015129001140209963,                                        6.998376602665581e-06,                                         0.013977305672478214,                                       0.813726296496538, 5593.501577838072, 143027.9238639965,148621.42544183455,1.7463817233404753e-07
                            1.3213830220861944,                         0.0027850074804279356,                                        0.0003299099110626247,                                          0.07187621439320156,                                      0.9709198650460865, 5595.108009474203,3404.1087904328597, 8999.216799907063, 8.705697505407147e-07
                            1.3199956303326927,                          0.010401562414945576,                                           0.0134275636972401,                                        0.0006057675964096933,                                     0.02066563314513803, 5595.224002318677,1821.4111814457867, 7416.635183764463, 9.776392407132873e-07
                            0.7143293542177411,                          0.032636902683213266,                                          0.02867498269159203,                                       0.00011716097318666005,                                      0.6200046439674131, 5597.806584642321, 8600.779161035924,14198.585745678243,1.2935400428281503e-05
                              1.26381011312958,                           0.12402484779543957,                                         0.046188194225622765,                                         0.021445449659040144,                                      0.5185184375319387, 5596.195651198614, 76.34339314773078, 5672.539044346345, 2.583213918190665e-06
                            0.5417151271022934,                           0.14936800393779448,                                        3.249272744106977e-05,                                          0.11372374977377653,                                      0.8263672239690809, 5597.048546872948,30791.605685435738, 36388.65423230868, 6.061334575082457e-06
                            1.1150315392699084,                         0.0013762076154187632,                                          0.20240711486411384,                                        1.547652848874496e-05,                                      0.4404611197337214, 5599.033477120158, 65345.54848060919, 70944.58195772934, 4.411766415363329e-05
                            1.2884030568457814,                        2.4046982551583443e-05,                                        4.207147664460016e-06,                                           0.5880117342648948,                                      0.3696560794709388, 5594.174910121639, 279277.6898461796, 284871.8647563013,3.4242358743096714e-07
                           0.37943962028377937,                         0.0017659782088478137,                                       0.00020534367275182826,                                          0.04807577560491759,                                       0.880078187229393, 5586.242031844295, 5456.943549742807,11043.185581587102, 1.228452621465037e-10
                             1.269107742569007,                          0.035522913756993776,                                       0.00028477954415557203,                                        0.0012949914087600693,                                      0.1426802390535431, 5595.921837589842, 4311.844907773426, 9907.766745363268,1.9644665244664586e-06
                            0.6800569885183374,                           0.28978251964376667,                                         0.018305079114844417,                                        0.0003763549424501983,                                     0.29776436118116756, 5598.858518195523, 2715.146718746855,  8314.00523694238, 3.703640416629403e-05
                            0.5132900489531129,                          0.044502196195651086,                                        0.0004313732053988321,                                         0.001465571347335769,                                      0.3880888438818667,  5594.17416908306, 3022.976842017967, 8617.151011101028,3.4216993233810873e-07
