galaxies.lens_0.bulge.ell_comps.ell_comps_0,galaxies.lens_0.bulge.ell_comps.ell_comps_1,galaxies.lens_0.bulge.intensity,galaxies.lens_0.mass.ell_comps.ell_comps_0,galaxies.lens_0.mass.ell_comps.ell_comps_1,galaxies.lens_0.mass.centre.centre_0,galaxies.lens_0.mass.centre.centre_1,galaxies.lens_0.mass.einstein_radius,galaxies.lens_0.bulge.effective_radius,galaxies.lens_0.bulge.sersic_index,galaxies.lens_0.shear.gamma_1,galaxies.lens_0.shear.gamma_2,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.sersic_index,galaxies.source.bulge.intensity,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.effective_radius,log_likelihood,log_prior,log_posterior,weight
0.0237161559965473,-0.1269656514809093,0.002417242286279,0.0435010773015321,-0.1082156642039929,0.0815012765253099,0.0065126737028623,0.9692659709961212,4.375163107204387,5.960457955123203,-0.0017000944982226,-0.0037328099999022,0.10749313648776,0.1945415139159322,4.683620668861043,0.2623369771265658,-0.00402746103831,-0.0479705696333084,0.1900387161108286,25147.92948903162,387.0892819233477,25535.01877095497,0.0001
0.0271821142042593,-0.1225213271363313,0.0025599453790729,0.0390181918464139,-0.1002202884744671,0.0809831846707309,0.006015038029213,0.968560290133096,4.230042422860949,5.868108091403634,0.0037276507671432,-0.0066711928187745,0.1056301295208711,0.1650898943366428,4.982821011923684,0.2598527612437716,-0.0041874722927615,-0.0466541645941437,0.2055365532268031,25145.49292252448,366.465875213955,25511.958797738433,0.0001
0.0235510952186065,-0.1252954421467139,0.0024464793472458,0.0366407027391803,-0.108783092996117,0.0810240363169865,0.006569324569284,0.9691298612049928,4.33398560564555,5.943510821931536,-0.0016347526689619,-0.0081364386373763,0.1141092659570935,0.1610622117986395,4.929298720771197,0.2634045926174481,-0.0047986761384224,-0.0479415319307741,0.2071408750090968,25148.801247008178,382.8187057115295,25531.619952719702,0.0001
0.0165148847902729,-0.1229897499983811,0.0024301834735177,0.0406969662953375,-0.1082736942533622,0.0814905566412221,0.0067161015399549,0.9694609565221224,4.327407836343303,5.9917200442922605,-0.0005534949086646,-0.00553174612632,0.1106274655322,0.1683108637961591,4.870898650997576,0.2624408619061092,-0.0045543181267067,-0.0472012282283263,0.218716803499963,25147.10103151305,385.41854078676744,25532.519572299818,0.0001
0.0233787428121595,-0.1243952627795947,0.0026730601323103,0.0492288931206514,-0.1109494464019779,0.0810847887033863,0.0059878907124803,0.9702842209424928,4.117437728243706,5.798631802289181,-0.002791472513606,-0.0002956654477839,0.1002605010919648,0.1881623296553838,4.703661859718886,0.2617086022775546,-0.0046951822339514,-0.0483503364948991,0.2045336270041843,25141.985430828245,351.60248812069966,25493.587918948942,0.0001
0.0231369380299049,-0.122151575816898,0.002376004358455,0.0436782343515988,-0.1067925822494776,0.0818025050615395,0.0062276924019567,0.969900433606918,4.4171684475017345,5.957994976978876,0.0001590982786349,-0.003905668271927,0.1050744875853272,0.1731596960860495,4.930399207092452,0.2617802768019527,-0.0045572598032606,-0.0478260164290655,0.2062821955624046,25149.850453364576,393.7653379887834,25543.61579135336,0.0001
0.0236520113221144,-0.1178963454288374,0.0024224738866946,0.0387155763185293,-0.1030317372004454,0.0816393130873085,0.0065330061185294,0.9696746971630912,4.339715927276833,5.974772992059579,0.0012157464556658,-0.0057963020959503,0.1039565890285064,0.1602579111033807,4.911102329277141,0.2622636859175845,-0.0033498690144135,-0.0470900984500541,0.2155803580699166,25147.71304814965,386.6739183380876,25534.38696648774,0.0001
0.0246133181620163,-0.1246690705503745,0.0024419481311656,0.0472266792577265,-0.1104213037886797,0.0815591502755243,0.0065064775809772,0.9705371583104502,4.339696935920477,5.9469861298257625,-0.0017635654206694,-0.0024679699453101,0.1119431103684084,0.1768905972487269,4.705260865908602,0.2601381750968892,-0.0058289490472199,-0.0477254629680857,0.2081673774886427,25147.676040149345,383.5076122277217,25531.183652377065,0.0001
0.0199006195286376,-0.1257946397769761,0.0025947095535792,0.0352587482063187,-0.1080258966938005,0.0818051963906151,0.0062974847652161,0.9690772600541008,4.130240128356226,5.9326887878639845,-0.0013956030475432,-0.009059602190896,0.1036466831859576,0.183309917585191,4.926921206769267,0.2646562425866162,-0.004038472712003,-0.0490773300765628,0.221348911170277,25143.17300010706,362.0955050192936,25505.26850512635,0.0001
0.0256954352337024,-0.1238835679387171,0.002484628744218,0.0406824973977387,-0.1074021978507924,0.0815374622913462,0.0064536055851354,0.969242463362549,4.309396476666237,5.921174525528526,-0.0004798323902187,-0.0046204051992616,0.1044784172457876,0.1670082019400266,4.99811491483476,0.263535641182847,-0.0048581546872397,-0.0483218400566072,0.2084744929435475,25145.92688902012,376.9695827126015,25522.89647173272,0.0001
0.0247028995062193,-0.1203296202619177,0.002552095194754,0.0411371690943913,-0.10443642162808,0.0816272489139789,0.0063381266228476,0.9699020361157336,4.220792856479953,5.873666672229064,1.948544082092107e-05,-0.0057021826137478,0.1072761017433267,0.1861001388527124,4.875631405159715,0.2620025803837529,-0.0028413612994016,-0.0473550630920244,0.2013220411173824,25144.326237743466,367.68797572606326,25512.014213469527,0.0001
0.0228114247238898,-0.128825265603095,0.0023408539977783,0.0430821074276639,-0.1080411775478591,0.0815207231636423,0.0064295575080032,0.9701559910712726,4.437939826224942,5.999450741151136,-0.0022101126699585,-0.0042175480701414,0.1167515540437327,0.18262178862945,4.947248629360835,0.2636764845568582,-0.0042919733069513,-0.0476207669552668,0.2130367773448849,25148.538557580036,399.55382758727615,25548.09238516731,0.0001
0.0153289301903441,-0.1204428782931363,0.0024210160298705,0.0380706889645614,-0.1034082776287076,0.0815345425112217,0.0066438260485631,0.9681126092913336,4.32340269496655,5.993255350223313,0.0011662426972736,-0.006903612771671,0.1099123964860945,0.1721444008439411,4.974022866855669,0.2631246199522367,-0.0043799637283927,-0.0480623178762344,0.2304441639022614,25146.651361583725,386.9874671172721,25533.638828701,0.0001
0.0201212818235589,-0.1215763073178302,0.0024019306357631,0.0422018998225332,-0.1119017156969073,0.0813870239470863,0.0066186012993528,0.9687626136465172,4.35790091827338,5.994408965746123,-0.0036396548761029,-0.0052495776387108,0.1057294093996574,0.1675638404688625,4.830839366338575,0.2666313099927493,-0.0051384208513284,-0.0488943213813923,0.1998873017963197,25148.634722263883,389.7824141562476,25538.417136420132,0.0001
0.0208560299627873,-0.1242763388734462,0.0024977878410136,0.0376582485048384,-0.1060811308638361,0.0816457328407562,0.0063264022590487,0.9684614911736986,4.261967334084735,5.938950636344179,-0.0004011073456051,-0.0068149963154873,0.1236260984686017,0.1683877143661228,4.95377228374072,0.2684289203696779,-0.0048334806917298,-0.0494037588142378,0.2034338746381319,25144.95931253664,375.2932134660318,25520.25252600267,0.0001
0.0242921158516834,-0.1227153714483082,0.0025324476378167,0.0465223593676523,-0.1140218570086153,0.081600495750981,0.0064618403426963,0.969709754190483,4.229819259442552,5.931797003350512,-0.0054301770617611,-0.0032457100289843,0.0984551295244914,0.1815530938810907,4.958721249086716,0.2636424123488697,-0.0053323990537113,-0.0498502214743915,0.225992120308555,25143.993957337196,370.31601864193055,25514.30997597913,0.0001
0.0234155664057678,-0.126032980537572,0.0024521174138481,0.0378074830750402,-0.1086094901294887,0.0814664878199935,0.0060211556487104,0.96809603445401,4.3168757890294085,5.946996460508059,-0.0021045065819311,-0.0076590506094698,0.1004029075020739,0.1674968342413805,4.6566256758763425,0.2644961740809987,-0.0046860257876177,-0.0488172389031541,0.1928472587034019,25146.248473938627,382.0728152138845,25528.32128915251,0.0001
0.0232971711658427,-0.1233332894770586,0.0027301271084004,0.0372827440200714,-0.1040620163627108,0.080908536829743,0.0061189950012205,0.968414835265788,4.049646070462204,5.781923566603282,0.0010607277437954,-0.0073039131134248,0.1008982566441538,0.1601477138641394,4.803392779518913,0.262715674165201,-0.0045762756411267,-0.0478446089416207,0.2016097535362289,25140.987405764325,344.7303651285958,25485.71777089292,0.0001
0.0174621857789561,-0.1227285206955608,0.0023785147738335,0.0426408993069401,-0.1108492069485411,0.0818617586836373,0.0063201759489997,0.9693878876493436,4.38180528914945,5.991751833205305,-0.0023482305589881,-0.0056393054928785,0.104872534008471,0.1781487903921726,4.936261595139339,0.2628047802878315,-0.0057118064646325,-0.0494542850914497,0.2310772829743098,25148.28320024643,393.59160920728425,25541.874809453715,0.0001
0.0200472508499443,-0.1208199939529237,0.0024983109079776,0.039381079781868,-0.106668821587744,0.0808884137471802,0.0060246291185708,0.968154263094907,4.273728062634191,5.919018828052277,-0.0010584454635455,-0.00664455812313,0.105570221802443,0.1730165138876693,4.91123297470668,0.2651002220129209,-0.0054179555656383,-0.0487628325489995,0.204993171150294,25147.25266049772,375.19909981290647,25522.45176031063,0.0001
