galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.bulge.centre.centre_0,galaxies.lens.bulge.centre.centre_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.slope,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.bulge.intensity,galaxies.lens.bulge.effective_radius,galaxies.lens.bulge.sersic_index,galaxies.lens.bulge.ell_comps.ell_comps_0,galaxies.lens.bulge.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,    log_likelihood,         log_prior,     log_posterior,                weight
               0.11749436709258548,               0.18851290113032992,                0.08720517744677075,                 0.2104325417560543,                1.5694880410924053,       1.939863816660546,                     0.07595068923856153,                    -0.09059351749069823,         0.022257959537899722,                  1.0454974483224326,               3.842890632906584,                       0.1768263401161441,                      -0.1372198095087285,        0.03562883935647999,      -0.041180817920373446,                   0.7143888240480114,                 -0.05756213406724791,                       -0.11068028666842257,                         0.0702147033491195,             1.0837952891450253,                   0.42600768535126754,                 3.745189389814672,26842.824847015334, 48.99214776969094,26891.816994785026,2.2430461457183978e-10
               0.10293710784882766,               0.18948290337970264,                0.09279090717202636,                 0.2157291816713129,                1.5591829585078516,      1.9116455449640306,                     0.07281768530756774,                    -0.12486246782535758,             0.01667772504448,                  1.2196558102784054,               4.300449885814631,                      0.17926831199781154,                     -0.14943292520514093,       0.009523257515882422,      -0.044667966486434944,                   0.6739831688792166,                 -0.05764510277653313,                       -0.10115880745655693,                         0.1327313658777528,             1.0903516565008082,                    0.4250739045461388,                3.8984468665088214,26843.211934544277,63.708388696857405,26906.920323241135, 3.303301283919436e-10
                0.1032522294981668,               0.19438183970977416,                0.08711827532049944,                 0.2125904686107687,                1.5626136257470984,      1.9309850726180158,                     0.08104730732721682,                    -0.08981939532487655,         0.023554814609053308,                   1.016071606731462,              3.7708966843260994,                       0.1649127642917677,                     -0.14612576850317882,       0.034825266268510624,       -0.04347108615649752,                   0.6996456893403173,                -0.055573067690650464,                       -0.11404459583066118,                        0.11272843296436635,             1.1197154939911425,                    0.4397259766819399,                 3.979415458070301,  26842.3013700937, 46.40164796463054, 26888.70301805833,1.3289084711687971e-10
               0.10396640066822209,               0.17769488959745186,                0.08891321099899203,                0.20992599520590322,                1.5654402830819574,       1.919165176721326,                     0.08528497594550498,                    -0.07030334334829572,         0.022830988117300437,                  1.0106100918054746,              3.9485559535222525,                      0.17721180505272185,                     -0.14512620064488285,        0.04137209913997045,      -0.034275777948564984,                   0.6961825524948876,                 -0.07129786641763111,                       -0.11330673130348765,                        0.07192051449358185,              1.071979299230889,                    0.4318833871413672,                3.8955457579152126,26844.159080300837, 47.76023930567351, 26891.91931960651, 8.517033624193869e-10
               0.10106455158444638,               0.19367753670669333,                  0.085446429851657,                0.21517369892079377,                1.5483282222509378,       1.875236775074793,                      0.0455843302552887,                    -0.09064331500225284,         0.019152650887700365,                  1.1234030177186891,               4.057629619477531,                      0.17228376956182653,                     -0.13810085297755856,       0.026743977747097303,       -0.05803609159607437,                   0.6561420487846026,                -0.022764868038345994,                       -0.08884516695639066,                        0.09396580879264464,               1.06117285222747,                   0.40379113712107856,                 3.994841412283954,26843.751587277708,56.145337323404284, 26899.89692460111, 5.666519536555784e-10
               0.10768468905829984,               0.18667244753662132,                0.08767251756010348,                0.20817019781084165,                 1.570210959479412,      1.9019018608776086,                     0.08089013819961878,                    -0.06945548035516737,         0.018268288908376663,                  1.1507864290183722,               4.187599354645268,                       0.1888587672042811,                     -0.14635250943604464,        0.04165655655380365,      -0.033608117909071915,                   0.6855980356278287,                 -0.05469015500993343,                       -0.12890657993647142,                        0.07430890765975814,             1.0698705800313724,                    0.3884213413404217,                3.7861257387335505,26842.528758752815, 58.62669090367418, 26901.15544965649, 1.668202277420635e-10
               0.12923551086884064,               0.19592926436707633,                 0.0868114942567661,                0.20889575705030758,                1.5656896915034706,      1.9283909060067945,                     0.06733054776696239,                   -0.055692325887996844,          0.02238093231068065,                  1.0351488949130356,                3.91247322281498,                      0.16196382289318956,                      -0.1443145235049329,        0.05653030820080693,       -0.04897214927306323,                   0.7140070255928579,                 -0.03104667360017814,                       -0.10805435582694717,                       0.050229763778883156,              1.053525151099971,                    0.4315566792612582,                3.9043000459793045,26842.398683820815, 48.98822258209332, 26891.38690640291, 1.464731038316209e-10
                0.1125342166305477,               0.20079887299991286,                0.09394016947034989,                0.21315296132234393,                 1.561871326908041,      1.8953570409736278,                      0.0474647379528865,                    -0.03975397374711791,         0.020217750056115216,                  1.0903311115209686,               4.119536636692971,                      0.17671120450322383,                      -0.1508428748726348,        0.06348575474420205,      -0.059196436518437937,                   0.6900920408969797,                -0.009543219049910326,                        -0.0913790762869577,                        0.04234738712158285,             1.0590367808733585,                   0.40369462804796263,                3.8919179770707215, 26843.52318439317, 53.75933403540218,26897.282518428572,4.5094365236036166e-10
               0.11694410255196654,               0.18457577432739108,                0.08734113274996837,                 0.2094386206459831,                 1.569045699891279,      1.9180281683920655,                     0.07333019562598707,                   -0.056371751452463814,         0.020929329405213033,                  1.0649905902963765,              4.0653539794110625,                      0.18922216500632205,                      -0.1292805190643179,       0.052136785314183615,       -0.04138540927915686,                   0.7039673449356038,                 -0.05047387994847272,                       -0.11369103015878287,                        0.05684054875312542,             1.0636542214141362,                   0.43686280828283164,                 3.942466719043174,26843.002229237667,51.899347480472045, 26894.90157671814,2.6783931689109254e-10
               0.08378868183841005,               0.18452382290517944,                 0.0911319439173654,                0.21406853844196874,                1.5644477692235328,      1.9315964511397792,                     0.08241932395815148,                     -0.0688294825381737,          0.01940379257168485,                  1.1223301776161574,               4.081495982322215,                      0.17658691264868062,                      -0.1517115096298919,        0.04434356563779053,        -0.0394543878254493,                     0.69939748269312,                 -0.07174468025233185,                       -0.10544504181350246,                        0.08962288071331709,             1.0799197921164456,                     0.468831025684897,                 3.936347277939348,26842.335748640427, 55.52566313640073,26897.861411776827,1.3753887984168158e-10
