galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,galaxies.source.pixelization.regularization.signal_scale,    log_likelihood,         log_prior,     log_posterior,                weight
               0.09700773256847382,              0.012568617466510407,                0.9937137061001216,                     0.18571572530871863,                      0.0895844711373899,        0.10316639945326778,        0.07501016373088593,                                       1.8504927193823008e-06,                                       2.2329969857473983e-05,                                      0.8002750867400649,28839.574496759597, 585180.5973565137, 614020.1718532733, 5.670284585001757e-10
               0.10403510709886642,               0.01854809302130385,                1.0024143070106293,                     0.18688942007572532,                      0.1169903766915758,        0.12130615990776406,        0.07395820246558926,                                       0.00013656772666282955,                                           0.5335846165024515,                                      0.8237346121706539,28837.940918731005, 7325.565971691776, 36163.50689042278,1.1070084414830725e-10
               0.09793715837369729,              0.014917300969383228,                0.9967704258356294,                      0.1782418491871391,                     0.10815337258864254,        0.11510206691264036,        0.06895962008766832,                                          0.13249471306625052,                                             1.15589337731709,                                      0.8432519018109699,28838.615663403783, 9.675039714175687, 28848.29070311796,2.1736460218925127e-10
                0.0987574206378148,              0.010003548961009742,                 0.993630359189695,                      0.1815549961157011,                      0.0869743987250871,          0.101508556384241,        0.07188855165225988,                                           0.0301402755631215,                                          0.06661157361936358,                                     0.15233997184439696, 28838.02188036639,49.341046251147844,28887.362926617538, 1.200361683899012e-10
                0.0983556738504626,              0.008912101303986597,                0.9948677633891492,                     0.18717878023141948,                     0.09118507623810829,        0.10667901761218429,        0.07499883885498515,                                       3.2192925044160212e-06,                                        0.0009357417849716076,                                      0.9608293955340442,28839.803241318972, 311697.0535652499,340536.85680656886,  7.12766625379438e-10
               0.09667302747684722,              0.017981859481950142,                0.9952356657383541,                     0.18101100785851248,                     0.09455133972594641,        0.10954077140358348,        0.07338615332588266,                                          0.21520373950730454,                                           0.9450836668542634,                                     0.29820420439595474,28838.866090312975, 6.880266202474484, 28845.74635651545, 2.792208504061173e-10
               0.09311281367790446,              0.008088558786717888,                0.9971321149441943,                     0.18924968111758556,                       0.087796777643932,        0.10347282983803552,        0.07657235636388265,                                       0.00027964295072484285,                                       3.0673191273597116e-05,                                     0.48768887518091963,28840.241468418826,36178.796225942904, 65019.03769436173,1.1047575223184005e-09
               0.10169185578416856,               0.02521665857354425,                1.0018268215974255,                      0.1826235040769645,                     0.12957416816453052,        0.12980829883959277,        0.07454993019977524,                                        6.392823365965768e-05,                                        3.485170171025827e-05,                                      0.3145788290913957,28838.060656842208,44336.948890595624, 73175.00954743783, 1.247821699125592e-10
               0.09592791323749612,              0.012374761059635985,                0.9911934852574946,                     0.17459155643482754,                     0.07873852599791029,        0.10081719977444503,        0.06769880121357502,                                        3.205043995204429e-05,                                        0.0001935334181121249,                                     0.12121033871862774,28839.057011144214, 36369.02828454695, 65208.08529569116, 3.379587607567848e-10
               0.09819131335695398,              0.014047813195738496,                0.9994594367636495,                      0.1904423717374945,                     0.10439338460984451,        0.11387042281190285,        0.07739416254059073,                                        0.0005231491674664173,                                       1.7990357267539513e-06,                                       0.659437021801256,28838.355795521646,  557765.997903841, 586604.3536993626,1.6762146554241228e-10
               0.09299779762843394,              0.020790420493951935,                0.9944199186345762,                     0.17158622545707627,                     0.10186165992532074,        0.11139130199184405,        0.06735758030343098,                                       0.00010895040705688143,                                        2.175993687555169e-05,                                      0.8904267914997731,28837.954679412043,  55135.7459138578, 83973.70059326984,1.1223469234967967e-10
               0.09973616400650896,              0.012896429734348234,                0.9912955538135599,                     0.18134803424438295,                     0.09328689726177954,        0.10790648786564272,        0.07092175748263368,                                       1.8059071360713373e-06,                                        0.0023643163838630893,                                      0.3320339155902806,28838.544247065765, 554162.4744396713,  583001.018686737,2.0238256653746337e-10
                0.1002288688993688,               0.01050382359749521,                0.9960632356680402,                     0.18822905046333008,                     0.10242822025909727,        0.11035907009847201,        0.07558950490757599,                                       1.0706128342484662e-06,                                        0.0006423367856934563,                                     0.15813141570817357,28839.180309262367, 935602.4757928952, 964441.6561021575, 3.823062529095851e-10
               0.09840406038791606,               0.01597435411111608,                0.9960152499192694,                     0.18448785717731248,                     0.08990599540842172,        0.10538334999888765,        0.07425676801689352,                                          0.00028024773120196,                                          0.03765460470289405,                                      0.5489503182868058, 28840.01668871548,3595.9757844840424,32435.992473199523, 8.823611591702347e-10
                0.1048522121186336,               0.01878817755742443,                 1.002842929579363,                     0.18690390652919003,                     0.10304126275225883,        0.11472234370871426,        0.07397534692351404,                                       0.00044906938701962925,                                         0.026343782066244995,                                     0.10259692797812481,28838.814184671322, 2266.045313834964, 31104.85949850629,  2.65097426489951e-10
                0.0953211912512888,              0.007804089481825248,                 0.994177842712582,                     0.18841531941247627,                      0.0818656626170568,        0.09968104886718843,        0.07514232846321883,                                          0.03614665530079783,                                        0.0006180818468008152,                                      0.9190640716039059, 28838.12279377579,1646.6255376857835,30484.748331461575, 1.327817111109494e-10
               0.10037652973309495,              0.016303265898989977,                0.9972692260251363,                      0.1894145373697079,                     0.09756533777147122,        0.11037029182763636,        0.07693936474080981,                                       4.9852023288672216e-05,                                       0.00024879266842826593,                                      0.6425033319792809, 28838.45723300226,24079.945230284433, 52918.40246328669,1.8551685426475555e-10
               0.10048969762980378,              0.021001333613398523,                 0.998491903466296,                     0.17605424654609658,                     0.11721746605860163,        0.12217315765956305,        0.06931137626509037,                                           0.7254185043264946,                                       0.00013586017389863433,                                      0.6627963187129778,28838.322683728606, 7363.246218388689,36201.568902117295, 1.621621017194199e-10
               0.09674681423545478,              0.015525163762921491,                0.9894317655666787,                      0.1720095725538687,                     0.09111351718997406,        0.10483239444391235,        0.06677206960698168,                                        0.0005093430593437571,                                        1.932492562720539e-06,                                      0.6460628489718789, 28839.04009778543, 519430.9483181292, 548269.9884159146,3.3229081013768756e-10
               0.09179905103970037,              0.014577108843510107,                0.9927058379999298,                     0.17969051655594445,                     0.09033864518780745,        0.10292071265883179,         0.0724163574279506,                                          0.27639932803314027,                                           0.2908483081781198,                                      0.2101006424396511,28838.684991583163, 8.171572560840966,28846.856564144004, 2.329687483677148e-10
               0.09159697643328743,              0.013919882202036979,                0.9916222629792917,                     0.17269210199346471,                     0.09080520051587126,        0.10075605179227987,        0.06909424553435944,                                         0.006478255593737857,                                       0.00022536661107832283,                                    0.028719590376356186,  28838.4419899098, 4592.739396032671, 33431.18138594247,1.8271044720259547e-10
               0.10390634311384493,              0.009881922758765775,                0.9936140073017352,                     0.19600602736951722,                     0.08292746155276692,         0.1019414650161361,        0.07866362162667395,                                         0.006003678065334233,                                           15.406098396388476,                                     0.08767163348309148,28838.895381278642,167.72598691110267,29006.621368189746,  2.87520457110281e-10
               0.09784173709676769,              0.011688728599608941,                0.9908641074695875,                      0.1856779042576622,                     0.07860970378427735,         0.0985871518467274,        0.07427233344761786,                                       3.9474972990142126e-05,                                           0.6341811224534458,                                      0.7876300684376816,28838.158695267113,25335.168754024784,  54173.3274492919,1.3763537818337807e-10
               0.09897338419129102,              0.027412422515025195,                1.0028405242793041,                     0.18175169322702436,                     0.12555070216594597,        0.12840027903326162,        0.07517583484243529,                                       5.2741416852276827e-05,                                        1.733820089591231e-06,                                      0.3096644780686336,28839.042909877386, 595722.9074693077,  624561.950379185, 3.332265575391529e-10
               0.09828069410596597,              0.018157462533470486,                0.9974369818913681,                     0.18564131359774266,                     0.10034288810825655,        0.11206747441887954,         0.0744097077387244,                                       3.2241319092265582e-06,                                        0.0010424078285212076,                                      0.7263810593985761,28838.541390500555,  311121.510820967, 339960.0522114676, 2.018052724703949e-10
               0.10027331881305566,              0.013795590908960967,                0.9951741874860559,                      0.1873275694399394,                     0.09205996702293569,        0.10478901476123381,        0.07530704134924648,                                        6.862173075566726e-05,                                        0.0003367390321580196,                                      0.9250321956661691, 28837.94508809922, 17543.45486833075,46381.399956429974,1.1116336025915335e-10
               0.10056876730250325,               0.02319717637107659,                0.9985037154384357,                     0.17664599647202214,                     0.10907946617017784,        0.11678993196752735,        0.06954286538598237,                                       2.3494068025698432e-05,                                        0.0028848566508442143,                                      0.7428729112713108, 28840.14607596373,  42911.8929678076, 71752.03904377134,1.0042423925547698e-09
               0.10077664503117718,              0.019577427880968442,                1.0010088957677974,                     0.18801330673351277,                     0.11148604450754442,        0.11793576720099991,         0.0771476504977664,                                       3.7741832043870617e-06,                                       0.00015230186715888897,                                       0.681674633487587, 28839.72500978635,271525.14998564374, 300364.8749954301, 6.591311448731246e-10
               0.09453652364699613,              0.015170777202494524,                0.9962964765166133,                     0.18294220257690014,                      0.0938242814156089,        0.10616060426478124,        0.07484838038267261,                                        0.0003584986493799738,                                         0.014700926328285494,                                     0.06835540663034578,28839.384460963603,2858.5682773572134, 31697.95273832082, 4.688925781866742e-10
               0.09796005979606628,              0.019923631748214266,                0.9994931955016949,                       0.186672238546375,                     0.11319705703097284,        0.11921428020110575,        0.07704863470376888,                                       1.9156020024283166e-05,                                         0.026059730561054185,                                      0.8364665802680705,28838.894575835147, 52242.52485149633, 81081.41942733148, 2.872889688663572e-10
