1.galaxies.lens.mass.centre.centre_0,1.galaxies.lens.mass.centre.centre_1,1.galaxies.lens.mass.einstein_radius,1.galaxies.lens.mass.slope,1.galaxies.lens.mass.ell_comps.ell_comps_0,1.galaxies.lens.mass.ell_comps.ell_comps_1,1.galaxies.lens.shear.gamma_1,1.galaxies.lens.shear.gamma_2,1.galaxies.source.point_0.centre.centre_0,1.galaxies.source.point_0.centre.centre_1,1.galaxies.source.bulge.ell_comps.ell_comps_0,1.galaxies.source.bulge.ell_comps.ell_comps_1,1.galaxies.source.bulge.intensity,1.galaxies.source.bulge.effective_radius,1.galaxies.source.bulge.sersic_index,    1.cosmology.H0,   log_likelihood,         log_prior,    log_posterior,                weight
               -0.003910264449937114,             -5.0275158201634155e-05,                  1.2068554029448655,         2.032354996007434,                       0.10672472482288416,                        0.1498954593869256,          0.03506723200716674,         0.020254994208566593,                      0.04797664117398281,                      0.07337947962412567,                        0.0005299093770312308,                         0.009727065463524564,               0.5107354984578582,                     0.14541196315141738,                  1.8414503877213075, 76.68607871664624,76661.18253881764,3.1575448409801146,76664.34008365862,1.1897595363964555e-10
               0.0004174358055334092,              -0.0007070323158533946,                   1.205842824013247,        2.0304988093757155,                       0.10209999187216126,                       0.14995285184701798,         0.036144493945724186,         0.018748376216461308,                     0.051928272204335456,                      0.07175131168602585,                        -0.012627412792486985,                         0.003913858970247821,               0.4986948485801355,                      0.1450866116258568,                  1.7793167713155822, 75.46936545614551,76662.08007233965,  3.21303738907581,76665.29310972872,2.9191274071884206e-10
              -0.0007646291339000725,               0.0020095808139256586,                  1.2156555352512521,        2.0770277091176057,                        0.1060960161311872,                        0.1551943074055586,         0.033849310026746536,         0.016703164691027877,                     0.052185078117842586,                      0.07692863421516714,                        -0.009822642125085896,                         0.006858209002328267,               0.5156046920386107,                     0.14938181096470116,                  1.7920261887995463, 85.39459736142362,  76661.915464288,3.0640183036785174,76664.97948259168, 2.476080055307617e-10
               0.0005770700333230252,               4.791385247760268e-06,                  1.2027449272185815,        2.0169626107434278,                       0.10165923188023891,                        0.1502820826116428,         0.038739620858213926,         0.019597786712929968,                     0.050860601527506225,                      0.07111449064280265,                       -0.0018438649093578396,                         0.010813231091577714,               0.5070360727380747,                     0.14498301497215926,                  1.9423931888557726, 70.87594040821574,76661.37914889195,3.1979403762869865,76664.57708926823, 1.448257762308433e-10
             -0.00030337522295129034,               0.0013273617493971303,                  1.2043250140028927,        2.0271259235590438,                       0.10263186501838306,                       0.14662379444514045,          0.03404632344718001,         0.019597208344609797,                      0.05039769098456413,                       0.0734903412715836,                        0.0037586171508230213,                       -0.0020864495643127872,               0.5025525765668878,                      0.1425403211578267,                   1.793886840759755, 68.92494098351156,76661.63985814646,3.1989420241205098,76664.83880017058, 1.879621722712064e-10
             -0.00010740423095516885,               0.0003869882057188147,                   1.210790344846703,        2.0581433420839175,                       0.10475487853505971,                       0.15093823646881976,          0.03353720968833881,         0.017710538470262202,                     0.051951618206216355,                      0.07558921352824438,                         0.005500579236638071,                         0.008157088597335604,                0.507325686511294,                      0.1520469449796616,                  1.8321716381828794, 82.70718921278515,76662.30932914857,3.1353147085995676,76665.44464385718, 3.671284303781236e-10
              -0.0006330169346676789,              -0.0018857897945047657,                  1.2092874327760237,        2.0449016315959745,                       0.10279388864052715,                       0.15392623563719776,          0.03587665845990025,         0.017303666567095456,                      0.05231903062475165,                      0.07295982911296087,                        -0.008353756617143994,                         0.001932449815913486,              0.49819867895345155,                     0.14967210357984045,                  1.8023255703757761, 76.91333430950164,76661.35226933759, 3.191192726457171,76664.54346206404,1.4098477733492034e-10
              0.00012724693611073742,              -0.0011202332012453875,                  1.1954184711649563,        1.9782138755934002,                       0.09863707049149589,                        0.1492398284647042,          0.04190857496424714,          0.01993123518336068,                      0.05061348110875053,                      0.06869452646287984,                         0.007575426655640085,                         0.007573362072501632,               0.4841165923935253,                     0.13761159214653507,                   1.805483491281153, 70.27749608763668,76662.16073318619,  3.30550767662439, 76665.4662408628,3.1643434236804005e-10
             -1.5672381624403206e-05,               0.0004836376925471172,                  1.2146884999716476,        2.0795136663476463,                       0.10212667589065091,                        0.1528314172154215,          0.03295645575485086,          0.01391675482647992,                      0.05352254049479511,                      0.07538619844485851,                        0.0035998413321157497,                         0.006345844341950782,               0.5116767221263744,                     0.15637699665860896,                  1.8786698221411615, 78.75455452124308,76662.20544799986,3.0741885449630093,76665.27963654483,3.3090475497968775e-10
               0.0004535939907371417,               0.0029273521322324705,                  1.2010396394369178,        2.0164872862513934,                       0.09943402118815702,                       0.14546314700114418,          0.03597662257909224,          0.01803187395576608,                       0.0513626489578374,                       0.0726891381858514,                       -0.0012613264695000475,                         0.009619016289755727,               0.4927925260963453,                     0.14320807155152684,                  1.8274551476576275, 73.74895186444853,76661.29506990618, 3.254099368035753, 76664.5491692742,1.3314682823401904e-10
