galaxies.lens.bulge.ell_comps.ell_comps_0,galaxies.lens.bulge.ell_comps.ell_comps_1,galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.bulge.intensity,galaxies.lens.bulge.effective_radius,galaxies.lens.bulge.sersic_index,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.slope,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,   log_likelihood,         log_prior,    log_posterior,                weight
                       0.1015004641944568,                      0.05073635215287644,            0.00046482753040945433,           -3.8965895184496446e-05,           1.0364970855898066,                  0.7822754040711761,              3.9573978447073515,                     0.10608088426007588,                     0.05342795374429526,                 1.014728220681946,        2.01806254146257,        0.02525093359873435,       -0.01896269396278813,                       0.042704309891809254,                       0.016026182412529295,                  0.06399161855525833,                  0.03131632003441503,            0.48102574262853576,                   0.19690784123885813,                1.5436957820129318, 8812.53421226309, 0.804143350845488,8813.338355613936,1.2409666615790192e-10
                      0.10067472951022244,                      0.05032182455229092,             0.0004021486535184438,             -0.000562257430752305,            1.024068571636708,                  0.7878408988463086,              3.9757045925947887,                     0.09815657167249031,                     0.04969750526344697,                1.0046766883820482,      1.9376108946895274,       0.025405833933387714,      -0.013591460301418046,                        0.04674754360016838,                       0.018152484535207455,                 0.058815682745793275,                 0.028897513703328295,            0.48282514410266264,                    0.1805803336356993,                1.5325156523198131,  8813.5296722113,0.7787857148798545, 8814.30845792618,3.3580168950047607e-10
                      0.10085257073155453,                      0.05087902556950446,            0.00038630385966586297,             0.0002996452518403888,           1.0320359417486231,                  0.7852423366381549,               3.957019081841489,                     0.09980623261263993,                    0.053633671575579515,                1.0082728722485204,      1.9619993579495003,       0.026810809554608336,       -0.01534134630650491,                        0.04131606166074727,                       0.015870433317717265,                 0.061220121274497684,                 0.029913649734310287,            0.49123329890243866,                    0.1839684996628388,                1.5139564781015886,8812.700347062431,0.7988664509928614,8813.499213513423,1.4652493621325642e-10
                      0.09949782262410445,                     0.049347829966052525,            0.00032649943225149914,              0.000168830248984479,           1.0109692098042111,                  0.7939047392663301,              3.9969427420797494,                     0.09588440534603992,                    0.053149539507610796,                 1.005444430245015,      1.9433292128915707,        0.02757698888686655,       -0.01571899029682738,                        0.05133726515756478,                        0.01751744038578048,                  0.06002019814030365,                 0.029489492345619192,             0.4961747230342159,                    0.1788041584761716,                1.5056421445687111, 8814.34783594358,0.8162512821795497, 8815.16408722576, 7.610389263880708e-10
                      0.10126058830786817,                      0.04986368209632939,             0.0005756920961963505,           -2.5849279848454993e-06,            1.010440349039845,                  0.7953833517961741,              3.9930784287664567,                     0.09819549035556409,                     0.04957578542062311,                1.0097470245508413,      1.9866281232536944,       0.024334017629831617,      -0.019355815621484182,                        0.05457624027896964,                       0.019037323449359846,                 0.061983017341313514,                 0.030890934592684566,             0.5070422927112685,                   0.18322141436646705,                1.4877964453833377,8812.457428123227,0.8139097916744363,  8813.2713379149,1.1492464903519597e-10
                      0.10163635113143943,                      0.04938944561828546,             0.0006028108984944663,             0.0006349733107823114,           1.0069865764791093,                  0.7967848951225016,              3.9855499382835697,                      0.1020002003690394,                     0.05113428625089844,                 1.009629050732543,      1.9687653941769394,       0.024842365114767846,       -0.01552049538905611,                       0.041381918615908155,                       0.019489338166003345,                  0.06081848610195039,                 0.030508455302620065,            0.49397596795295295,                    0.1826122952753112,                1.5248459026225438,8814.240663604713,0.7793589937938009,8815.020022598506, 6.836951760990824e-10
                      0.10100581047481723,                      0.05164016464835935,            0.00011090090592371248,             2.090079584784422e-05,           1.0013177845358592,                  0.7979415658635816,               4.003205924403394,                     0.10047274490555125,                     0.04970347162829683,                1.0101658257934711,      1.9764692652364984,       0.024300895318127375,       -0.01694978875628737,                        0.05172611996854497,                       0.021172371655315318,                  0.06114244437821662,                  0.03032896114997453,             0.5059200184045605,                   0.18239991022199753,                1.4828154394516935,8813.049218565646,0.7922724388358106,8813.841491004481,2.0769426742715888e-10
                      0.09966649024760006,                      0.05001010683375013,            0.00010983303169906128,             0.0004862433039550403,           0.9943530041903328,                  0.8020525617873686,              4.0149430592035715,                     0.10541356920472365,                     0.05106313101108092,                1.0114180491722906,      1.9913544632753388,       0.024611110846100237,      -0.016864143928960185,                        0.05278900761635407,                       0.021089287494557546,                  0.06275151319618057,                 0.030950256166257236,             0.5289579887877317,                   0.18096736643826644,                1.4501076377638369,8814.229905820746,0.7878213202952449,8815.017727141041, 6.763795516027072e-10
                      0.10087958577933373,                      0.04891376866255575,            2.4760605475271174e-05,            0.00037698657326099634,           1.0343626744520023,                  0.7832713619962679,               3.966323591828977,                     0.10260880090939935,                     0.05116218712288414,                1.0113060860191745,      1.9919585811058245,       0.023996209765469796,      -0.018039142387948598,                       0.050945583857459106,                       0.021539162911257723,                  0.06225969428678261,                 0.031901972823075345,             0.4878572134502179,                   0.19070973412706294,                 1.525787079313697,8812.551766549099,0.7930136396060607,8813.344780188705,1.2629432727996402e-10
                      0.09989449879282697,                      0.04952239881795824,            0.00034590386040379026,           -1.0505253378607838e-05,            1.008593275952188,                  0.7952384286325089,               3.990179643460168,                     0.10256506276554637,                     0.05243847727391694,                1.0103725344727592,       1.978997832032491,        0.02504203761403408,       -0.01579498832397091,                        0.04805530327556895,                        0.01579402176767621,                 0.061391922647620244,                  0.03053351358160754,             0.5103938820177759,                   0.18223495495669145,                1.4835675360922511, 8813.70837606736,0.7827819658880302,8814.491158033248,4.0150686513601345e-10
