galaxies.bgg.bulge.profile_list.59.centre.centre_0,galaxies.bgg.bulge.profile_list.59.centre.centre_1,galaxies.bgg.bulge.profile_list.29.ell_comps.ell_comps_0,galaxies.bgg.bulge.profile_list.29.ell_comps.ell_comps_1,galaxies.bgg.bulge.profile_list.59.ell_comps.ell_comps_0,galaxies.bgg.bulge.profile_list.59.ell_comps.ell_comps_1,extra_galaxies.0.bulge.profile_list.9.centre.centre_0,extra_galaxies.0.bulge.profile_list.9.centre.centre_1,extra_galaxies.0.bulge.profile_list.9.ell_comps.ell_comps_0,extra_galaxies.0.bulge.profile_list.9.ell_comps.ell_comps_1,extra_galaxies.1.bulge.profile_list.9.centre.centre_0,extra_galaxies.1.bulge.profile_list.9.centre.centre_1,extra_galaxies.1.bulge.profile_list.9.ell_comps.ell_comps_0,extra_galaxies.1.bulge.profile_list.9.ell_comps.ell_comps_1,extra_galaxies.2.bulge.profile_list.9.centre.centre_0,extra_galaxies.2.bulge.profile_list.9.centre.centre_1,extra_galaxies.2.bulge.profile_list.9.ell_comps.ell_comps_0,extra_galaxies.2.bulge.profile_list.9.ell_comps.ell_comps_1,     log_likelihood,              log_prior,      log_posterior,                weight
                            -0.0009457092190838332,                            -0.0010697375822376364,                                    -0.09409285038351764,                                      0.5259867630378264,                                     0.07904963004079613,                                    -0.03107999469355198,                                   1.8064245594230945,                                   0.6859131432716841,                                       -0.19998637285925977,                                       -0.13133515251787803,                                  -1.4931431863471676,                                    -1.23672611651841,                                         0.0564740918841265,                                        0.05148373835022085,                                  0.47952021854852356,                                   -2.002125325106715,                                        0.04931781773593008,                                        -0.1871507778385566,-189103.55066624173,   -0.07040564175086245,-189103.62107188348, 1.631668893736777e-10
                            -0.0009639426693825452,                             -0.001366853716935102,                                    -0.09235432327776635,                                      0.5196782051759589,                                     0.07751188076736247,                                    -0.03151178252445754,                                   1.8061925542871478,                                   0.6868077033382852,                                       -0.19987804425398592,                                       -0.12864694369701052,                                  -1.4940636308872701,                                   -1.236714895235361,                                        0.05537819202164507,                                       0.054292374725835535,                                  0.48180087380058534,                                  -2.0034693779818005,                                       0.055336328066810214,                                       -0.19650983845100134,-189103.62994976784,   -0.05474238971904495,-189103.68469215755,1.5072997818561634e-10
                            -0.0006411723522779348,                             -0.001491242653329368,                                    -0.09053614255586209,                                      0.5270828193206999,                                     0.07937408081483323,                                   -0.031947726111275825,                                   1.8051775915614592,                                   0.6857173234909971,                                       -0.19988419924915757,                                       -0.12532654749297267,                                  -1.4949667658320898,                                  -1.2383388011696197,                                        0.05286802801452589,                                       0.054053552531217186,                                   0.4824838829827217,                                  -2.0013583704794287,                                       0.055005515412792416,                                       -0.19313939247309836,-189103.02475794585,    -0.0786034848957536,-189103.10336143075, 2.760775581651725e-10
                            -0.0005465336981175132,                            -0.0009437827765258653,                                    -0.08795966235216379,                                       0.528864676658844,                                      0.0778318228127501,                                   -0.031379554351940474,                                   1.8049897279735698,                                   0.6843745754314927,                                       -0.19992212750790608,                                       -0.12813788860445055,                                  -1.4925183066832461,                                  -1.2364575692236874,                                        0.05392223081042091,                                        0.04187684032819003,                                  0.48336747269235353,                                  -2.0031765999257813,                                        0.04301369432778465,                                       -0.19454777579627297,-189103.44056867313,   -0.10399299218321258,-189103.54456166533,1.8215739240731504e-10
                            -0.0009139438117273537,                            -0.0011589375876772513,                                    -0.08034556308428496,                                      0.5201768123000095,                                     0.07866521712297989,                                   -0.030334681519089916,                                   1.8049446481354305,                                   0.6850394744078723,                                       -0.19994850533950612,                                       -0.13070754552564728,                                  -1.4924956331103034,                                   -1.236933757607123,                                         0.0546296694291602,                                       0.050068032937108264,                                  0.48145406401755997,                                  -2.0035973825211704,                                        0.02782078129063756,                                       -0.19375534824106933,-189102.66249238132,  -0.029476250874615036, -189102.6919686322, 3.966076078649071e-10
                            -0.0007953904513722919,                            -0.0010644595646945993,                                    -0.08391592296581929,                                      0.5171941584290536,                                      0.0791899410657937,                                    -0.03151534553324542,                                   1.8049013345318046,                                   0.6845729778471351,                                       -0.19995037609437735,                                       -0.13048324757897634,                                  -1.4934476724438865,                                  -1.2383592290265306,                                        0.05401966410573833,                                        0.04530565188235253,                                   0.4832700151966045,                                   -2.003260876812754,                                       0.020500124446243412,                                       -0.19018703506251095, -189103.1582702047,  -0.008227784239982047,-189103.16649798895,2.4157248554382253e-10
                            -0.0006912493659939074,                            -0.0009963937326312512,                                    -0.08499096055571903,                                      0.5180532756118387,                                     0.07893625852615718,                                    -0.03183899406977349,                                   1.8053988422809193,                                    0.685493567554019,                                       -0.19994038704586967,                                       -0.11790687573530256,                                  -1.4942515037495308,                                  -1.2366060830595718,                                        0.04829851884488073,                                        0.05614693485879879,                                    0.483073469724372,                                  -2.0046112804895966,                                        0.03537698264163627,                                       -0.19858321568417509,-189103.65833578125,   -0.04342761355767635, -189103.7017633948,1.4651151099129275e-10
                            -0.0007679204660364761,                            -0.0012460516212189257,                                    -0.09270963707453717,                                       0.529344066018371,                                     0.07896926811667807,                                    -0.03184765273390647,                                   1.8042948240050019,                                    0.687235739401836,                                       -0.19951595308149306,                                       -0.13098064699581527,                                  -1.4953596131760638,                                  -1.2387746392953005,                                       0.052444407191246656,                                       0.055487205444216425,                                    0.480456408795209,                                  -2.0025686864251537,                                        0.05110627541295265,                                       -0.19465413056118508, -189103.3042724192,   -0.08174067951547086, -189103.3860130987,2.0875626197114056e-10
                            -0.0008504153052518509,                            -0.0010222100102765448,                                    -0.09227504913392039,                                      0.5229481632683063,                                       0.077719649435158,                                   -0.029174876429056834,                                   1.8055732334720844,                                   0.6839299893533368,                                       -0.19997103950526762,                                         -0.127061479961872,                                  -1.4945424584310043,                                  -1.2367530186241336,                                        0.04893448022327923,                                       0.052961088990545524,                                   0.4825170613375387,                                  -2.0029606070571813,                                        0.06186524314899755,                                       -0.19769130545474134, -189103.9495042585,   -0.06411095805816477,-189104.01361521654,1.0950120146167363e-10
                            -0.0006408694611504123,                            -0.0010161217724572943,                                    -0.08866371506991245,                                      0.5196722039048584,                                     0.07832171528338619,                                   -0.032634125844264644,                                   1.8063311878479231,                                    0.682988046766101,                                       -0.19987392374102833,                                         -0.125645548789898,                                  -1.4927246700940509,                                  -1.2377507277766555,                                         0.0503687323433229,                                        0.04488945689159371,                                     0.48136818144932,                                  -2.0037528253490193,                                        0.04237535930688932,                                       -0.19423936781766585,-189103.08834170538,  -0.006385476967803621,-189103.09472718235, 2.590699427715767e-10
