galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,    log_likelihood,         log_prior,     log_posterior,                weight
              0.002813297062818342,             0.0025692108990826973,                1.6023046193820636,                     0.05411648397664251,                   0.0075647933769752915,        0.05354575940251462,        0.05017249257506004,                0.0026026307120509164,                  0.05081663256545507,                        0.10985658913174937,                       -0.09805656089225533,            0.46734922607809787,                   0.08741726972023736,                1.1305432471838286,22629.098869148725,3.4305775052493326,22632.529446653974,3.4642815278011443e-10
            -0.0010077404983132169,             0.0022334417053126543,                1.6009092587359628,                    0.057249188276864996,                    0.008560965722314894,        0.05251163639266815,        0.05196580649876456,                0.0005746427077057494,                  0.04931142061309493,                        0.09305234490310385,                       -0.07049201797968559,             0.4855877940669058,                   0.08593167930906662,                1.3492104080912135,22628.532438049184,3.3953120461324144,22631.927750095318, 1.966143795728431e-10
             0.0009216202166312895,              0.003423172216318415,                 1.599889777426643,                     0.05160594796252167,                    0.013127964750978096,        0.05483966519093308,        0.04970289228907656,                0.0012228690538256825,                 0.048391129658692085,                        0.12785066692250807,                       -0.07705812905730268,            0.48742041012139853,                   0.08812492998936546,                1.3360677110688313,22630.224025668016,3.3431710198571696,22633.567196687873,1.0672408638436749e-09
             0.0031250803680696175,            -5.923642520870064e-05,                 1.603592699683549,                    0.059695067118689285,                  -0.0009118239726874683,        0.04874209940657242,       0.055236472840599876,                0.0034741258112221006,                  0.04780222391730658,                        0.12166603176034398,                       -0.05360832210764086,             0.4794507488551448,                   0.08881377494903943,                1.1858928334797136, 22629.96824282609, 3.395879799907573,22633.364122625997, 8.263753781128725e-10
              0.002766335913822634,              0.005035323508182101,                 1.602761980934435,                     0.04781589239051424,                    0.005424722101149061,        0.05208858547812789,        0.04800388320009839,                0.0016804341290037267,                  0.05150514326155157,                         0.1375569263923504,                       -0.05920404341886322,             0.4958601658505763,                    0.0879913075384573,                1.2491799098824612,22629.230761956787, 3.290091935817159,22632.520853892605,3.9526967517225656e-10
            0.00031960236663365035,            -0.0014815983840922812,                1.6016705932228732,                     0.04269336202333234,                   -0.005170905534341775,        0.04767980652880549,        0.04320863081048406,               -0.0017959595901472659,                  0.05080577433707166,                         0.1164301818404596,                       -0.03946875978355209,            0.48469869911241387,                   0.08797561293045114,                1.1136447299334256,22629.427198639085,3.3339586541695367,22632.761157293255, 4.810662219519999e-10
             0.0021612896077832936,           -0.00048446266895355256,                1.5982828586623197,                     0.05335701992846701,                    0.007307737300542311,       0.054667828163089655,       0.049592288554156934,                 0.003122992363983974,                  0.04778382400305021,                        0.11619244923350078,                       -0.07801565139046225,             0.5043135911190331,                    0.0866092536843056,                1.2678732226387053, 22629.02401481601,3.2869164638526587,22632.310931279862, 3.214432825819445e-10
             -0.004670192063886016,             0.0017448663122239545,                1.6008675199900584,                     0.04764396781244593,                     0.01634714241836094,        0.05764741666039062,        0.04528886376281121,                -0.004894188103236979,                  0.04908451887936716,                        0.11503375493685165,                      -0.050507095018609706,             0.5105161897595829,                   0.08575732124179422,                1.4529473662608707,22628.215977850756,3.2840660271852826,22631.500043877943,1.4327762015666637e-10
               0.00412662038688875,              0.001959755748210887,                1.6018871305096434,                     0.05678473004495397,                    0.018879649535218094,        0.05692767801814733,        0.05179116802530748,                 0.004598229384007892,                  0.04748666182568837,                          0.129320127074968,                       -0.07399188763404689,             0.4963699136148102,                   0.08120243086361251,                1.3358924121554066,  22628.6380255264, 3.324821369487995, 22631.96284689589,2.1851000949265867e-10
            -0.0012154161714425852,            -0.0030416663351755316,                1.6001097634033585,                     0.04951310757021647,                   -0.011032188249348356,       0.046114602442402536,        0.04759210912217263,              -0.00039657915805729526,                 0.049052318715612254,                        0.10656540359288853,                       -0.06769254565325966,             0.4895639420536841,                   0.09109116205865647,                1.1475569884290233,22628.664134915787,3.3168452123313736, 22631.98098012812, 2.242903040303878e-10
