galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.lens.mass.einstein_radius,galaxies.source.pixelization.regularization.coefficient,    log_likelihood,         log_prior,     log_posterior,                weight
            -0.0030501046895666114,            0.00035833260154058557,                   -0.023017598901462443,                   -0.046236363642973045,        0.02853804491857176,       -0.03552872085686454,                1.6029011184973871,                                 3.6865894452399456e-05,6596.6257143804705,27125.899568396864, 33722.52528277734,1.4336530779842276e-09
              0.001862801263467177,            -0.0022417350826081975,                    -0.06347023349430903,                  -0.0005159942918247068,       0.050879575140753475,       -0.05782126314400354,                1.6023728663766803,                                  2.504497996348095e-05, 6595.529685778438, 39928.71113891525, 46524.24082469368, 4.791206591785189e-10
              0.008367209298719229,             -0.002821481877019716,                    -0.05446599544763589,                    0.012494824850317674,        0.05569493099197548,        -0.0497824130815267,                  1.60092844687004,                                  0.0002009790397385854, 6597.553084045407,  4976.20157365355,11573.754657698957,3.6240618389128464e-09
             -0.011630200880542374,             -0.002852638904449435,                   -0.027532321192981497,                    -0.01513633947441638,        0.04609300415956097,       -0.03798801897446785,                 1.598721160368807,                                   0.012375848781599967, 6596.380136168844, 81.37601006955933, 6677.756146238403, 1.121478131200827e-09
             -0.004355569740145374,               -0.0115520354963576,                    -0.04461429266068034,                    0.006751020555857383,        0.05409238753794493,       -0.04623507923565923,                1.5986161175525042,                                   0.006003736269429131, 6594.265103813124,167.13104136439296, 6761.396145177518,1.3528321887199385e-10
               0.00493573705696554,             0.0002619313314612648,                   -0.039111263236440624,                    0.020287537314844922,        0.05798015439290788,       -0.04277960455834612,                1.5972459254303368,                                    0.09305241905009343, 6597.540854230004,11.308853043974665, 6608.849707273978,3.5800101526701162e-09
             -0.005593197636893273,              0.004846483937186792,                   -0.027066361831845145,                   -0.027117761319615415,       0.038452978618657485,       -0.03611436188744205,                1.6001501419549096,                                  0.0026745091522716027, 6597.018975889117,374.46675315198223,   6971.4857290411,2.1243955088053827e-09
             -0.010746702187736884,            -0.0020351915831457678,                    -0.04105924843100818,                   0.0005823914704778596,         0.0502880900426495,      -0.043687668523491596,                1.5969946065110416,                                   0.003841399481300284, 6597.725275464212,260.89019226078017, 6858.615467724992, 4.305041899385804e-09
             -0.007710660311031643,             0.0039851618517822325,                     -0.0756822968363002,                    0.028020562177175638,       0.058893573083516615,      -0.061007606578032836,                1.6038246271298817,                                 2.2387317187791635e-06, 6597.295582421511, 446682.0205005339,453279.31608295545, 2.801328665035554e-09
             0.0015169262419327052,            -0.0005806160242024769,                   -0.034983736467054716,                     -0.0388889879229642,       0.030681018430017915,       -0.04208620113692457,                1.6029012256494268,                                  5.706404465614073e-06, 6595.083397619066,175242.25330921952, 181837.3367068386, 3.066368978375808e-10
