galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,galaxies.source.pixelization.regularization.signal_scale,    log_likelihood,         log_prior,     log_posterior,                weight
             -0.005513011281301163,              0.008150553189751332,                     0.04153834919347875,                  -0.0011700126030908947,                1.5971290452788913,        0.04799957582741432,       0.043168821140755875,                                         0.001960582278054388,                                       0.00015305395780927387,                                     0.11435554111454316, 5608.241906553532, 7044.263110582781,12652.505017136315, 8.088067762255397e-10
             0.0050911557465518125,              0.006720444429071059,                     0.06728806796263197,                   -0.016900410128056775,                 1.604952816991368,        0.04334349127489373,        0.05700351266314452,                                        0.0010109385045575356,                                          0.27368121549863333,                                     0.37260100811164343, 5606.287458985756, 993.3823369564453, 6599.669795942201,1.1456157805249617e-10
             0.0030095583931926137,              0.001330196279870142,                     0.05398212208503428,                    0.007482077500060281,                1.5998842613704247,        0.05149610301342611,        0.04849007546866668,                                          0.22512894486723042,                                           0.4554296374512887,                                      0.1737454976423658, 5606.371073637089,7.1934542874457446, 5613.564527924535,1.2455247703041628e-10
               -0.0088788529981134,            -0.0020764847925065382,                     0.04122692804433362,                    -0.04926450998342765,                1.6011510608397808,       0.030801709872946725,       0.045871725094852156,                                        0.0002962346480379539,                                        1.533588376124558e-06,                                     0.31706273048829436, 5607.377387796084, 655441.7089013869,  661049.086289183, 3.407132751838536e-10
              0.005442777201730099,              0.005947482277303384,                     0.05802383808810291,                    -0.02090727462023401,                1.6020299474850384,        0.03968821094488517,        0.05121573950592839,                                        0.0018949412046726254,                                           1.2273631646941394,                                     0.21132278213330702, 5606.934385840823, 529.0895162982995, 6136.023902139123,2.1877402178530346e-10
            -0.0028924417063551392,               -0.0039740457723961,                    0.028428917938641125,                   -0.017218118326972943,                1.5962836217552685,        0.04529966623950421,       0.037673254556854274,                                        0.0016591796047850582,                                           0.9636257939168176,                                       0.633979925195301, 5611.161513918045, 604.3121087082429, 6215.473622626288,1.4990432006177755e-08
              0.008029236103850224,            0.00024477364905433366,                     0.06754836945278055,                   -0.020704131192185147,                1.6046634550281695,        0.03959285842420923,        0.05743504018543144,                                         0.012990721456794209,                                        0.0013641724898696378,                                     0.32264855715339535, 5611.065427331242, 810.5704303356464, 6421.635857666888, 1.361708895169418e-08
            -0.0040186096082539344,             0.0007466735705485476,                    0.032497117879673416,                   0.0065162219028733325,                 1.598735578909707,       0.053702929003677013,        0.03786150275545336,                                        0.0011687421037116946,                                         0.015509089440667239,                                     0.45947984438105105, 5607.582151290736, 920.6655898849644, 6528.247741175701, 4.181351823520215e-10
             0.0032071921289850724,            -0.0012043822157927692,                     0.04103012542017607,                     0.01851921723059024,                 1.598938378253276,        0.05897431428113825,       0.043394022206422744,                                       2.2624982858337425e-06,                                           0.3914343699999839,                                       0.788826225214535, 5606.199170869448, 441992.4009672027, 447598.6001380721, 1.048807889369331e-10
             0.0074414494635341305,              0.003794316011013492,                     0.04406313733468525,                    -0.03006299331810112,                1.6027166130753292,        0.03762702455543532,        0.04683629407173029,                                        8.858299076153339e-05,                                           0.9621115992509607,                                      0.6197710327937421, 5608.440248329724, 11290.44777176248,16898.888020092203, 9.862420605476473e-10
             -0.009476944638224368,              0.005930303571955671,                    0.039928994885197445,                   -0.025326436837834983,                   1.5987175967739,         0.0407415178431032,         0.0438873902178496,                                         0.003389692171538069,                                       0.00016342737749484303,                                      0.9164101703892987, 5606.829632089773, 6414.503473911967, 12021.33310600174,1.9701612575944896e-10
             0.0067275481766466945,           -0.00011770787625022138,                     0.04418368804228618,                      -0.045069398994472,                1.6025791199243393,        0.03364881651959656,       0.047271671213681976,                                        0.0002223669985696681,                                        0.0018420544814192925,                                      0.1918629435694309, 5608.824292169915, 5040.494214991267, 10649.31850716118, 1.448010265242198e-09
              0.003140155080337471,             -0.003183933226759289,                      0.0374492876269716,                    -0.02108183172099513,                1.6018301245644733,       0.040362245479714454,        0.04209763087118923,                                           0.7826039234440963,                                       0.00010142112518745554,                                      0.5161444168149311, 5609.921985602882, 9861.719089690665,15471.641075293548, 4.340041091527768e-09
             -0.003386516458880999,               0.00987205730329218,                     0.04636892322500852,                   -0.016082490072424356,                 1.595835556238088,       0.043767996210590965,       0.047915473802652986,                                       0.00040443203193126523,                                          0.35934785074484527,                                      0.9092837210764659, 5610.187858749985,2475.9500263656932, 8086.137885115679, 5.661885496123249e-09
