galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.slope,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.point_0.centre.centre_0,galaxies.source.point_0.centre.centre_1,      cosmology.H0,       log_likelihood,            log_prior,        log_posterior,                weight
             -0.014127859858932883,              -0.03282887342417411,                1.2257957167795248,       2.066671708709309,                     0.14177413391549523,                     0.16392672600501515,       0.026238976999922677,       0.029764221442579522,                    0.05113437946541517,                    0.06435307499148873, 50.86649443270349,  -10.343870644253325,   1.1383829453678354,    -9.20548769888549,1.2366016363065102e-10
             -0.015186417766332505,             -0.002792382114073234,                1.4020747589599527,      2.1964990554122457,                      0.2408879210851375,                      0.3272633286992836,        0.08372933637826305,        0.06692460094504092,                    0.07564062416522437,                    0.08483631086048121, 48.54256436715262,   -9.064239072470176,   0.5329212033176878,   -8.531317869152488,4.4459722464333263e-10
              -0.03855908952541914,              -0.06337894017447053,                 1.379990199636331,       2.124611675076914,                     0.21981611342088903,                      0.3425793593803273,         0.0922335913098539,       0.050213197373585296,                    0.06573191847166052,                    0.06437394250555359,115.91206538360179,   -8.870274876118799,     1.03386887163902,  -7.8364060044797785, 5.397645119672334e-10
             -0.024929475031303844,              -0.01471837953150782,                 1.283750535290628,       2.153287922787988,                     0.19641566257852597,                      0.2070734306874486,         0.0290093691294003,        0.04662428351421625,                     0.0546987077521343,                    0.08759898433594722,112.95281895639621,   -7.279395517259271,   0.7804466152554992,   -6.498948902003772,  2.64919821905739e-09
             -0.014261696479596625,              0.010039725897494267,                1.2599523451985866,       2.152597234624107,                     0.15106207938846475,                     0.19054643627093934,        0.03542602487367377,        0.03276525700204466,                    0.04857959515595589,                    0.09171072344208948,42.834093942218544,   -9.745290116639271,    0.846696678591724,   -8.898593438047547,2.2500389540684054e-10
              -0.04514334065863898,             -0.045296397526515486,                 1.357371216011788,       2.105761608480835,                     0.22222705976149057,                     0.31564236389786227,        0.07256004113881236,        0.05108838179981369,                     0.0576671956889406,                    0.08764590761835728,  53.7708637026796,  -10.429078198460324,   0.9664871720324253,     -9.4625910264279,1.1355980712395668e-10
              -0.05241198028246694,              -0.04163464706706066,                1.3460853384842673,       2.081748511174028,                     0.21352352061251803,                     0.30795288331456466,        0.08236797185173184,       0.052439695143815926,                    0.04146364082205833,                    0.08324093449163808, 86.33424690049124,   -10.35281317931329,   1.1598844774727177,   -9.192928701840573, 1.225592580616983e-10
              -0.02343198995342758,             -0.041521502857621795,                1.2838060747225224,      1.9357862227644183,                     0.22028393706121527,                     0.29534428775400723,        0.11036493222751098,        0.08899241679738927,                    0.06138437202533616,                    0.05204221577217758, 62.94097732099516,  -10.465864907807028,   1.6236928737539353,   -8.842172034053092,1.0945821998583848e-10
              0.007832018564244732,             -0.005914442040194711,                 1.256109715583151,      2.2296706876640955,                      0.1323826270709221,                     0.18830729131057342,       0.027211191680833732,       0.017669503575145726,                     0.0709380764815115,                    0.07761575147107298, 89.36158772060438,   -8.496390860437923,  0.43993781111490593,   -8.056453049323018, 7.844767783608393e-10
              -0.05393221911133731,              -0.05971532261511007,                1.3329782312154177,      1.9706000333099132,                     0.24476292464116012,                     0.33468498636081084,        0.11251304026010196,        0.08236678979951666,                    0.04956320711237433,                    0.06840284763931065, 102.0493781929784,   -9.891983735723098,   1.6443953992770424,   -8.247588336446055,1.9430402972792265e-10
              -0.06735679944874905,              -0.09672776140877394,                1.3846742603320603,       1.993985665205321,                     0.26772678962834995,                      0.3488125588065634,        0.11244794654966955,        0.08974819384041431,                    0.04244354306983396,                   0.055720073591323166,118.72244837344236,   -9.994988421467472,   1.9570556254475264,   -8.037932796019945, 1.752860849260042e-10
              -0.03684618336993903,              -0.05520040796311067,                 1.404537337206787,       2.105099303751948,                      0.2637180755658045,                     0.34224120962481686,        0.08715097012806872,        0.08009633346364076,                    0.07553361234046226,                    0.06721305216646997,62.685615986877266,   -8.266412200964332,   1.0771843462714459,   -7.189227854692886, 9.873214108509349e-10
            -0.0026010141710816077,             -0.006868292065739677,                1.3293457657329641,       2.286530964321201,                      0.1799287817481607,                     0.25003595148565677,        0.04153125602092751,         0.0319276753961642,                    0.07172131054957252,                    0.08030720972962721, 55.26902902372258,   -8.930230417424358, -0.07433295579495441,   -9.004563373219312, 5.083536740964255e-10
             -0.055074756950241645,              -0.08092684461612026,                1.3638879087632012,      2.0259135778925916,                     0.24124646449854367,                     0.34362114605078414,        0.10838482331817695,        0.06850101502428084,                   0.050103641855899085,                   0.061569558290543155,112.47038993212489,   -8.836760977148725,   1.6231892698295762,   -7.213571707319148, 5.581606669086106e-10
             -0.018577369166330637,              -0.03837815208166135,                1.2625398665038619,      2.0883329785183116,                     0.12123617992636566,                      0.2221109680953486,        0.05464423791928417,       0.007841326824016595,                    0.05517104249852828,                    0.06634161389760036, 95.29089867037524,   -9.538902506670919,   1.1061529632755935,   -8.432749543395325,2.7658144234237314e-10
             -0.016213538815864497,             -0.019858093691287625,                1.2899818169742545,      2.1685557246976352,                     0.17327821260084456,                     0.21107714346424314,          0.044440846777691,         0.0447143021202764,                     0.0513634580658164,                    0.06574559303446628,110.26676016397636,  -10.075190548192278,   0.7755663794148796,   -9.299624168777399,1.6177674758023675e-10
             -0.032907204232638564,              -0.03043743065508066,                1.2727010444880729,       2.131308003826929,                     0.18500177027709144,                     0.19573869258027762,        0.02194026350613481,        0.04178789051668824,                    0.04685995154557115,                    0.08257379702695554, 42.77339992429524,   -7.928408730433329,    0.918189120310882,   -7.010219610122447,1.3843681445176048e-09
             -0.027084943699184336,              -0.04592951576942194,                1.3001517005458632,      2.0162799412508106,                      0.2179332798846471,                     0.27500837330718964,        0.08021075302536787,         0.0686116312085953,                    0.06079170526062674,                    0.06814905933367764, 52.98156766367025,   -8.458680349563505,   1.3329986204289985,   -7.125681729134506, 8.146246720296458e-10
              -0.08084728216606135,              -0.10128171735007714,                1.4634341237413286,      2.0793223119110524,                      0.2791282409105103,                      0.3818801936629601,        0.09926731074532946,        0.07784658858893866,                    0.04552595438918398,                    0.06152069754301318, 84.82855858921684,   -9.446373312156872,   1.6210626763440168,   -7.825310635812856, 3.033946761478948e-10
             -0.062391037548579276,              -0.06831385050568925,                 1.462458724849789,        2.12834796298783,                     0.27354322403623055,                     0.36870744281643636,        0.08893266550961258,         0.0665496216436988,                    0.05519464253546728,                    0.08522985546424842, 52.83205523651248,   -9.806490866150245,   1.0000623156138437,     -8.8064285505364,2.1164640166225398e-10
             -0.031429934634224374,             -0.054641642075974495,                 1.385110446866046,       2.067526354288699,                      0.2438608364776073,                      0.3264355412697234,        0.09308322595714465,         0.0778912581549252,                    0.07128103132504315,                     0.0617292960521925,107.58414641099631,   -9.398804255077458,   1.2800565285005259,   -8.118747726576933, 3.181756461051199e-10
              -0.06915313502787311,              -0.07999458642649945,                1.3792828829580226,       2.131924138079286,                     0.24504547519511194,                      0.3024501819411153,        0.05574871383724292,        0.05506176788102547,                   0.039614643494464155,                    0.07257278448631627, 82.21189317169758,  -10.215507996590315,   1.1194644749687546,    -9.09604352162156,1.4059730832962507e-10
             -0.017052779557240026,             -0.004313181454684018,                1.3520925561823132,      2.2694899246474476,                     0.17962020989946018,                       0.277246364378126,        0.04711644746569325,        0.02351137053505982,                    0.06894611019655268,                    0.09747014496598243,55.366954992082036,   -6.605768878385316, -0.00600417211022513,   -6.611773050495541,5.1959718140486725e-09
             0.0006122195722566218,             -0.018768026853260164,                1.2206803367378858,      2.0244051493914843,                     0.11525547366217342,                     0.19788558305411197,        0.06066705000794459,       0.022476145170808565,                    0.05976399247064684,                     0.0592452424892819,  93.7369025857285,   -8.129286269320382,   1.2422465237146842,   -6.887039745605698,1.1324305854669069e-09
              -0.03732863980305633,              -0.04648292115830748,                1.3782025629015262,      2.1321975262193726,                      0.2336586283435743,                     0.33261771670697626,        0.08993991281182269,        0.06274563696545823,                    0.05885431768525127,                    0.07089940031030889, 57.30202195947729,    -7.16492724310886,   0.9645645885496867,   -6.200362654559173,2.9704852090512835e-09
             -0.047585422004372345,              -0.04015723471486578,                1.3898406694513052,      2.1478353511689874,                      0.2384548359955389,                      0.3230440079501269,         0.0736141059204667,       0.056326649240737506,                    0.05875368096612521,                    0.07986198072716863,118.77091776716884,   -9.528683536169023,    0.783980446151286,   -8.744703090017737, 2.794223105954934e-10
              -0.03302051734899292,             -0.055565457731186534,                1.3571050880617093,       2.210012533989639,                     0.18944734923094975,                      0.2858253853114459,       0.051665702676575824,       0.022901837232666398,                    0.06088243269572513,                    0.07956560486432283, 44.61975622276466,   -9.863611795334268,   0.4945569105541747,   -9.369054884780093,1.9989576111996474e-10
               -0.0205194000176604,             -0.012089643860657973,                1.3841172657731775,       2.268775337463547,                      0.2153891822193887,                      0.3094162919447761,        0.06060626049884589,        0.03667707962523334,                    0.07008102678330559,                    0.09443755498961974, 76.06359192529015,   -5.833693145511351, -0.06172777628180995,   -5.895420921793161,1.1245402822325234e-08
              -0.01766345203016596,              -0.03711517106446095,                 1.263488715457233,      2.0930039310053408,                     0.14610363536068852,                     0.20047780960937425,        0.04549026422186134,       0.032368875002276754,                    0.04847819199850044,                     0.0564941605580354,116.64730834573722,   -9.647601097620647,   1.0959041097868178,   -8.551696987833829,2.4809375869992216e-10
