galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.bulge.centre.centre_0,galaxies.lens.bulge.centre.centre_1,galaxies.lens.bulge.ell_comps.ell_comps_0,galaxies.lens.bulge.ell_comps.ell_comps_1,galaxies.lens.bulge.intensity,galaxies.lens.bulge.effective_radius,galaxies.lens.bulge.sersic_index,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source_1.bulge.centre.centre_0,galaxies.source_1.bulge.centre.centre_1,galaxies.source_1.bulge.ell_comps.ell_comps_0,galaxies.source_1.bulge.ell_comps.ell_comps_1,galaxies.source_1.bulge.intensity,galaxies.source_1.bulge.effective_radius,galaxies.source_1.bulge.sersic_index,galaxies.source_2.bulge.centre.centre_0,galaxies.source_2.bulge.centre.centre_1,galaxies.source_2.bulge.ell_comps.ell_comps_0,galaxies.source_2.bulge.ell_comps.ell_comps_1,galaxies.source_2.bulge.intensity,galaxies.source_2.bulge.effective_radius,galaxies.source_2.bulge.sersic_index,log_likelihood,log_prior,log_posterior,weight
5.91156993330623e-05,-0.0003725749066055,-5.7646575405381745e-05,1.7400903520762046e-06,0.0486785101462402,-0.0495045445581021,1.2047756087738724,0.7978052016975787,3.4976999525633503,0.0791375841241348,-0.0302642554487383,1.399610728016911,0.0300061188432261,-0.020521417610342,0.1502331026154535,-0.0002096080138537,-0.1517991630802533,0.0571058453438514,3.0486445117189978,0.0691736305401978,1.308197830542645,-0.0998866839825041,0.2196604214963209,0.1061768270163262,-0.0748817575556405,3.490807678579728,0.0598771581230897,1.4489100645657724,29166.313879205893,10.48327177518402,29176.79715098108,0.0001
-0.0008346563720498,-0.000729672268949,-0.0001404089628608,3.338708829750692e-05,0.0499788482820053,-0.0496227102356954,1.2067097982202362,0.7968361929999412,3.4966389909371034,0.0792012180655787,-0.0302691068440769,1.399102795421448,0.0301750142753715,-0.0208343500324124,0.1494480980439269,0.0001054886121163,-0.1443894737380897,0.0559564037193887,3.0432770940819145,0.0700320347163682,1.3667592736189744,-0.1010459046164198,0.2192996140302746,0.1123624829380517,-0.0747122442920632,3.5000985693912385,0.0598895793832501,1.5194350195395876,29160.905964427853,10.48616494418242,29171.39212937203,0.0001
-0.000625239991007,-7.542335107465058e-05,-5.684472632173507e-05,-0.0002688389147858,0.0493187200019751,-0.0489465686774149,1.2079691516033353,0.7968292499316284,3.4922879573066545,0.0786797661145455,-0.0300134969924911,1.3992015963547568,0.030076082726379,-0.0207472316917472,0.1501831174140234,-0.0002145344825659,-0.1533647046007853,0.0479936687455583,3.005531927814856,0.0699258985284417,1.2790956615275657,-0.1002770477211007,0.219212335624432,0.1000896798673516,-0.0728285256522919,3.471727656927982,0.0600853706551324,1.4748930739460473,29166.051606491357,10.505949672887764,29176.557556164244,0.0001
-0.0005216133317928,-0.0004255790147074,-5.719327560018976e-05,-6.575457557619295e-06,0.0492152002369488,-0.0494522810383878,1.208127609860706,0.7967694797735274,3.4953280818860897,0.0801245130018519,-0.030439577331505,1.399946568114786,0.02979689189637,-0.0200225159195553,0.1495448940817246,-2.9825668288964745e-05,-0.1456308498210299,0.0589509376640431,3.051769897591384,0.0695947339950115,1.3250251198847054,-0.1005819525344698,0.2195678484388419,0.1063872992485197,-0.0806112302343888,3.5144923420675425,0.0595197004856983,1.4886533833158877,29166.035031998905,10.477271683073347,29176.51230368198,0.0001
-0.0005406950799194,-0.0002397906107249,3.3411816502583684e-06,-0.0003889691338868,0.0494902837949823,-0.0492854636465717,1.2077154104791867,0.7966369019760994,3.4945478408721034,0.0803828652461066,-0.0294902234624719,1.400120094520201,0.0302777240772836,-0.019817873909453,0.1505991094470329,-0.0006075044231717,-0.1515321861513104,0.0562426151860419,2.9802792157033458,0.0706028794181811,1.231360829954152,-0.1007988568936467,0.2197440461204899,0.1050597581229486,-0.0781958218591697,3.488238242891735,0.0600613697011096,1.490619056216847,29157.44817518796,10.47937864039516,29167.92755382835,0.0001
-0.0001843376114282,0.0007296334770387,-0.0001733483839141,-0.0001311458794889,0.0490572738300609,-0.0492694564085771,1.2073673708647907,0.7973565703398803,3.491838609206185,0.0800671235867064,-0.0290317979327876,1.3995855782013278,0.0306586583403282,-0.0198538873050363,0.1495894445028128,0.0008422992195183,-0.150818892128782,0.0561965004819027,2.9871849269727315,0.0694720053319732,1.25351393358246,-0.1002240821496582,0.2198456244068118,0.1009485105519086,-0.0747993541376716,3.480678777362287,0.059819858558514,1.4683235810121464,29168.69733577656,10.498033068598255,29179.19536884516,0.0001
-0.0003442163390097,-0.0007360606189868,-9.5653025610921e-05,-6.513492568586005e-05,0.0499595137821684,-0.0493548480805591,1.2051997982568663,0.7975883584860507,3.49563896382509,0.0795533085957491,-0.0298839023342045,1.3996347109890157,0.0301084540608351,-0.0202756247393793,0.1500239880062706,-0.0007313431917851,-0.1566313862130466,0.0565879854170017,3.0488485034033945,0.0699228575348862,1.3302685482006749,-0.100522778946459,0.2195952526873225,0.1000450511638822,-0.0725365957104094,3.4664355692489175,0.0606438512190368,1.455995798557849,29166.322323763805,10.483090889525114,29176.80541465333,0.0001
0.0003478385960216,7.7024266859403e-05,-0.0001425829882801,-0.0001730193403563,0.0491016734514023,-0.0494671565808178,1.2037378080812606,0.7981754223526266,3.498583205886283,0.0802040911035658,-0.0292430090621556,1.3996754504780236,0.0303723928294341,-0.0199723447931212,0.1501399097868919,-0.0001349080955644,-0.1548168386249185,0.057142509239332,3.0622114538330876,0.0693680321998781,1.3219066194059572,-0.0997602599309464,0.2200010675970849,0.1009086654303463,-0.0738824885347113,3.4844548706417866,0.0601203059631646,1.4966406383065338,29166.683534076503,10.48745957691451,29177.17099365342,0.0001
-0.0007150296332462,-0.0003903967430061,0.0001231078625789,-1.868875605188159e-05,0.04968161828455,-0.0489142897655171,1.204031508667667,0.7981978232780691,3.495132101330806,0.0778029983271966,-0.0302866539989168,1.3991472803530438,0.029909005164867,-0.0215071642887704,0.1493554021600044,-7.288037265175838e-05,-0.1519888436849119,0.0540452716377253,3.0236797412193104,0.0694055222009662,1.3040391047371298,-0.1004606863799633,0.2193571981542074,0.103100713561237,-0.0738101153123878,3.4762574214804807,0.0599395941429239,1.4428538295862092,29158.837364980227,10.501957093365435,29169.339322073592,0.0001
-0.0001078854434239,0.0002234184017885,5.011076562291827e-05,-6.607880171366236e-05,0.0494974598798225,-0.0491382168602972,1.2061026919678344,0.7974245151856307,3.4918081443069604,0.0799203186229991,-0.0312970413584402,1.4002558183709808,0.0291019752164743,-0.0200845894484491,0.1502999991992384,0.0003384609819612,-0.143132161399046,0.0446771867935963,3.01578544960519,0.0695876131986629,1.280669525761077,-0.1000047003545048,0.2200118672823524,0.1078603367546199,-0.0792211183587167,3.5098529090915616,0.0596514533064478,1.5043614922838462,29161.584379969943,10.487500570492752,29172.071880540436,0.0001
