galaxies.lens.bulge.ell_comps.ell_comps_0,galaxies.lens.bulge.ell_comps.ell_comps_1,galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.bulge.intensity,galaxies.lens.bulge.effective_radius,galaxies.lens.bulge.sersic_index,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,    log_likelihood,         log_prior,     log_posterior,                weight
                      0.10088184179586128,                     0.049003297356967665,            0.00013880344203301358,           -0.00029960228080287845,           0.9830685452545682,                  1.0106876504746238,               4.008665930008542,                     0.09320415101964899,                     0.04473288653429262,                1.1966443840231247,       0.022600870557533462,       -0.01832305391161978,                        0.04022317237493091,                       0.025665523376953617,                  0.11841896620023787,                 -0.07960573498802069,            0.35419708175151715,                    0.1476949229053046,                0.9874163354565267, 7281.343369674114,  0.87735492108896, 7282.220724595203, 6.263691794846702e-10
                      0.10075734962726633,                      0.04950295351094511,              0.000228885480494238,           -0.00031751910714710385,           1.0167772679542724,                  0.9909790117091928,                3.98508370526411,                     0.10064669858455953,                    0.045323515991962694,                1.2000237658342936,       0.023165458739676962,      -0.014525639719059189,                        0.04914639718856602,                       0.024037216516749508,                   0.1189475013925005,                  -0.0803436897636355,             0.3438567803293849,                   0.15035162194254442,                1.0204956566450436, 7280.702075294037,0.8547316845312396, 7281.556806978569,3.2985249206231645e-10
                      0.10011034011763457,                      0.04897075313354851,              7.98956866308978e-05,             -0.000493535944633148,            0.992002731848989,                  1.0063377123527144,              3.9987210242398943,                     0.09673044401399832,                    0.045775710803577674,                 1.199036022131986,        0.02214463704472935,      -0.015370540109494882,                        0.03793116447887435,                        0.02572774810005494,                  0.11838291283757868,                 -0.08016483348092439,              0.348727651421973,                   0.14743267588446113,                1.0113476676631872, 7280.994529150092,0.8477236285614721, 7281.842252778653, 4.419069841505407e-10
                      0.10113641625422407,                      0.04986716350696945,            0.00033116439348951506,             0.0001714864009909296,           0.9907836616875852,                  1.0066548348233013,              4.0016737791308605,                      0.0950947436330867,                     0.04783639768151487,                1.1962434282787284,        0.02219511567564032,      -0.017925365001594546,                        0.04287131089737204,                        0.03085485933882534,                  0.11850695306653881,                 -0.08019926200558952,             0.3656191508018337,                   0.14540012270299496,                0.9644392997261451, 7280.173665131969,0.8715178263762772, 7281.045182958345,1.9446173309917356e-10
                      0.09997637674015736,                      0.05017722473896099,            -5.030717590092739e-05,            -0.0004717372690790207,           1.0085440798127563,                  0.9960366760796431,               3.983386771311139,                     0.10056146892475218,                    0.042190547199882404,                1.1970377849835492,       0.020573993515848956,      -0.014681880247441862,                        0.04925416943903943,                       0.026959033169075542,                  0.11864653709358772,                 -0.08025683836226563,            0.34810424445360366,                    0.1496003174331948,                1.0228026761265663, 7281.080991685442, 0.834507812030874, 7281.915499497473, 4.818158331731829e-10
                      0.09953118429880072,                      0.04982190070968741,             0.0002125832526475597,           -0.00023753529092221162,             1.02254063759318,                  0.9869004271723005,              3.9815860255730744,                      0.1027251212968527,                     0.04840370052506127,                 1.200237465411504,       0.024190850118316762,      -0.014117286966676124,                       0.050111378454231525,                       0.027699014675381658,                  0.12032788889983026,                 -0.08007125760026314,             0.3484524359237792,                   0.15118928665519418,                1.0186089655964703, 7279.990357754303,0.8601401027853988, 7280.850497857088,1.6189176927160403e-10
                      0.10145627098731445,                      0.04939233283595367,             0.0001405118175545201,            0.00010268303838253293,           0.9876436178113102,                   1.005193808575936,               4.030844951597755,                     0.09709004362369651,                     0.05240875898157556,                1.1986436535002896,       0.026421380462125013,      -0.016896692498002484,                        0.04668936920618912,                         0.0224105822059655,                  0.11990960543209955,                  -0.0807426792867221,             0.3508131127906332,                    0.1496194021738625,                1.0073665978199984,  7280.88854004485,0.9026123567757011, 7281.791152401625, 3.974663639782084e-10
                      0.10107384104344332,                      0.05090779622595069,            4.9812652321863535e-05,           -0.00013900349964019427,            0.998647732331118,                  1.0004691493944307,               3.993314017749799,                     0.09099855137471692,                     0.04950383552828103,                 1.195809356261267,       0.024412677497228617,      -0.020269310628751976,                       0.056573463909091175,                       0.021236588508965645,                  0.11849323615558155,                 -0.08014276742543369,            0.36632933898755027,                   0.14612682568317592,                0.9755408356714697, 7280.527584079066,0.9186571670811065, 7281.446241246147, 2.770379071684169e-10
                      0.09978112199701525,                      0.05009839136902965,            5.2760150926015375e-05,            -0.0005421205388595949,           1.0131418612038519,                  0.9915056336975143,              3.9779893746554347,                      0.0962037982639319,                    0.043133564709181324,                1.1989673568815524,       0.021606650948769058,      -0.016178696079846826,                       0.059210345395660474,                        0.02743218655904812,                  0.11918686951754813,                 -0.08083144749256733,             0.3381887869773253,                    0.1527780634461426,                 1.047175505814101, 7279.735588731565, 0.863884841606414, 7280.599473573172,1.2548158293820238e-10
                      0.10129908337416003,                      0.05121415751855581,             0.0001298185236866503,            0.00025930135874764447,           0.9920565567263345,                  1.0057322910062634,                 4.0015716668064,                     0.09845791315951254,                     0.05563360146374488,                1.2006286501932362,       0.027122101837604662,      -0.014910275523229167,                        0.04084670991866266,                       0.015638822629166566,                  0.12122934383951514,                 -0.08105820900440924,             0.3563928893499413,                   0.14826259323913904,                0.9800477505537073, 7280.282314252576, 0.892678429535078, 7281.174992682111,2.1678032623889203e-10
