galaxies.lens.bulge.profile_list.39.centre.centre_0,galaxies.lens.bulge.profile_list.39.centre.centre_1,galaxies.lens.bulge.profile_list.19.ell_comps.ell_comps_0,galaxies.lens.bulge.profile_list.19.ell_comps.ell_comps_1,galaxies.lens.bulge.profile_list.39.ell_comps.ell_comps_0,galaxies.lens.bulge.profile_list.39.ell_comps.ell_comps_1,galaxies.source.bulge.profile_list.19.centre.centre_0,galaxies.source.bulge.profile_list.19.centre.centre_1,galaxies.source.bulge.profile_list.19.ell_comps.ell_comps_0,galaxies.source.bulge.profile_list.19.ell_comps.ell_comps_1,galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,    log_likelihood,             log_prior,     log_posterior,                weight
                              0.0020924145544395367,                              0.0007705741476235345,                                       0.0597966221029001,                                     0.023232729555110156,                                     0.004245147643607349,                                     -0.17884491825927515,                                 0.002566626943114366,                               0.00045669315288732085,                                        0.09717769925169115,                                       -0.04174115312660679,                0.0039973003875155,            -0.0008769442191849714,                     0.05426107909772802,                  -0.0009997258307220208,                1.6003897536075589,       0.048804550974411276,        0.04939666935677428,   5414.8587263924,    2.0088504595856342, 5416.867576851986,1.1660098792798177e-10
                               0.001543855005019898,                             -0.0008405051257164842,                                      0.04825813867439939,                                     -0.02040256521116413,                                       0.0670068439806034,                                      0.34651813092438627,                               -0.0007552367297119863,                                0.0034987192302854296,                                        0.08725165769318548,                                       -0.03642484032220002,            -0.0012352343720255748,             0.0036132000232606053,                     0.04842948480482578,                    5.48092428901851e-05,                 1.601234499111415,        0.04812218611185365,        0.04741770918485766, 5415.741047611483,    1.5179707314923876, 5417.259018342976,1.1555351989187841e-10
                              0.0011170317175491495,                             -0.0017977290485280129,                                      0.05756054069225497,                                    -0.018851498621385313,                                     -0.00981214123843439,                                       0.2714555796339626,                                0.0007426284675183527,                                 0.002702368324483163,                                        0.10731294962169674,                                       -0.04793061755204036,               0.00137864397565347,             0.0010981539356807169,                    0.053044023451759285,                    0.002313113589069529,                1.6032377130555084,        0.05108201777350563,         0.0505585330740429, 5417.260020986399,    1.7646441751055866, 5419.024665161504, 5.277945896397906e-10
                              0.0002058024938029479,                             -0.0024770570841466805,                                      0.05120418731959309,                                    0.0034032726259531233,                                     -0.04010738379240743,                                      0.23438717728609593,                               -0.0018994002686760513,                                0.0005269013163053713,                                        0.09798694193326395,                                       -0.06908018384830769,            -0.0017410626854217949,            -0.0003977285809671667,                     0.05497578619834062,                   0.0012100858048046143,                 1.598880132966283,         0.0510635982964433,       0.050867362464855514, 5416.424042438552,     1.861896940315566, 5418.285939378868,2.2877262935218705e-10
                             -0.0019510113143493962,                              -0.001042110974363672,                                      0.04757006512171145,                                    -0.023638131911871366,                                    -0.009004768768016863,                                      0.25405164955953974,                                0.0006030318572603054,                               0.00039649155528214704,                                        0.10588722390367823,                                       -0.06190464796817024,             0.0009752447073443059,            -0.0007313111248503546,                     0.05512249900065267,                    0.014944125345375658,                 1.598309385356304,       0.054486640082589355,       0.050341942180705035, 5417.446042050302,    1.8108242416484703,  5419.25686629195, 6.357009428712372e-10
                             -8.143724405668129e-05,                              -0.001560555529886501,                                      0.03948528499941186,                                    0.0008644624343444007,                                       0.4037488717810409,                                     -0.19259329602525813,                               -0.0001983013058770256,                                0.0011829692349523597,                                        0.11927872868868143,                                       -0.07133801740910278,             -0.001766821245206979,           -2.5762199359663308e-05,                      0.0531806705954844,                    0.011054221239048312,                1.5991271981466841,        0.05442179510786971,        0.04873777608201907, 5415.923638644903,    1.0432391263933258, 5416.966877771296, 1.387015956726526e-10
                             -0.0017640072378486416,                            -0.00030917628395185637,                                      0.05574609575774841,                                    -0.019976462706757108,                                    -0.050371095354958366,                                      0.27643835572281916,                                 0.001249859608915246,                                0.0014288068881960973,                                        0.10646555778930462,                                       -0.06175952110451913,              0.002152796062791621,             0.0013504221824086513,                     0.05432709885687831,                   -0.009169825958024774,                1.5978139967271647,        0.04649730672155761,        0.05086789549106546, 5415.782810290724,    1.7283362833580433, 5417.511146574082,1.2048153173385108e-10
                              0.0020976386194354324,                               0.000208936377948013,                                     0.058102202621458085,                                    -0.005772667840710178,                                      -0.1124580968670247,                                      0.46572040190019004,                                 0.002077564724327627,                               -0.0003906108007463423,                                        0.07800754214073677,                                      -0.056551211396387815,              0.002081681781562008,            -0.0007167484717434132,                    0.059430671316883205,                    0.004619378303002117,                1.5999820472479973,        0.05078810477156259,        0.05341478230751695, 5416.392927241206,    0.9219200124043342,  5417.31484725361,2.2176392785798054e-10
                              0.0013675429394154337,                             -0.0007722101866822761,                                      0.05534757824201849,                                     0.007923117134853776,                                      0.04326359874452939,                                     -0.07101218897180567,                               -0.0007714541972698817,                                7.742198921443595e-05,                                        0.07316546415262971,                                      -0.029502244055483705,            -0.0010775752088117562,            -7.997707336411872e-05,                     0.05355981664774603,                   -0.016200657719640254,                1.6018615376104675,        0.04412032749437528,       0.050832417889134396,  5416.45770685697,     2.179452227235911, 5418.637159084205,2.3660522708795514e-10
                            -0.00023354604926296985,                              0.0006979618302604962,                                      0.05079493521524149,                                     -0.00851219507516272,                                      -0.0704293794317575,                                      -0.1107022084444003,                                0.0013175674531386412,                               -0.0004503162658442463,                                        0.09895404178933073,                                       -0.04655264728409624,             0.0017661760293709288,            -0.0006741937865132802,                    0.055976488969490326,                  -0.0026787590574200784,                  1.60230888522419,        0.04825234653608079,       0.050825700811679586, 5416.687217670438,     2.093067916087372, 5418.780285586526,  2.97645701274428e-10
