galaxies.lens.bulge.centre.centre_0,galaxies.lens.bulge.centre.centre_1,galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.bulge.intensity,galaxies.lens.bulge.effective_radius,galaxies.lens.bulge.sersic_index,galaxies.lens.bulge.ell_comps.ell_comps_0,galaxies.lens.bulge.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.slope,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,    log_likelihood,         log_prior,     log_posterior,                weight
               -0.20425694270028236,                -0.1104524457094817,              0.026286907071255236,             -0.033919885421781024,          0.01394935434041753,                  1.8827041446246262,               0.900299683081015,                    -0.017662349026946002,                      -0.0218433784058577,                1.9992487368275011,      1.5016819306212972,                    -0.11263300780863414,                     0.13652613847931191,       0.056318319597868184,       -0.08086751835541003,                 -0.02932506732258828,                 -0.05458003674889362,                        0.06475535454088366,                       -0.05092936639077108,             0.1677797978120973,                     0.987085545010072,                0.5034778977539478,20700.372087252934, 78.91517333018945, 20779.28726058312,1.2779324543148712e-10
               -0.21242555572450625,               -0.13566595698210518,               0.01612716399356534,              -0.15562411086946706,         0.018606825815441447,                  1.2697582559921348,              0.6656449858361413,                      -0.0214740666580202,                      0.03702102535793402,                 1.980070731440749,      1.5058013020163112,                     0.04423990518287196,                     -0.2397713482973164,       -0.15190379048157782,       0.006640243942228144,                -0.019655915934910433,                 -0.16201540727986954,                      -0.016362930978330095,                        0.20624023946577624,            0.17250744266747142,                     0.978209949056359,                0.5026509374968154,20701.048403641264,61.363363564600746,20762.411767205864, 2.513207661986653e-10
               -0.02571859559056972,              -0.050296311888657554,              -0.10969158909000339,                 0.275057415158157,         0.025192282539136718,                    1.22791813967835,              0.5269444382026844,                     -0.02473096479379696,                     -0.15449317861367115,                1.9935653916342964,      1.5155665952209745,                    -0.19179294969266691,                    -0.11573128103870325,       -0.08265231732570477,       -0.14321179975868212,                 -0.08341186829702321,                  0.15626039258433522,                        0.12762734719202373,                        0.16840669890272955,            0.17066789471137872,                    0.9989905946311571,                0.5114136901684658,20700.943808124244,47.581867155619236,20748.525675279863, 2.263617898206518e-10
               -0.05844079696147107,               -0.16114192524651957,               -0.0644469859932147,               -0.0865569209879662,          0.02091184027063978,                  1.6688263082569528,              0.6101235547409758,                      0.05525518400744202,                     -0.04926602493872398,                 1.991904255598109,        1.50422193443723,                     -0.2175186475619089,                       0.286139331473299,         0.2071149209082997,       -0.17809189621880442,                 -0.06624930452299523,                 -0.08442477780366359,                        0.08088703342793277,                       -0.16498997772789956,             0.1638365256197699,                    0.9881306349172665,                0.5022823650743528,  20700.6105024966, 57.66351468653539,20758.274017183132,1.6219980371880883e-10
                -0.3900893991344066,               -0.16002391690385376,               0.06556128960629158,               0.07820956736048838,         0.016515376482977878,                  1.9960612320539597,              0.8978409667344276,                     -0.08477052668758678,                     -0.03918539353311481,                1.9731428827926756,      1.5139645022242503,                    -0.07158675747482068,                     -0.1758766953146262,        -0.1226728997388419,       -0.04668974257910644,                -0.021425510155615005,                -0.009083283987559932,                       0.006124615501387108,                        0.18928542304209123,            0.16340513517041855,                    0.9841333525365915,                0.5069474671561833, 20701.21886160743, 68.87671898086961,20770.095580588302, 2.980281789873059e-10
               -0.33710821674197594,              -0.005631397774231945,              0.040317472747253245,               0.10584960200154708,         0.015096022858033157,                  1.9572255279422137,               0.853556354965773,                     0.028068764623087213,                     0.062239231717435325,                 1.986024272174391,       1.506559306006281,                     0.03682757384058717,                    -0.22590177997584268,        -0.1454115741942262,       0.024827189845292624,                -0.033227561112648754,                  0.11518997733231666,                      -0.027642899873198488,                        0.14679520602328786,            0.16392266804228436,                    0.9934158018678483,                0.5091249040830848, 20700.84201829848, 74.42877066989311,20775.270788968373, 2.044543520987216e-10
               -0.06385115322875262,              -0.015274920534379217,               0.04020910694387571,               0.12964012884840043,          0.01747635810109854,                  1.1479084425851822,              0.6171040349114576,                     -0.02101056090966328,                    -0.054696439713997284,                1.9032013677623334,      1.5080583380015766,                     0.11601501844179417,                     -0.2102892621745525,       -0.13295406902449072,          0.079799802196858,                -0.016655640197093806,                  0.10768676714704613,                       -0.06950212552663437,                        0.13700994434429958,            0.17534818453421705,                    0.9653471088916624,                0.5005556701941671, 20700.69306279389, 64.51997804324473,20765.213040837134,1.7615939328465484e-10
                -0.0373777374592013,               -0.18326553206071447,              -0.04311077927397864,               0.09864480681383216,          0.02126805830933053,                  1.4200046050287392,              0.5892633384170141,                     -0.10996046008277958,                    -0.006124216389597479,                 1.985185876164946,      1.5110611093525979,                    -0.16040570623848235,                     0.24159251895966688,        0.17714501494277748,        -0.0926889282449337,                 -0.03693702302115065,                 0.039679341503839116,                        0.13218360880429775,                       -0.14308518049146193,            0.16715707966616167,                    0.9962923896316881,                0.5037339535216195,20701.098024738658,55.250664566925835,20756.348689305585,2.6410616794762317e-10
               -0.18497408361128023,               -0.15465957023608237,              -0.02209670398993389,               0.09729371577371974,          0.01770934396992046,                  1.2767171944782603,              0.6527758800956178,                    -0.045901577988844575,                     -0.06746119559922326,                1.9539862968372639,      1.5135869504797368,                      -0.260761137939357,                     0.24478723158202692,        0.16613365680566902,       -0.17432911353937733,                -0.012121565160920281,                 0.020790872940304014,                         0.1852465628222942,                       -0.09827781816924717,             0.1731078809632279,                    0.9716900183695023,                0.5019524800275529, 20700.85766606411, 65.27644084758178, 20766.13410691169,2.0767876753846823e-10
               -0.07030804798137803,               -0.08282849662196719,               0.05562499181681474,               -0.1066025359519009,           0.0193245009076242,                  1.2620927437278877,              0.6422642182962963,                      0.05081365724410795,                     -0.03898688710710425,                1.9426312517181825,      1.5096086881805566,                    -0.20372875032081803,                     0.11666824305959257,        0.07178337102363366,       -0.11875515866295938,                 0.018227501860177974,                  -0.0780145556950716,                        0.13475995273347852,                       -0.09965164740167932,             0.1714833049902658,                    0.9838943312644587,                0.5023490959837856,20700.707801868393,58.939418369719974,20759.647220238112,1.7877504852363398e-10
