galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,    log_likelihood,         log_prior,     log_posterior,                weight
               0.10213342373563364,              0.026630430441266936,                 1.013450179490183,                      0.1795470591459188,                    -0.23118266543122235,       -0.04737732084063373,        0.07244104375152877, 29896.71309342012, 2.247721074750841, 29898.96081449487, 1.699136339076238e-10
               0.09621775661752636,              0.026375699650421136,                1.0108884804314067,                     0.17887503177227002,                    -0.21366577040145904,       -0.03737587247863966,        0.07209544282549452,29897.987819381153, 2.019717099096414, 29900.00753648025,2.0514589688876444e-10
               0.10291247608060267,              0.025607196428785246,                1.0148544005494968,                      0.1741731591581464,                    -0.23016748771520265,       -0.04828757408333034,        0.07115245056025044,  29898.3360712173,2.2792036838298246, 29900.61527490113, 2.906074113124036e-10
               0.09980272717817767,              0.021908014673001686,                1.0147039216914913,                     0.18030411573367972,                    -0.22694334864795435,       -0.04631876180565858,        0.07090624999310385,29899.016406978593,2.1645193009962114, 29901.18092627959, 5.738161309148243e-10
                0.0893642578862983,              0.027555792277580166,                1.0126956594692165,                     0.18051872653301487,                    -0.21432543112047078,       -0.03740009152165735,        0.07453176086356034, 29897.54678101389,1.9545988702759713, 29899.50137988417, 1.319843098678467e-10
               0.09524644213310744,              0.029133053246597818,                1.0132886487336672,                     0.17182988391836046,                    -0.22320093985769793,       -0.04195962126121533,        0.06999133452980283,29898.786105540097,2.1590630915162023,29900.945168631613,4.5577878768867693e-10
               0.08937020762786582,               0.03226903565995876,                1.0106721054012562,                     0.17895836983065821,                     -0.2115186005149258,       -0.03660199313469398,        0.07326056686692373,29898.536665823314,  1.95260939831591, 29900.48927522163,3.5515981110582036e-10
               0.09545721363661733,              0.033140447255115446,                1.0121120545498838,                     0.18472839975677546,                    -0.21085299956865405,       -0.03722572477962793,        0.07552949462776909, 29897.45192061681,1.9674701165173738, 29899.41939073333,1.2003971589357088e-10
                0.0944554718312988,               0.02997661254688254,                 1.014673440081459,                      0.1718239177551393,                     -0.2362502911833801,       -0.05036314267176467,        0.06915870381842831,29899.629621244705,2.2873299635677338,29901.916951208274,1.0594691732257247e-09
               0.09453900025046175,               0.03392239382819547,                1.0076605837484507,                     0.16634013180136795,                    -0.22587127900397772,        -0.0469967483423695,        0.06744358707813047,29899.440010053655,2.2333595049626305, 29901.67336955862, 8.764784263459379e-10
               0.09236995586576909,               0.03161716033534887,                 1.011426600298861,                     0.17873352138080784,                    -0.22552213252761022,      -0.045790299624405895,         0.0744487528635494, 29899.50835848308, 2.115298896796909,29901.623657379874, 9.384790379409594e-10
               0.09892663175302568,               0.03556209854334029,                1.0171677674375088,                     0.17222639818507923,                    -0.23033977138387904,      -0.042362191792104265,         0.0687754414211405,29900.000815153704,2.2847552819364902, 29902.28557043564,1.5356625425309222e-09
               0.09420451968268534,               0.03019488373776921,                1.0134730272111931,                     0.17513488636984934,                    -0.23470559209265418,       -0.05059396395357746,        0.07087506051246162, 29898.38818996852,2.2464204239456507,29900.634610392462,  3.06155151809295e-10
               0.10466409973985065,              0.027674282217410848,                1.0210944501780688,                     0.17954551186278872,                     -0.2389544545555103,        -0.0481146542554321,         0.0730543270685563,29898.561039709013,2.3579283024757083, 29900.91896801149, 3.639227959151345e-10
               0.09214639199649421,              0.026701851171267922,                1.0104492488571923,                     0.17853119932773254,                    -0.21298253472889886,      -0.038829239789468506,        0.07409065034334766,29897.567548347164,1.9780719357336882,29899.545620282897,1.3475393130345806e-10
               0.09232698283811933,               0.03253090876630554,                1.0126893360398768,                      0.1668710643734505,                    -0.22769526572055776,       -0.04363009782792726,        0.06636579921207175,29898.860905672645,2.2225973374844115, 29901.08350301013,  4.91178551142463e-10
               0.09037704837542493,              0.026832680365094338,                1.0146967611642306,                     0.18118030748692082,                    -0.21711089273690506,       -0.03729804024104916,        0.07388260575966576,29898.014419738924,1.9840544165359795,29899.998474155458,2.1067607744913353e-10
               0.09540082072112467,              0.033445276129569816,                1.0079315543744682,                     0.17857624815522416,                    -0.20982365315317072,       -0.03660410591904417,        0.07076675656234183,29897.871758322763,1.9988866665999305, 29899.87064498936, 1.826661846968953e-10
               0.09906560160380332,              0.029948731968623934,                1.0122321778218404,                      0.1692639656944017,                    -0.22521631959362454,       -0.04241619632749871,        0.06935120384751398,29900.203638875053, 2.236845183617889,29902.440484058672,1.8809662979455224e-09
               0.09318800509465568,              0.020728088249584223,                1.0105354769789225,                      0.1754900682209444,                    -0.21583918759871223,       -0.04101683688432467,        0.06965815944322684, 29898.03443606876, 2.021457872836662,29900.055893941597,2.1493552635840906e-10
               0.10275190182485304,              0.026096023335976045,                1.0118700676948005,                     0.17478847594370175,                    -0.23045993676345974,       -0.04971524651728976,        0.06948932439591393, 29899.00503428125,2.2775566693042846,29901.282590950555, 5.673272616385827e-10
               0.10103536351895487,               0.03128251747420929,                 1.018116076981439,                     0.17407736706622115,                    -0.23542255258094347,       -0.04665894559787087,        0.06766157352733326,29898.659955496405,  2.33124026737389,29900.991195763778,4.0176105983982075e-10
               0.09810119731296857,               0.03401600862302925,                1.0145434809504454,                     0.16822787693417252,                     -0.2337446636069408,       -0.04666068863521616,        0.06659411487092287,29897.696735485777,2.3347530781983807,29900.031488563975,1.5333690940815783e-10
               0.10005848728313001,               0.03528728834028293,                1.0123822569204892,                      0.1727453077744551,                    -0.22213630217351127,      -0.040988023796042994,        0.06940767782507701,29899.544359786814, 2.208924123573758,29901.753283910388, 9.728810498691623e-10
                0.0956446478415972,              0.025590979014514667,                1.0117655964075603,                      0.1795977325661697,                    -0.22453734368262926,      -0.045953801641970105,        0.07336399699252538, 29899.17449403109, 2.113203415767414,29901.287697446856, 6.720925592935772e-10
                0.1012444596244966,              0.029397888271678413,                1.0182310131311505,                      0.1764709558063463,                     -0.2401061358087892,       -0.04949123817895207,        0.07091049675496153,29898.216734613918,2.3606699078422007, 29900.57740452176, 2.579166964767071e-10
               0.09824177326441064,               0.03550630239095911,                1.0178753924615913,                     0.17736732495036314,                    -0.22775427403866513,       -0.04177302166706254,        0.07077111328668595,29897.412570987784, 2.216023683640425,29899.628594671423,1.1540792487129365e-10
               0.10229374751173595,               0.01995254243862722,                1.0143496872947022,                     0.17014016975100826,                    -0.22919998877705833,      -0.049502738359994414,        0.06847915830056478,29898.970191642344,2.2783901849911143,29901.248581827334, 5.479004880654277e-10
               0.09609390361317588,              0.031146443730327156,                1.0160623659362669,                     0.17364538353192346,                    -0.23068962559902323,      -0.045821525854775336,        0.07233348283652619, 29898.19950056788,2.2360840623198346,  29900.4355846302,  2.53509831387572e-10
               0.09774191208548608,               0.03113778616455733,                1.0124927767298693,                     0.17670875805582695,                    -0.21619122368146879,        -0.0380988933324678,        0.07129839913053759, 29901.09405981217,  2.08697104534956, 29903.18103085752, 4.582325270085467e-09
                0.0993383429151523,              0.021222129390216823,                1.0126700846524126,                     0.17800894995030017,                    -0.22397368088564457,       -0.04852187682005893,        0.07051763405901929,29898.621260219104,2.1440462357752836, 29900.76530645488,3.8651174516756013e-10
               0.10020715887768006,              0.024051475263506945,                1.0166883741723152,                     0.17808001415017666,                     -0.2324708562725774,       -0.04700147062281368,        0.07109610774403341,29898.326255592852,  2.24482809911696,29900.571083691968,2.8776887190936815e-10
               0.09612409184228363,               0.02458297521968802,                1.0131808546812924,                     0.18616091751893368,                    -0.21731584894462333,       -0.04129684809602735,        0.07583433007039714, 29897.90117556222,2.0014495151914975, 29899.90262507741, 1.881195376271724e-10
               0.10400798394826645,              0.030437632368940804,                1.0164166010633682,                     0.16992463267141505,                    -0.23347555230450434,       -0.04576049175796393,        0.06976961464309911, 29901.60467985819, 2.367982326111032,  29903.9726621843, 2.320338750607452e-09
               0.09322709322106261,              0.030498577655588117,                1.0088149629270282,                      0.1696148505160467,                    -0.21998336424518963,      -0.041844272631523016,        0.06973504568596717,29899.621035335178, 2.128096634575839,29901.749131969755, 3.192019402976928e-10
               0.10147173106841323,               0.03519486497640397,                1.0188554218665318,                     0.17185340839484295,                    -0.24641385619421977,      -0.051181954348933356,        0.07172724990191409,29900.249791841183, 2.481873602132694,29902.731665443316, 5.985921313171341e-10
               0.09940066210865409,              0.028094437030988597,                 1.015405103260472,                      0.1803615614880462,                    -0.23967160391871833,       -0.05310994012883796,        0.07241963546974456,29901.763169988582,2.3075814511033896,29904.070751439685, 2.718834561920408e-09
               0.09079433183121875,              0.028088612115391598,                1.0061014458590098,                     0.16520922460248597,                     -0.2118470484803027,      -0.039884462795051534,        0.06788409928816769,29900.456680268486,2.0524106324052003, 29902.50909090089, 7.361757474293054e-10
               0.09514790379226361,               0.03286678786883578,                1.0141214781017545,                     0.17980929759777006,                    -0.21955942446718119,       -0.04036540214625656,        0.07340201684610398,29902.254457099658,2.0791916439424014,  29904.3336487436, 4.443713628554344e-09
               0.09616772258553688,                0.0203430968835356,                1.0096322039129002,                      0.1744318997905541,                    -0.21672331456670224,       -0.04353744563916584,        0.06914558778176205, 29901.09596595465, 2.064668709117395,29903.160634663767,1.3951463004844736e-09
               0.09596092127200301,              0.019321535870570256,                1.0098233748998608,                      0.1738071573439532,                    -0.21273590455610714,       -0.04144518130519964,        0.07028145787265927, 29903.78786832871,2.0269303231947253,29905.814798651903,  2.05919795702569e-08
               0.10101161703449511,               0.03035805012204681,                1.0207473453610538,                     0.17476744890634668,                    -0.24244780208474653,       -0.04944996420344777,        0.07184790230773752, 29899.27989404498,2.3979830470405465, 29901.67787709202,2.2693931659901283e-10
                0.1043508505681849,              0.024720318044151698,                1.0184603885448753,                     0.17649046766508916,                    -0.24324349076295407,      -0.053210561287354435,        0.06963057102846937,29900.715681999314,2.4135113139527244,29903.129193313267, 9.538158355541271e-10
               0.08641431626797669,               0.02535151778026995,                 1.004238888191074,                      0.1729992573902505,                    -0.20329129955108446,      -0.032343619742083995,        0.07047427214142599,29901.106514573275,1.8716530233397417,29902.978167596615,1.4099410616939513e-09
                0.0940039726880017,               0.03111243778278218,                1.0121647114639827,                     0.17191656281837392,                    -0.22861115890107103,       -0.04756542930407642,        0.07033034072782746,29900.405629279525,2.2069795351901007,29902.612608814714, 6.995364409997124e-10
               0.09057887825370976,              0.028363252110392846,                1.0122583367005147,                     0.18105747294339927,                    -0.21879589241556546,       -0.03972681555379104,        0.07292393901227273,29903.245730349205, 2.007239671775125, 29905.25297002098,1.1974311887551687e-08
                0.0985648378870103,               0.02695270236429896,                1.0113150263539255,                     0.17768276564855545,                    -0.23340308654965267,       -0.05255477935132602,        0.07123405728382426, 29902.40266437379, 2.248241342541056, 29904.65090571633, 5.153611359670129e-09
               0.09584398852742154,              0.036742088334081345,                1.0116386690132577,                     0.17422415139627534,                     -0.2200436487393795,       -0.03969212325835225,         0.0690220791257603,29901.376449412124, 2.142031945349697,29903.518481357474, 1.846852321503711e-09
               0.09860434581978841,              0.027177288105641847,                1.0146802257593457,                     0.17598961933754795,                    -0.23313930034523034,      -0.049536614331062934,        0.07299112539924096, 29899.28980982204, 2.258029560549761, 29901.54783938259, 2.292007898715053e-10
               0.09526634997897188,              0.026440109659365205,                 1.008233673270652,                     0.17516380178444224,                    -0.22116224550165503,       -0.04425137845803301,        0.06998359289697043, 29901.93285073535,2.1084486665931346,29904.041299401943, 3.221619119666785e-09
               0.10212128785926733,              0.029880718672351564,                1.0198296941874552,                      0.1754422664859208,                    -0.24622985476404552,      -0.053247710261041664,        0.07124162522680483, 29901.28639856474, 2.444241502812402, 29903.73064006755,1.6878101082988008e-09
               0.10089601546975493,              0.026035940194588728,                1.0105184997344017,                      0.1737157713551467,                    -0.22345774770620844,      -0.045682772603828636,        0.07062343881409938,29901.275474061193,2.1952965867088676,29903.470770647902,1.6694719706908694e-09
               0.09348026631029788,              0.024338101410000396,                1.0090456849735379,                      0.1780281789692619,                     -0.2199622668816562,       -0.04310482479427152,        0.07215523429776255,29900.083493457158, 2.054963684909176,29902.138457142068, 5.068839420097392e-10
                0.0947839821289388,              0.026444308513181865,                1.0157618480719264,                     0.17890440729010473,                     -0.2317050488136222,       -0.04661162896546256,        0.07104524281584834,29899.187488838368,2.1845454089830247, 29901.37203424735,2.0690866155792713e-10
                0.0968038825605446,              0.019504589644981942,                1.0111196449061426,                     0.17546567478236844,                     -0.2170447230648631,      -0.044437764409535396,        0.07012208588565272,29898.934587433334,2.0651103565956723,29900.999697789928,1.6067377101489857e-10
               0.10313357462018061,              0.025078442350291642,                 1.016668302043326,                     0.17116970758845815,                    -0.23609014500081454,       -0.05166654694727432,        0.06871215631165761,29902.085143628534, 2.362509087655808, 29904.44765271619, 3.751579527218535e-09
               0.10320917685656708,              0.025313946035833493,                1.0201404523168227,                     0.17753818550109243,                     -0.2439162586213025,      -0.054140399721778254,        0.07108550186128049,29899.822426442355,2.4033075270127267,29902.225733969368, 3.904168644036621e-10
               0.09612917266542734,              0.030053015963298315,                1.0160701320713317,                     0.17714361683890226,                    -0.23778126160458482,       -0.05130366987442056,        0.07204197150440766,29901.682294197955, 2.282866796810609,29903.965160994765,2.5076035296038133e-09
               0.09871404536656765,               0.02995714319741265,                1.0193435803923065,                       0.177885511276371,                    -0.24219408172137405,       -0.05061958869006497,         0.0728029969720223,29899.038884593214,2.3498011235149456,29901.388685716727,1.7833667604323393e-10
               0.09777530169000664,              0.029708585730604822,                1.0165704119779178,                     0.18812301866969441,                    -0.21916324175257842,      -0.039873669531809264,        0.07667150418165869,29902.436458623495,2.0368328035986485,29904.473291427093,   5.3307500655405e-09
                0.1006346191879644,              0.032367044645492095,                1.0153974559040828,                      0.1777341665014047,                    -0.22547250627010965,      -0.043111203358673966,        0.07126070321174038,29902.255435731873,2.2036972775705297,29904.459133009444, 4.448064518479937e-09
               0.09886944882403094,                 0.035061382822183,                1.0140274521895076,                     0.17237414871532059,                     -0.2216941067483352,      -0.038568672215555544,        0.06868083092294314, 29903.15394101088, 2.194538667367725, 29905.34847967825,1.0924132588605382e-08
               0.09918349842700555,               0.02707492666709472,                1.0111019957235379,                     0.17515221089448915,                     -0.2316726809896862,      -0.051507379456605384,        0.07019844702755618, 29899.78843318505,2.2540779875527224,29902.042511172604,  3.77368360533969e-10
               0.09484778920121056,               0.02664154097091874,                1.0151737812038863,                     0.18441744770185287,                     -0.2263775729822277,       -0.04525458137169719,        0.07438671827676524,29898.689609048844,2.0950956318157115, 29900.78470468066,1.2576280814771425e-10
               0.09607259099169377,              0.019891565043503534,                1.0098687913264652,                      0.1738806090551007,                      -0.211313766669296,       -0.04041278400257381,        0.07097051025148571,29899.603179452304, 2.015209126386238, 29901.61838857869, 3.135528922992395e-10
