galaxies.bcg.bulge.intensity,galaxies.bcg.bulge.effective_radius,galaxies.bcg.bulge.sersic_index,galaxies.bcg.mass.einstein_radius,extra_galaxies.member_10.mass.einstein_radius.theta_E_star,galaxies.source_1.bulge.centre.centre_0,galaxies.source_1.bulge.centre.centre_1,galaxies.source_1.bulge.intensity,galaxies.source_1.bulge.effective_radius,galaxies.source_1.bulge.sersic_index,galaxies.source_1.bulge.ell_comps.ell_comps_0,galaxies.source_1.bulge.ell_comps.ell_comps_1,galaxies.source_2.bulge.centre.centre_0,galaxies.source_2.bulge.centre.centre_1,galaxies.source_2.bulge.intensity,galaxies.source_2.bulge.effective_radius,galaxies.source_2.bulge.sersic_index,galaxies.source_2.bulge.ell_comps.ell_comps_0,galaxies.source_2.bulge.ell_comps.ell_comps_1,     log_likelihood,         log_prior,      log_posterior,                weight
           1.263635414138293,                 2.2144704249654836,              4.222081900931819,               5.9718340156346486,                                        0.1001164447289666,                     0.7465344670799049,                    -1.0281414598962941,                3.964521670381357,                     0.07539580816637607,                  1.4440594002718794,                          0.04673589041786424,                       -0.0057845813413980336,                    -0.2037499470548523,                    -0.2628758835445776,                9.983272809603617,                      0.2998766903830555,                   0.907283923379756,                          0.28985928741115985,                           0.7475037148331742, -212317.2969287156, 8.177106728722192,-212309.11982198688, 3.957213524773715e-10
          1.2647826638048814,                 2.2138524547617964,              4.216646669194719,                5.947107625465024,                                       0.10002001507819631,                     0.7344289380450921,                    -1.0108296364728433,               3.9318159669733554,                     0.07558478421601135,                  1.4243346519814324,                          0.04513594909052986,                        -0.017642863129426357,                   -0.20852530340015155,                    -0.2684266529915655,                9.839311834284613,                     0.29967729981061597,                  0.9173343830077367,                           0.2888981118882807,                           0.7453255773471704, -212318.4595228695,  8.06290804484311,-212310.39661482465,1.2373177950900902e-10
          1.2653702621817369,                 2.2129740586683813,               4.21736982036798,                5.936482269651005,                                       0.10004526884142446,                     0.7281174431317835,                    -1.0027620013404026,               3.9277348377254206,                     0.07386233477524709,                  1.3910971034567492,                          0.04559873900489343,                         -0.03167713806668038,                    -0.2042778364538367,                   -0.26625418789009786,                9.986600963858496,                      0.2999364351987203,                  0.9165284005827817,                           0.2855231658826588,                           0.7392622601372505,-212317.38085993874, 7.947824731951817,-212309.43303520678,3.6386360470753127e-10
          1.2635234245079188,                  2.214806492540033,               4.22040603807083,                5.965846619178539,                                       0.10005159839076348,                      0.743321234358876,                     -1.023493793968468,                4.021795790405344,                     0.07517739640158846,                  1.4739366919779322,                          0.04643276996647498,                         -0.02245109689672589,                    -0.2143713844474216,                    -0.2802156705774897,                9.967504996173965,                      0.2996234266778829,                  0.9249336881347587,                           0.2846307443050649,                           0.7450554068178071,-212318.58244031167,  8.13828303926989, -212310.4441572724,1.0942054967350158e-10
          1.2645128854743988,                  2.213711759324311,              4.217319698949565,                 5.94839192069786,                                       0.10009701945145177,                     0.7347091872737983,                    -1.0110629845075096,                3.963292515769825,                     0.07433336102117075,                   1.432547601362482,                         0.053394517495368346,                        -0.019829573135253558,                   -0.21170780529853142,                   -0.28770710296804647,                9.987191623947298,                     0.29994150089803034,                  0.9212360538277464,                          0.28681592496247377,                           0.7412493555079501,  -212317.008612938, 8.050090489978434,-212308.95852244803, 5.279629368176546e-10
          1.2650199619201816,                 2.2136673815475625,              4.218990479611692,                5.960516246690615,                                       0.10010175426940209,                     0.7412228521038173,                    -1.0193317130001602,               3.9703324285237818,                     0.07653562250674459,                  1.4973277097324813,                         0.026597288386624666,                        -0.017635739503766918,                   -0.20371753140541482,                   -0.25652652628843536,                9.982105902252098,                      0.2998170801304215,                  0.9211774519578668,                          0.28866208117221087,                           0.7483286565860127, -212317.5644685509, 8.113725722471077,-212309.45074282843, 3.028296611205899e-10
          1.2641211894311357,                 2.2143300705030042,              4.219247305763334,               5.9674295734942975,                                         0.100003071078608,                     0.7447244737342128,                    -1.0242144339093961,                4.127486206246352,                     0.07336607600691589,                   1.529244583510911,                          0.04835514071660857,                        -0.003914412630225292,                   -0.21055313141016127,                    -0.2801068627544784,                9.986555466487939,                      0.2998881636213701,                  0.9468244425105913,                          0.28720303116069723,                           0.7466064470506937, -212317.4946189358,  8.15443352116824,-212309.34018541462, 3.247384496472867e-10
          1.2662320146171218,                 2.2124687590628946,             4.2125198873889635,                5.962910057641019,                                       0.10000058223166598,                      0.742685834067377,                    -1.0205535268296446,                3.999846020305239,                      0.0759967257984058,                  1.4766292364126588,                          0.04085634428423466,                        -0.015457552258245275,                   -0.20433902712279572,                   -0.25311346783797206,                9.988683416374698,                     0.29995460733890866,                  0.9028717786318331,                          0.28957888034831775,                           0.7490058657193367,-212318.47613637586, 8.130921116832521,-212310.34521525903,1.2169314215012887e-10
          1.2611129977525288,                  2.217440502134539,              4.223997661007675,                  5.9830480183681,                                       0.10001658320143415,                     0.7523235123621194,                     -1.035535184131558,                4.095024750026515,                     0.07375263320387268,                  1.4818756040742964,                          0.05859849135717286,                        -0.012019882320787314,                   -0.21105443025437953,                    -0.2827674251103118,                 9.97956753114018,                      0.2999977899127799,                  0.9057888895664501,                          0.28801580429613655,                           0.7470962887957923, -212317.7881855509, 8.244583265102374, -212309.5436022858, 2.421248429086613e-10
           1.267253469505771,                  2.211385313100428,              4.217207453443791,                5.943316929127912,                                       0.10001171729003089,                     0.7315791773665891,                    -1.0069796259728905,               3.9801425528141303,                     0.07404034679629312,                   1.467276033485479,                          0.03720047587823763,                        -0.006432578137775073,                   -0.20443660411285072,                    -0.2640753332987857,                 9.98678518148536,                      0.2999844696985097,                  0.9380361431867831,                          0.28819769578518595,                            0.742588416767812, -212318.5972799629, 7.994872956685085,-212310.60240700623,1.0780877553911761e-10
