galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,galaxies.lens.subhalo.redshift_object,galaxies.lens.subhalo.redshift_source,galaxies.lens.subhalo.centre.centre_0,galaxies.lens.subhalo.centre.centre_1,galaxies.lens.subhalo.mass_at_200,    log_likelihood,         log_prior,     log_posterior,                weight
              0.002988128116051127,             0.0017993451604659068,                 1.602542948205512,                     0.05278534595850119,                    0.004719210317656537,        0.05192133627284082,        0.04876233425965365,                 0.003858893738865827,                  0.05179001425744829,                        0.13344965385442417,                       -0.07154753986713278,             0.4876519669860644,                    0.0923499415954869,                1.3722595324642337,                   0.8794590498631347,                   0.6409974893762066,                  -1.5430350821184167,                   1.4161380000907946,               137324187.77601573,22627.866352841895,3.3205054414139528, 22631.18685828331, 2.650294432322837e-10
             0.0029729081353521342,            -0.0041747381218169306,                1.6008573879736663,                    0.052086962429471244,                   0.0014668938240165294,        0.05086464979745558,        0.04976026044295092,                 0.002758753492188109,                 0.044974869111206496,                        0.08451547706598088,                       -0.07281563715693082,              0.511403913190118,                   0.08782177598966374,                1.3332740062113533,                    0.319206623104219,                  0.26072388771016075,                  -0.6951299546712297,                   1.8014058289890822,               1589490216.4440222,22627.456144941334,3.2805071820516423,22630.736652123385,1.7585029311944646e-10
             -0.000688728459140267,              0.002398030176058325,                1.6004744229888073,                     0.04895675905576266,                     0.00989035626629763,        0.05537421170818736,        0.04717451993987838,                0.0011852312558663658,                  0.04962537908618557,                        0.11362100050729954,                       -0.06533928992792083,             0.4849579562885498,                    0.0850369284935118,                1.0829510808469838,                   0.7486712359733868,                   0.6234461220850228,                 0.014338173422066447,                 -0.45227333189301966,               47787563.382661395,22628.504830708367, 3.374895579977556,22631.879726288345, 5.018587937757095e-10
              0.002320261401584131,             -0.004590290794144282,                1.6037796818373764,                     0.05102274736265242,                   -0.008107964220572106,        0.04634326493587445,       0.049925123940098355,                 0.001842543011332904,                  0.05007951419494947,                        0.10622043391207822,                       -0.07165199913178652,             0.4792732451880084,                   0.08946293440066456,                1.1167033796059238,                   0.5166139457098015,                   0.3047717055048488,                   0.7637023360509332,                  -0.6157645169079946,               26739920.529617336,22628.841873455436, 3.371316504587662,22632.213189960024, 7.030032676092759e-10
              0.001566068332216784,             -0.004238825277648343,                1.6034473968441645,                    0.048175074301050065,                  -0.0029320655303495986,        0.04809456499265581,       0.047214724046539036,                0.0002682161680006993,                  0.04769000479836324,                        0.11783071544132664,                       -0.04393677034386029,             0.5163509120239305,                   0.08458165563772085,                1.3216247598676278,                  0.21702089985895567,                   0.1935637219890861,                  -0.6520611416291784,                    1.899825036117731,               31810989.236375704,22626.995472875817,3.2202112611369733,22630.215684136954, 1.109368322252071e-10
             0.0019096583316354004,           -1.6195289231341365e-05,                1.6033814594809013,                    0.057711534326473295,                   -0.002181570892747342,        0.04973666248243184,       0.052925312048559436,               0.00015135964532475243,                 0.049869821210622146,                        0.10397132487836339,                       -0.05596438194759929,            0.48196849295803035,                   0.09287777666491095,                1.2494527822021664,                   0.7001748688967403,                    0.662360248755407,                  -0.3008826227736576,                   0.9724929633032962,                27185209852.72704, 22629.78266528232, 3.400150101225573,22633.182815383545,1.8011008977298504e-09
             0.0049908974487110035,             -0.003092861461614256,                1.6039409292139888,                     0.05638347037326662,                   0.0030199622473060486,        0.05084982014165345,        0.05317383870672535,                0.0056344860529312256,                  0.04700368929444514,                         0.1194043246512604,                       -0.05833656754262372,             0.5088390435016874,                   0.08645256942016244,                  1.28437888951939,                   0.9860276790890331,                  0.40135349728421865,                 0.045648746339534085,                   0.7115244525585105,               263743806.41682574,  22629.3334725877,3.2778349098996293,  22632.6113074976,  1.14936014648993e-09
              0.003946159584885959,             0.0019112293920425336,                1.6046665916756524,                     0.05919783616388744,                   0.0035114196143752182,        0.04961686041056208,        0.05389964396435013,                0.0035838029723039887,                  0.05076066206376788,                        0.14522939353661032,                       -0.03704798116359002,              0.480038302281581,                   0.08914289884700628,                1.2943460306794337,                   0.5695392471767006,                   0.7908321505450174,                    1.820030223709535,                    1.945124581273781,                770635753.3995357, 22627.44832533083,3.3660976449513003, 22630.81442297578,1.7448057463249196e-10
             0.0009820153502581505,              0.000429102788700336,                1.5998867133799832,                     0.04964514401074074,                    0.004097638144694791,       0.052186082619003364,        0.04637860579601835,                -0.001483054966407496,                 0.047447172102730306,                        0.13216933788829643,                        -0.0644213071996695,             0.5168326836088492,                   0.08746151560057057,                1.4197048390739564,                   0.8136280189316927,                    0.604205126652186,                 -0.36332086675797903,                   1.2297731886878034,               251712607.39856195, 22627.15904105906, 3.200837427153112,22630.359878486215,1.3065093435354655e-10
              0.002843705993861301,           -0.00040830352776689214,                1.6015918820325137,                     0.04487841960306311,                    -0.00996254162356329,        0.04522878838199471,       0.046355141847711535,                0.0029862024626334353,                  0.05076647163576546,                        0.09355756890175887,                       -0.07949924023919346,            0.49548320541743307,                    0.0857966153469478,                1.0857309888359965,                   0.4915654841108502,                    0.609481737161982,                    1.275684113031343,                 -0.09419822427511138,                64879082.11510567,22627.225402725482, 3.290824833862569,22630.516227559343,1.3961530373639507e-10
