galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.lens.bulge.centre.centre_0,galaxies.lens.bulge.centre.centre_1,galaxies.lens.bulge.ell_comps.ell_comps_0,galaxies.lens.bulge.ell_comps.ell_comps_1,galaxies.lens.bulge.intensity,galaxies.lens.bulge.effective_radius,galaxies.lens.bulge.sersic_index,    log_likelihood,         log_prior,     log_posterior,                weight
                0.0855199533890647,             -0.004165908720640963,                0.9674868988771902,                       0.018674681601414,                      -0.104481668316801,      -0.002800840914486624,       -0.02226574770683637,                        0.08691563870484305,                        0.18505931830470754,           0.005373102784266414,                    0.3788976112474656,                 3.910598936418172,               -0.0004389778920271495,                -0.053947633674509186,                 0.0812047975307244,               0.006206825112027078,                      0.01986324702512589,                     -0.12357920689753817,         0.006095584371237626,                   2.403705785721444,               4.928107122310081,25020.879774985926, 360.1458117296063,25381.025586715532, 1.678975681036521e-10
               0.08625985168921356,            -0.0037478827824696647,                0.9692130017985299,                    0.022429240035651887,                     -0.1009050173046907,     -0.0024518030673038593,       -0.01717157566360228,                        0.10666878230297536,                         0.1901454590691166,           0.007057477547157498,                   0.30866142341926395,                  3.73192883056684,                 0.002559612682119333,                -0.054217986521821526,                0.08099911438986995,               0.006293066875460902,                      0.02437501922695607,                      -0.1257195363338398,         0.006087805431921661,                   2.418808673374997,               4.893005865650506, 25020.57991196739, 315.8915541887472,25336.471466156137,1.2439861679697258e-10
                0.0949211774468661,            -0.0018933711640238592,                 0.971197738230314,                    0.022137745333140668,                    -0.10897674496307796,      -0.003142431886177799,       -0.02007215802091178,                        0.08442937976099914,                        0.14866664303553342,           0.006616341668505596,                   0.33745047929143124,                 3.672204164413936,                 0.005214208649338583,                  -0.0540826661403121,                0.08119103660088046,               0.006296543903108897,                      0.03074602561660697,                     -0.12504299041882752,          0.00627199940891287,                  2.3669802297462805,               4.835174227558147, 25021.31680929482,320.07667310442446,25341.393482399246, 2.599237681703457e-10
               0.08642529421569403,            -0.0031487568379856994,                0.9706924784797222,                     0.02589591776658262,                    -0.10413405693488999,     -0.0024962071835083477,      -0.015925583617679928,                        0.12242651660027039,                        0.17203939901607604,           0.005116814497007092,                   0.38635378444289686,                3.9997884423593018,                0.0016277641771412761,                 -0.05311299851741571,                0.08094932031578309,               0.006427929990175529,                      0.02230608827841932,                     -0.12315185581897795,         0.006264449737525757,                   2.349792464069348,               4.918530730447754,25020.974435215714,364.64158114774534, 25385.61601636346, 1.845673263849462e-10
                0.0910121881028987,            0.00025046749219288924,                0.9692286758369604,                     0.03038796291165985,                    -0.11289168558104569,      -0.003383880081352597,      -0.016112490679669356,                        0.12611138701197308,                        0.16478131911551436,           0.005767749900883783,                    0.3684929341355151,                  3.92760892926737,               -0.0003888160368502642,                -0.053743715266145055,                0.08105457552610085,              0.0064709816830027305,                     0.027788527298682548,                     -0.11651457567107913,         0.006070081213825792,                  2.3971128859654343,               4.967945883491663,25020.975379519852,348.11366190013575, 25369.08904141999,1.8474169639121184e-10
               0.09203536055540146,              0.001009509921331232,                0.9723629355416825,                    0.030226090901932456,                    -0.11473285715029014,     -0.0063073422240432775,      -0.013814650618352853,                       0.052652960282434276,                        0.16357254615707875,           0.005950230574386609,                    0.3615846211615662,                3.8638277762810396,                 0.004053238340727968,                  -0.0526904548096168,                0.08122152960046332,               0.006321963697110703,                      0.03171187281002735,                     -0.11897874807972955,          0.00602244420826888,                   2.387126668253047,              4.9736193322670434,25020.804488993967,  344.011350964999,25364.815839958967, 1.557213337602667e-10
               0.08607427489958043,            -0.0030045659074691092,                0.9684477438166166,                     0.02074874163867757,                    -0.09970588700571596,       0.002827452219070048,      -0.017854514067131178,                        0.09017387557162057,                        0.18852092189741843,            0.00635529920734874,                    0.3334498865152608,                3.7906967593391783,               -0.0002039404014778514,                 -0.05265232859453953,                 0.0811379953015296,               0.006427177056973846,                     0.033148600683498765,                      -0.1353828787956632,        0.0059539439234809035,                  2.4749871005820756,               4.917565330284306, 25021.03660982953,335.64859064987417,25356.685200479405,1.9640697771867897e-10
                 0.082635644120204,             -0.005731309185111343,                0.9682599416155411,                    0.024985340404878764,                    -0.09994430670760186,     -0.0008573514718156483,       -0.01730199503237012,                        0.10103413861063797,                        0.20411208765323136,           0.005343178652648017,                    0.3813577582649184,                3.9743020320101055,               -0.0012916982081174952,                 -0.05556849888085408,                0.08152190730308187,               0.006247273167546187,                     0.030600693564116734,                     -0.13749251663092416,         0.006003413346186009,                  2.4239498506001693,               4.965874062070934, 25021.26820348717,363.88611417172746,25385.154317658897,2.4759208688389723e-10
               0.08358432269529766,              0.001344609793170713,                0.9698734706626106,                     0.03137878625668211,                    -0.09616416791594494,       0.004029755987779549,       -0.01259079520596873,                        0.10721109198540617,                        0.15377414519406285,           0.005425129001195833,                     0.379665834553518,                  3.88930328155423,                -0.001288031220817435,                -0.048544521034614894,                0.08138749904722505,               0.006255981748901133,                     0.026774141928521584,                     -0.12694908152383544,         0.006265828872958938,                  2.3656676351075214,               4.887851864805442, 25021.27507037888, 353.3131053354993, 25374.58817571438,2.4929812582168966e-10
               0.09397338784895955,             -0.002179043357613914,                0.9711727114537367,                    0.015043066118370696,                     -0.1067639758597546,      -0.001513213918654388,       -0.02358717991748105,                        0.08743215544954824,                        0.15583682402453183,           0.005760676250639279,                    0.3815801602355477,                3.7740634749048785,                 0.004065958313319535,                 -0.05446476943228224,                0.08138355018993386,               0.006212951232186508,                     0.029727717229909655,                     -0.12242987741758894,         0.006026915672874433,                   2.405177901352511,               4.945866460996242,25021.043290156747,349.63888697826945,25370.682177135015,1.9772343287731766e-10
               0.08358106966620397,             -0.005283020589407846,                0.9674291798672434,                     0.02549275815873453,                    -0.09179362102429467,       0.003933369265207265,      -0.016084061225879853,                        0.09157714924711784,                        0.20979517241836843,           0.006028929759493091,                    0.3358784022532782,                 3.922951471809491,                0.0012901772595650912,                 -0.05348986323406788,                0.08076693235287939,               0.006156909134063606,                     0.024719355027872706,                     -0.12592212266235353,         0.006054576503039991,                  2.4479233123096074,               4.884967738781691,25021.260525899255, 341.0334963403991,25362.294022239654,2.4569845543288934e-10
               0.09716587058428994,             0.0017707445181020132,                0.9740516074355821,                     0.03551212506097434,                    -0.13108588379666195,      -0.011720087916219535,      -0.013433348474181206,                        0.08278355587943599,                         0.1725858568653834,           0.005505160717441425,                    0.3929500590024544,                 3.955143341121785,                0.0015471776895830194,                  -0.0561083579330107,                0.08145121284630706,              0.0065437231013286724,                     0.026868469950940655,                     -0.11906611344443581,         0.006077989893756598,                  2.3939946968028676,              4.9765959405160345,  25021.0606876181, 356.2367223944402,25377.297410012543, 2.011934155828204e-10
               0.08744719278351673,            -3.975373243444885e-05,                0.9697667805491497,                    0.027686847258839298,                    -0.11144197402699445,     -0.0030771522996181355,      -0.015429313720010551,                        0.07074655639888669,                        0.15604088986942663,           0.006014860792485143,                     0.346458047035475,                3.9470479657229625,               -0.0006519868925450367,                -0.052784946890716986,                0.08076631308948717,               0.006409760806885298,                     0.025370767062404594,                     -0.11636946726526327,        0.0060828030011678145,                   2.403213209475644,               4.956311185135185, 25020.36750609667, 340.5638899949141,25360.931396091586,1.0059325327223248e-10
               0.08741437104549554,             0.0006486383292579007,                0.9714218606061455,                     0.03132318618258789,                     -0.1020123310049726,      0.0009079090208889973,       -0.01297181084356902,                        0.10750031215781795,                        0.18141164633624654,           0.006193452031118429,                    0.3471029220712519,                3.8415218889554046,                0.0004141536370165713,                -0.050536227547121594,                0.08106203146921206,              0.0060670351639982075,                       0.0267456725054815,                     -0.12934633708106505,         0.006319282140254753,                      2.348126453583,               4.894568667761808,25020.665610381177, 329.1363628565498,25349.801973237725,1.3552951981890693e-10
