galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.sersic_index,galaxies.source.bulge.intensity,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.effective_radius,galaxies.lens_1.bulge.ell_comps.ell_comps_0,galaxies.lens_1.bulge.ell_comps.ell_comps_1,galaxies.lens_1.bulge.intensity,galaxies.lens_1.mass.ell_comps.ell_comps_0,galaxies.lens_1.mass.ell_comps.ell_comps_1,galaxies.lens_1.mass.centre.centre_0,galaxies.lens_1.mass.centre.centre_1,galaxies.lens_1.mass.einstein_radius,galaxies.lens_1.bulge.effective_radius,galaxies.lens_1.bulge.sersic_index,    log_likelihood,        log_prior,     log_posterior,                weight
                        0.23221714085077672,                         0.5372437560614517,                0.8349450126673666,             0.2193688417197733,                  -0.2389020946229516,                  0.19136938867325903,                   0.08537750689897443,                       0.022264196152646482,                        0.10482573715600445,           0.011337793724613273,                       0.03280166114328838,                      -0.16546140158199604,                -0.06074066040959923,                -0.06765677805752937,                  0.8216506148810092,                    0.6201400521185587,                0.5020206554401154,21725.144755448822,86.81399086328895, 21811.95874631211,1.0252201820572832e-10
                        0.21383839323067957,                         0.5112231126887502,                0.8448295238200058,            0.22401893110173338,                 -0.24452114462054592,                  0.18774089618131706,                   0.08315766437720758,                        0.02204436237952324,                        0.12890071503432177,           0.011093311808046683,                       0.01649950205365643,                      -0.15965196071510743,                -0.08322114769285946,                -0.05852298343771533,                  0.8242711983069325,                    0.6397744420768763,                0.5055732531442958,21725.308146564996,88.94312063193709,21814.251267196934,1.2071938300005993e-10
                        0.24388259765761222,                         0.4987274689471599,                0.8210619770296156,            0.22494745757370174,                 -0.24289530018558125,                  0.18497806829947527,                   0.08448072734469647,                        0.03594098337031821,                        0.08890231264961206,           0.010947856478174062,                     0.0035622208776971533,                      -0.16199468182936724,                -0.05600664503712385,                -0.07065418783284506,                   0.826333892020148,                    0.6502700649213632,                0.5021283311360261,21726.681994838236,90.08171849362452, 21816.76371333186, 4.769048412190156e-10
                        0.23898676869305258,                         0.5075673768873338,                0.8281851434752945,             0.2333298927544689,                 -0.24275409641598666,                   0.1951729704806192,                   0.08072129676174514,                      -0.022251560484385913,                        0.10229478769676914,           0.011166056177152021,                       0.01689987476026716,                      -0.14758380241530006,                -0.07434012759637375,                -0.06109073255826029,                  0.8219491966461356,                     0.615703937585903,                 0.503999074078481,21725.617359048352,88.06221970973766, 21813.67957875809,1.6446227075768048e-10
                         0.2066484503011611,                         0.5274891716453635,                0.8743368409793082,             0.2160279729380989,                 -0.24641925733502995,                  0.19632985627442334,                   0.08697388261445149,                       0.002546886612144851,                        0.12518722292641185,            0.01133799076138892,                     0.0004409131216737307,                      -0.14230492397024233,                -0.07140045179070363,                -0.06702681918960876,                   0.818876129062535,                    0.6249088972992571,                0.5002533248124661, 21725.61233448277,87.07470168948126, 21812.68703617225,1.6363799184806747e-10
                        0.23144948252215966,                         0.5136133149086763,                0.8052719281094831,            0.21914320967654818,                 -0.23935323266367642,                  0.19911060119355617,                   0.08479146648070646,                        0.02490009183294317,                        0.08388475570878944,           0.010947381977269596,                       0.00724407618915034,                       -0.1517445651253525,               -0.057335987541127384,                 -0.0561673023364449,                  0.8211072509296725,                    0.6369008644566045,                0.5094094450714657, 21725.95576989152,90.16230274234115, 21816.11807263386, 2.306939706859705e-10
                        0.19575997299599263,                        0.49797130391349653,                0.8155979807375308,            0.22540440556293506,                 -0.24866661892172542,                  0.18674160289808572,                   0.08059675337407653,                      -0.032960596626208406,                         0.1489581253090344,           0.010828923388262414,                      0.013477381916080527,                      -0.15483451209722995,                -0.08155851757431956,                -0.06944809265351413,                  0.8259538779147632,                    0.6421921316757881,                0.5034830611890335, 21725.29427462937,91.26036175159538,21816.554636380966,1.1905633301985608e-10
                        0.18977835681028365,                         0.5122037494418137,                0.8604122554660252,             0.2260281076679986,                 -0.24398522004949702,                  0.19655433437951964,                   0.08283820178777836,                       0.015837825597721265,                        0.13024806444226816,            0.01056153468775675,                     -0.001223753220717388,                       -0.1470640957305215,                 -0.0782856960052696,                   -0.04625739004436,                  0.8237672980207972,                    0.6507167253321684,                0.5017831710355352,21726.441057292257, 93.5123036141667,21819.953360906424, 3.747950827849743e-10
                        0.23066302144455428,                         0.5059699424631819,                0.8342405770193562,            0.21727401699429444,                 -0.24009996122822064,                   0.1845649532571363,                   0.08744829891085149,                      -0.024409517411354727,                        0.09727972844234155,           0.010924255460989853,                      0.017822919825840833,                      -0.15073645944704805,               -0.061510509253291684,                  -0.065705340224677,                  0.8220984644157275,                    0.6497863558158132,                 0.500022244029751, 21725.63524006035,90.45101530893092,21816.086255369282,1.6742947181481366e-10
                         0.2180541277626397,                         0.5354615032392185,                0.8164970691569601,            0.22750389975887317,                 -0.24573351627564155,                  0.18104772409044212,                   0.08407089976183199,                       -0.03103108801858172,                        0.09949061752618944,           0.011325413325839388,                       0.01708172463873218,                      -0.15508548538421985,                -0.06459451220896525,                -0.08267745312071631,                  0.8220248369650137,                    0.6372647226194115,                0.5048893069273572, 21725.23427088315,86.84349831372968, 21812.07776919688,1.1212261189983689e-10
