galaxies.lens.disk.centre.centre_0,galaxies.lens.disk.centre.centre_1,galaxies.lens.bulge.ell_comps.ell_comps_0,galaxies.lens.bulge.ell_comps.ell_comps_1,galaxies.lens.bulge.intensity,galaxies.lens.bulge.effective_radius,galaxies.lens.bulge.sersic_index,galaxies.lens.disk.ell_comps.ell_comps_0,galaxies.lens.disk.ell_comps.ell_comps_1,galaxies.lens.disk.intensity,galaxies.lens.disk.effective_radius,galaxies.lens.disk.sersic_index,galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,log_likelihood,log_prior,log_posterior,weight
-7.307492777767702e-05,8.67689986988909e-07,0.0988647456997068,-0.0003233366686955,1.589998747740618,0.431085276242332,3.9561324318175033,0.1788703724965457,0.1975895032013432,0.810013307890579,1.0006292560376693,1.0084635544498388,0.0002112480781125,0.000515450922749,0.078026694661267,0.0017561379562318,1.3001288709334458,0.0209787420908866,0.0286892768722825,0.0803487733502274,0.1196192066335998,-0.0915325351600632,0.2461692290037728,2.9951666863904,0.0789476016101031,1.2893685525289085,28870.24936787707,3.7970303202388305,28874.046398197308,0.0001
-0.0001840253496654,5.9837481559224093e-05,0.099020880535968,-0.0002181120392352,1.5573411889218152,0.4366543132399082,3.987302214427734,0.1791654161201445,0.1977312823816555,0.8098931157160263,0.999486594803453,1.0053373289012115,0.0003593229700632,-0.0003482646638204,0.0804274672416381,0.0014694103039015,1.2997661267741851,0.0211847459091445,0.0303928129160151,0.080492675016144,0.1191470336674487,-0.0992618328629739,0.2449568410938817,3.02553648983738,0.0796621904958399,1.3239636413830822,28866.474439793063,3.803955827504867,28870.27839562057,0.0001
-6.92517571989175e-05,-3.0659891455033556e-05,0.097648929125764,-0.0025796474525571,1.5783602770874956,0.4327110232030787,3.975532898587109,0.1801466966755642,0.1983342542176147,0.8097354632200313,0.9994779682324276,1.0120532311861834,-0.0014884652252317,-0.0003518678987156,0.0812364233386004,-0.0009209153144142,1.2999864193959136,0.0195554792215043,0.0305628011457198,0.0791918233861489,0.1202377451785347,-0.0990890820532828,0.2496534709790051,3.0034627827656046,0.0807273740203528,1.3092106659561404,28871.763489700657,3.7804151166264623,28875.54390481728,0.0001
-6.0182847268592255e-05,7.379715548434499e-05,0.100779904370366,0.0011793098716928,1.5519766963310897,0.4399253933343159,3.979140414142349,0.1793238422612053,0.198440200590494,0.8038335632284014,1.0005282106155695,0.999412707191462,0.0001174684322576,0.0006172157124008,0.0778939153009741,0.0013689004371304,1.2998439162467923,0.0208311086205819,0.0286659663586059,0.0799379736605486,0.1195707717761719,-0.0993288559324249,0.2447958527165617,3.031710836512758,0.078986416917876,1.3157972943095912,28870.068170855317,3.8077994682089247,28873.875970323526,0.0001
-0.0001888541720001,-1.9272663842934712e-05,0.0989060834126054,0.0028632054383383,1.522244755194934,0.4484525938440712,3.9689341059206,0.1809399482391764,0.1990881537579584,0.7961280606526495,1.00157680075371,0.9905793642031164,0.0009739436918533,0.0006391296007227,0.0806842419816383,0.0003545905050607,1.2995429849332456,0.0201483291108059,0.0304687430589844,0.080381254577767,0.1199560857179653,-0.0947390992106187,0.2509917666475473,2.9957696768022646,0.0793119027365069,1.2943453216774756,28862.19718857555,3.824080225648064,28866.021268801196,0.0001
-2.1749431526906515e-05,-7.948452732334515e-05,0.0984961633685773,-0.0003996037859046,1.570132713762341,0.4361436109604627,3.955597641289758,0.179714932744056,0.198747646194034,0.8044307931734981,1.0017991679462488,1.0037496420511558,-0.0006259750530154,-0.0003489809166076,0.0795825217166028,-0.0004914385577556,1.3002070428181751,0.019680300567657,0.0296599393469336,0.079936562480996,0.1199134649192981,-0.0983890862211602,0.2483605078814394,3.0061403148378383,0.0797278466801998,1.2930903069272912,28873.430981160534,3.7941334172723953,28877.22511457781,0.0001
-0.000111048665633,5.064026396712416e-05,0.0992245726377235,-0.0006550871470378,1.527842736317597,0.4433350940505652,3.9870418496727056,0.1801019914774118,0.1989918895035458,0.8047559598879128,0.9984307765225088,1.0047627940329469,-0.0016715530585007,-0.0010080372500281,0.0810183970004859,-0.0006670059114267,1.2997022211006235,0.0195544976215045,0.0304915014830685,0.0791447727793529,0.1200199349894173,-0.0999282918495173,0.2500913970905873,2.9995025950744005,0.0807944390051437,1.3024197971542484,28868.932021616627,3.803971357482096,28872.73599297411,0.0001
-0.0001495632262353,-8.098793577134785e-05,0.0997536301227958,0.0007992039916962,1.6006221742327296,0.4323991986340658,3.916082668689284,0.1791264841722785,0.1975697586974041,0.8030277528513265,1.00318671538795,1.0035485117608178,-0.0012572064098832,-0.00118549524268,0.0800963889246931,0.0010336903401094,1.3000024787844606,0.0207407944067741,0.0297910369583428,0.0798705075553754,0.1195278162796169,-0.0953392048013533,0.247323675490595,2.980974826944663,0.0803397760159097,1.2741495997195478,28871.476100702785,3.7971241344876776,28875.27322483727,0.0001
-0.0001973353952925,-0.0003119397286031,0.0986091510939886,-0.0021136308505492,1.6317139167059804,0.4219506520534523,3.9330219596445257,0.1795361994819304,0.1967593644418415,0.8138334831514491,1.0011165645567277,1.0201417301197946,-0.000287179994888,0.0013974763280455,0.0777325503472368,0.0011063104270997,1.3001455783556888,0.0203549495111291,0.0286228293199,0.0793481669460023,0.1201504308159012,-0.1017870994095143,0.2473102897444746,3.0059779812120055,0.0798538123629531,1.3287034716759567,28862.316756855857,3.7592610932024706,28866.07601794906,0.0001
-0.0001881729275908,-0.0002159868987128,0.0992575552223204,-0.0022292308250484,1.609048315221914,0.4280269492996361,3.934613535287812,0.1795260710695784,0.197928600947514,0.8090292334186439,1.0013011978250812,1.0110335969355226,9.997551947210668e-05,3.743908913626819e-05,0.0799107822241971,0.0013864509171286,1.2999177727238025,0.0207242691089853,0.0297447730838697,0.0804234783360213,0.119599819601541,-0.0991079110840924,0.2507269264546279,3.0222252497469286,0.0796185836379776,1.3204474781976845,28866.694674686383,3.765918300380676,28870.460592986765,0.0001
