galaxies.lens.bulge.centre.centre_0,galaxies.lens.bulge.centre.centre_1,galaxies.lens.bulge.ell_comps.ell_comps_0,galaxies.lens.bulge.ell_comps.ell_comps_1,galaxies.lens.bulge.intensity,galaxies.lens.bulge.effective_radius,galaxies.lens.bulge.sersic_index,galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.mass.einstein_radius,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,log_likelihood,log_prior,log_posterior,weight
3.292820506853353e-05,0.0003206926374533,0.16181717956027,0.1281894704027789,1.340581643226827,0.8110407599167141,2.683569476515834,-0.0105566942520114,-0.0310740476411154,0.1514654873557197,0.008604714378351,1.285442672522136,0.0287067389224424,0.0772761093709097,0.0783539571945097,0.1171841498053368,-0.1278619458343859,0.2560848327800282,3.2462557862685952,0.193138645757514,2.4631432680150054,-33124.28659043688,2.4536016118813335,-33121.832988825,0.0001
-0.0001694859774348,0.0002299459664965,0.162469106500517,0.1276823252232465,1.3420456715172295,0.8105752505236091,2.6821050716837465,-0.0099062707596687,-0.0305004747357937,0.1494766468824882,0.0075557076168536,1.2848023541378857,0.0283567125202345,0.0763497684428311,0.0784763362475001,0.1174140264429351,-0.1286755585040315,0.2521081026082439,3.2563359165058374,0.1909519603381727,2.4518138103205644,-33128.12561107775,2.454727511171873,-33125.67088356658,0.0001
-0.0001591437258477,6.308470769488592e-05,0.1619748329189751,0.1277667818713674,1.3365649858289737,0.8122574422506382,2.687610786939877,-0.0108284454352794,-0.0326033522015412,0.1510904559653311,0.0090204671439155,1.2854978450694985,0.0294188603863749,0.0771027437936616,0.0787131184351492,0.1167722647625292,-0.1278228769754457,0.2500343260250564,3.2424502041994847,0.1907915677328173,2.415478200878552,-33124.14135289457,2.479845580862753,-33121.66150731371,0.0001
-9.353078022798272e-05,5.342379243389833e-05,0.1621609483238889,0.1279139021219557,1.3381188733709897,0.8114252309669326,2.6904833356311535,-0.0101701956166774,-0.0314161257715276,0.1496365428560656,0.0074823341578224,1.2851652083278888,0.0282461893367833,0.076379929336775,0.0786067871032914,0.1170950189001078,-0.1265766986806238,0.2545885759419795,3.2592906155838683,0.1953776793672542,2.503832933307142,-33124.889453428026,2.455308836817621,-33122.43414459121,0.0001
0.0003661095054321,0.0004593567611373,0.1622842368160724,0.127893321369583,1.3405067282040408,0.8107661029217749,2.685263371089869,-0.0106673365000319,-0.0317539048470915,0.151767720159896,0.006254572197523,1.2847495138736882,0.0273943608044795,0.0778535902389696,0.0780746956925036,0.1172805764800066,-0.1310215698537354,0.2511441604056297,3.249170353646952,0.1946023805370696,2.4597480300484067,-33131.37401524786,2.464956414551633,-33128.909058833306,0.0001
-9.060643220412171e-05,5.566453601255092e-05,0.162200399614566,0.1278771406034199,1.3348385142046129,0.8128444038118436,2.691999246310915,-0.0098617869071122,-0.0310332112578129,0.1502214593745967,0.0079883271318155,1.2852519307210264,0.0284798695129947,0.076631760583067,0.0787663813996679,0.1170453904665424,-0.1266377974903247,0.2547752749444928,3.2545090760564257,0.1918728208881122,2.4643941187911658,-33122.50493577041,2.457104996331779,-33120.04783077408,0.0001
3.51353765683707e-05,0.000349854452424,0.1618722738056359,0.1280644200313875,1.3364962824326252,0.8120439503345304,2.688067721178604,-0.0106496243822168,-0.032215782008551,0.1512912529227518,0.0083616425605603,1.285208224751623,0.0290667885961849,0.0772778912297672,0.0786774622756699,0.1170026520604064,-0.1257402155239632,0.2523341027782637,3.2635684456232488,0.192962975861734,2.464437680741931,-33125.095956903795,2.473038464561052,-33122.622918439236,0.0001
8.107634543648968e-05,0.0002871718674916,0.1619963543771996,0.1278562979714805,1.33926287004099,0.8114548205293214,2.6839711325998854,-0.0116149938704568,-0.0319491042409626,0.1505714776726562,0.0076058150885627,1.2846710150742535,0.0281561377563105,0.07690159593179,0.0776999134911406,0.1173990410952567,-0.1305237862309939,0.2528390451762878,3.2397430362626816,0.1928654633909942,2.432639764458067,-33125.13994652916,2.4612434929111173,-33122.678703036254,0.0001
-0.0001306743258639,0.000109055604917,0.1618657239792046,0.1282184858690516,1.3413482602148323,0.8111557860103027,2.6813708271586316,-0.0094902507014188,-0.0294557447141986,0.1491623011238795,0.0072240459894343,1.2857158106618547,0.0279753931843313,0.0758928988756086,0.0789837568937582,0.1176705288052879,-0.1213022326124556,0.2554332583428876,3.2411668495481107,0.1936533643400563,2.4981605047098308,-33131.83861720638,2.4509789622085427,-33129.38763824417,0.0001
-0.000153884021344,0.0002545104528922,0.162245583083441,0.1285965331493423,1.3325690650002622,0.8134069517069478,2.6950808537888715,-0.0107606758165815,-0.0306422555142162,0.1502052056439757,0.0063756893857205,1.2854317599464695,0.0273545767490579,0.0766223688772796,0.0780856160633853,0.1177256105014579,-0.1274536947060805,0.253659889669296,3.2543190785812537,0.1897563223749766,2.4383170875871603,-33126.98125262195,2.4562525767868597,-33124.52500004516,0.0001
5.443559067339899e-05,0.0001829458061933,0.1621659363754312,0.1283506019159636,1.332490267845841,0.8132216025861736,2.6967795635816065,-0.0101075621805271,-0.0307527782609517,0.1504656189625398,0.0070327695146602,1.2847858769855374,0.0280920125207604,0.0769289584948496,0.0788369330867584,0.1173450211965698,-0.1274106114671801,0.2520880120402056,3.261722122108516,0.1912248853597395,2.4571857526847305,-33127.97953558754,2.4642991613694325,-33125.51523642617,0.0001
