galaxies.bgg.mass.einstein_radius,galaxies.bgg.mass.slope,galaxies.bgg.mass.ell_comps.ell_comps_0,galaxies.bgg.mass.ell_comps.ell_comps_1,extra_galaxies.0.mass.einstein_radius,extra_galaxies.1.mass.einstein_radius,extra_galaxies.2.mass.einstein_radius,    log_likelihood,           log_prior,     log_posterior,                weight
               1.1799245622455385,       1.98772245740871,                   0.010489313315960997,                    0.21867494119623385,                   0.4697340477450561,                   0.7076268898086061,                  0.28392249697547794,  7511.89477332258,0.020455411998309216, 7511.915228734578,1.0331918131584678e-10
               1.1885805155325568,     1.9903406359168978,                   0.012432431872841992,                     0.2172799005532431,                  0.46588379213431547,                   0.7046721937124425,                   0.2830349553537537,7512.4322627492365,0.026559004918484265, 7512.458821754155,1.7685186673754858e-10
                1.184359916980576,     1.9809701928782515,                   0.010181661320181536,                    0.21347148582648057,                   0.4653170412418946,                   0.6987637743401978,                  0.28164885778468823, 7511.955101702166, 0.04467860753905112, 7511.999780309705,1.0974411449084654e-10
                1.178221494476964,      1.983735201937298,                   0.011712749151079012,                     0.2161610073031334,                     0.46749196302576,                   0.7059735470776604,                   0.2831583357284211, 7511.944548825086,0.028444085502313202, 7511.972992910588,1.0859208763038997e-10
               1.1828026361902813,     1.9933220951009725,                   0.011396495242208562,                    0.22160924755926334,                  0.47034402067903097,                   0.7112124027464166,                  0.28455825792939404, 7512.927651127313, 0.01161449787425838,7512.9392656251875,2.9023787609834315e-10
               1.1767093394479433,     1.9880726302517453,                   0.013517253400613289,                    0.22021663521813456,                  0.46848119858670384,                    0.712254057786737,                   0.2845202709033214,7514.9794894367005, 0.01699299178650781, 7514.996482428487,2.2586874710726794e-09
               1.1957449561505573,     2.0016230650742624,                   0.013344888101973118,                     0.2223228177669891,                   0.4672239829391308,                   0.7099588240396739,                   0.2843056832830805, 7512.401405903183,0.018065326935061445, 7512.419471230119,1.7147811086633714e-10
                1.190401469147611,      1.989133662757272,                   0.012500482379156963,                    0.21610846451639998,                   0.4646407041972386,                   0.7028430937660337,                  0.28208249298385424,7511.9223586980515, 0.03277695356109432, 7511.955135651612,1.0620895421501944e-10
               1.1890783414084671,     1.9889573965483875,                    0.01244454558226272,                     0.2173307851004804,                   0.4652988235544785,                   0.7038570934265028,                  0.28260109997026883, 7513.095952791977, 0.02834019284130236, 7513.124292984818, 3.434365964937775e-10
               1.1893225969527346,      1.988342440814104,                   0.010238993526348755,                    0.21578922829187142,                   0.4661127973431875,                   0.7011934988874442,                  0.28246076521375857, 7512.910565718987, 0.03503765535591916, 7512.945603374343, 2.853211650841063e-10
