galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,galaxies.source.pixelization.regularization.signal_scale,    log_likelihood,         log_prior,     log_posterior,                weight
            -0.0037206284183455398,             -0.006219847464010025,                1.6012377689820072,                   -0.044411372076028625,                    -0.03340250976293455,       0.037890681630540546,       -0.04649734783244241,                                           0.0958196683955404,                                          0.35754717397767677,                                      0.9809330688930102, 5511.057646079827,13.561909471281634,5524.6195555511085, 1.489341339940061e-10
             -0.002944691315121874,             0.0027625853111225107,                1.6004013054100603,                    -0.03969155707781387,                  -0.0028833600466784924,        0.04812700750544374,      -0.043018510027981696,                                        6.941362881705698e-06,                                         0.011386692256470151,                                      0.5317991783089748, 5511.160262119315, 144151.8163974428,149662.97665956212,1.6502883132975162e-10
            -0.0007314608548853018,            -0.0007416334417046519,                1.6002916302278627,                    -0.04172243629189989,                   -0.028209135733386057,        0.04009729029290062,       -0.04668721438786968,                                         0.014876231367229101,                                           1.2436972757314855,                                      0.6912237464413823, 5512.153403562547, 68.27059908524058, 5580.424002647788,4.4552868679743384e-10
             -0.003467659251340729,             -0.005439806375643559,                1.5992878234489616,                     -0.0502018040047204,                  -0.0071051826232283585,        0.04461936424589884,       -0.04682213691206206,                                        0.0021036245874149705,                                        7.961474477122725e-05,                                      0.1336250357656492, 5510.858302385695, 13035.89284659498,18546.751148980675,1.2201700989072652e-10
              -7.8631342669618e-05,            -0.0023171764388066484,                1.6023673887710737,                    -0.03612705389932179,                    -0.03204664331138626,        0.03624177819819773,       -0.04296101419439511,                                           0.5257178299342008,                                        0.0009520717374035441,                                       0.326600860470212, 5511.573997495239,1052.6384734889684, 6564.212470984208,2.4959898497794444e-10
            -0.0006621286477880387,              0.006036503097811596,                 1.597709112254274,                    -0.04436020247231655,                     0.00835102777984021,        0.05530695003266594,       -0.04501145284505929,                                       1.8197243920632582e-06,                                           2.3365238025451385,                                      0.1796551131429398,5511.7570963952885, 549534.2551393766, 555046.0122357719,2.9975170139593723e-10
              0.011498102140127949,             -0.006732222093537981,                 1.600513284852688,                    -0.04154035032992563,                   -0.005160619852940539,        0.04941429220390333,       -0.04421138389264123,                                        0.0012354545074399908,                                        2.912958308391703e-05,                                       0.341388447613757, 5510.923326077133, 35138.83989972556, 40649.76322580269,1.3021463816874757e-10
              0.004833309291922123,             -0.006947538431002484,                1.5969937443750857,                    -0.04689381048178444,                   -0.007657677266811833,        0.05106446804535721,      -0.048026805105992616,                                       3.2686643984668934e-05,                                            0.859680295285379,                                     0.40510900505523684, 5510.893276414177, 30594.72418677118, 36105.61746318536, 1.263599384495878e-10
              0.006976913760572929,              0.009098537796617335,                 1.598957102931032,                    -0.05183594453279774,                  -0.0033128503854733407,        0.04950110098697255,       -0.04886265660207342,                                        1.695018316513001e-06,                                       2.6595801628219146e-05,                                      0.7014623797757992, 5512.016067449019, 627564.0555894076, 633076.0716568566, 3.883571957285171e-10
               0.00476662302382387,            -0.0013417203301822965,                1.5967664648945281,                   -0.032548733394364295,                    0.012477757042808294,       0.057659342348069485,       -0.03725637969914096,                                       1.2808985946795962e-06,                                        7.402766810236906e-06,                                      0.5118543720056385, 5512.082992639298,  915786.792827049, 921298.8758196883, 4.152375283435058e-10
