galaxies.source.pixelization.regularization.inner_coefficient,galaxies.source.pixelization.regularization.outer_coefficient,galaxies.source.pixelization.regularization.signal_scale,    log_likelihood,         log_prior,     log_posterior,                weight
                                         0.020305538828729368,                                           221.56562495807907,                                    0.011040523942494192, 31098.62591367755,139.82757148909076,31238.453485166643, 7.717687115713277e-07
                                            0.647706393421808,                                             775.328209081717,                                    0.002777850972173052, 31097.88591776414,361.53571344929395,31459.421631213434, 3.682230966271708e-07
                                          0.18947176745894395,                                            545.2772387958612,                                    0.005633770850804153, 31091.11729483529,182.78067223635554,31273.897967071647,4.2319004006440737e-10
                                           0.5229364564159299,                                            17.73317568249756,                                      0.2174259849007208, 31091.61420523741, 6.567935982877695,31098.182141220288, 6.955700655578935e-10
                                           0.2018302453421865,                                            5.395424564076815,                                      1.7250049146501822,31095.240080118787,5.7197095135958165,31100.959789632383, 2.612391948390487e-08
                                           0.8971895005478231,                                            81.21695964076258,                                     0.03049022385103334,31094.037198815877, 33.92430221057142, 31127.96150102645, 7.845734803910666e-09
                                            0.000313477009479,                                            105.5267661886985,                                    0.029541789944920297, 31092.74746039666,3223.8864327259057, 34316.63389312256,2.1602665737048194e-09
                                           0.5103963507607759,                                            855.8669848945356,                                   0.0025191287212495634,31098.571411252502, 398.9230749508003,  31497.4944862033, 7.308311759887262e-07
                                       0.00048266485992031166,                                            824.4756354274182,                                    0.003832932294137612,31091.192282992088,2332.7290326772168, 33423.92131566931, 4.561444347546156e-10
                                         0.016358442905808523,                                           144.60250480788594,                                    0.016422030145330457,31099.302608961214,122.03123910486363, 31221.33384806608,1.5183510544563441e-06
                                          0.23403833645655742,                                            4.024646192283885,                                       3.757920351412126,31097.161509811827, 4.787377930446411,31101.948887742274,1.7844510929967113e-07
                                         0.025877627254078224,                                            7.537459638168804,                                     0.15904708301720943,31108.201652218046, 45.06353631571255, 31153.26518853376,  0.004058392172112912
                                        0.0014760115065036077,                                           14.032270807705268,                                    0.008440367476498638,31107.760682388594, 796.0510115438842, 31903.81169393248, 0.0026112187046631323
                                          0.05782758965675411,                                            6.801424505224056,                                       0.762882124200205,31099.555109602145,18.750630223950413,31118.305739826093, 7.131949609256792e-07
                                          0.01732016747639676,                                           10.281667205745357,                                    0.007027685256341883, 31108.17032451094,200.12778620207538,31308.298110713014,  0.003933222920499605
                                        0.0001391122530038211,                                            17.81518424643306,                                    0.008321430228046534,31107.018180064326, 7308.667178083073,  38415.6853581474, 0.0012427351600938679
                                       0.00011494227859646167,                                           163.06995370930207,                                   0.0018449348431444647,31104.147276140462, 9242.049627264096, 40346.19690340456, 7.039808632112065e-05
                                          0.05692687760453199,                                            437.8327831909049,                                   0.0010494688546702833, 31104.14599882101, 970.4316393362658,32074.577638157276, 7.030822288057636e-05
                                           0.2478088194658987,                                           319.40643614470184,                                    0.002399103748867542,31104.131603122765, 420.8608236442539,31524.992426767018, 6.930333728860587e-05
                                         0.002213048481780314,                                            346.0916218645707,                                     0.00445704349978373, 31103.47228493648, 676.2322483076955,31779.704533244178, 3.584395293157545e-05
                                          0.18562769364975706,                                            72.75902696395596,                                   0.0071204987880217905,31104.174662906193, 145.8404709890339,31250.015133895227, 7.235270539860952e-05
                                       0.00011983687709925105,                                           134.69230607538276,                                    0.003019810145536724, 31104.14858757927, 8675.830802201217, 39779.97938978049, 7.049046966793888e-05
                                           0.1006276962326978,                                           25.266771109439816,                                     0.00931498603441178,31105.547707925823,117.33109108770752, 31222.87879901353,0.00028560160928967987
                                          0.27725324820291386,                                           165.50007967303972,                                     0.00555134640025426, 31104.08499174917,183.74933309284557,31287.834324842013, 6.614714224953534e-05
                                        0.0011829852297468258,                                             1.39719632896207,                                       9.752103289025538, 31108.06099091214, 846.1373527921523,31954.198343704295,  0.003525864211338339
                                        0.0005710329942536155,                                           15.706825867373599,                                    0.015069883243574238,31107.456293385294,1817.6334756839833, 32925.08976906928, 0.0019259667427542503
                                          0.07256338318767205,                                           2.7151238113318334,                                      1.1417586731233316,31107.989619446183,15.025204503165027, 31123.01482394935, 0.0032829884047131863
                                       0.00046574214711585655,                                           329.61600770000365,                                    0.002194742838009804, 31104.14323018719,2602.7480933658608, 33706.89132355305, 7.011383437623129e-05
                                          0.09828267829080102,                                           16.009541622548316,                                   0.0032190077972603626, 31107.39651459155,320.89192622936736,31428.288440820917, 0.0018142084410621622
                                        0.0020834377052492328,                                            3.339321221230333,                                      2.1707294782696263, 31104.85838380424, 480.7360906020369,31585.594474406276,0.00014334778544654005
                                       0.00028763553344418483,                                            28.95629603217278,                                    0.001851738029644878,31105.081200387518,4016.6896455118076, 35121.77084589933,0.00017912615370548716
                                           0.1909784508713618,                                           7.6108955095427735,                                     0.39456441477809884, 31104.86766356073, 7.902023855899586, 31112.76968741663,0.00014468420924222892
                                       0.00033424663206753916,                                           22.798762228920587,                                     0.06787723676915078,  31105.5301712645,3006.5791124907287, 34112.10928375523, 0.0002806367711743927
                                         0.024688719976227486,                                            39.39380300829354,                                   0.0036952851982147237,31104.465453118533, 311.1448194112362,31415.610272529768, 9.677058343141128e-05
                                       0.00020118518696337771,                                           1.7771732862245797,                                      1.4465492992047229, 31108.24003075796,  4971.79886672044,  36080.0388974784,  0.004217174771310028
                                         0.030994522046814726,                                           20.411632539255173,                                     0.04344461938954283,  31106.4400751301, 55.33056758232633,31161.770642712425, 0.0006971252333864382
                                          0.45863140025119703,                                            32.45252733724881,                                    0.008386857163365992, 31104.78636777708,121.44539007789145, 31226.23175785497,0.00013338740536578112
                                         0.001431209377396051,                                           2.1608029752579725,                                      3.8781435370479804,31107.386543035216, 699.4304337922678,31806.816976827486, 0.0017962078554700604
                                           0.4316068989738852,                                           27.592470246174816,                                    0.025699159543272763, 31105.21390638316, 41.26494323727966, 31146.47884962044,0.00020454670230799675
                                       0.00011307900765098718,                                            10.62937248886621,                                      0.2830379731380117,31103.681475543013, 8847.001561044319, 39950.68303658733,4.4184121497691996e-05
                                        0.0013515943436146734,                                           35.658159949877536,                                     0.03676939525544187, 31104.41480037768, 767.0915364873917, 31871.50633686507, 9.199096052631253e-05
