galaxies.lens.mass.einstein_radius,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.effective_radius,     log_likelihood,         log_prior,      log_posterior,                weight
                1.6133233732324859,                       -0.12786876554424617,                        0.18261069509429537,              1.722166841138308,                -5.87624514186702e-08,              -1.1444724175302401e-08,                   0.12025319004848532, -6984.468261848791, 5.397865808342155, -6979.070396040449, 4.311540664014181e-10
                1.6133233987573368,                       -0.09710059528924443,                        0.19183258564304936,              1.747033873596078,               -3.354285180168226e-08,               -7.247681114985749e-09,                   0.11567842185888544, -6983.604798261455, 5.441748580916064, -6978.163049680538, 4.810667355846821e-10
                1.6133233733803822,                       -0.10742806735522871,                        0.17838256405587347,             1.7298151273648585,               -5.820770773712347e-08,              -1.1570185969034252e-08,                   0.12105000296380088, -6985.087116550152, 5.423916043064795, -6979.663200507087,1.0925534040466004e-10
                1.6133233944204053,                        -0.1263313317666295,                         0.2139143576708109,             1.7008447549935204,                -3.82650417463104e-08,               -5.962907931311712e-09,                   0.12370182129396448, -6981.917211538686, 5.308040680302838, -6976.609170858384,2.6008477450912392e-09
                1.6133233912238358,                       -0.11659888984550312,                         0.1748989660009658,             1.7252508010644567,               -4.170666886849084e-08,                -8.27478133236248e-09,                   0.11727132512097167,  -6981.66166291061, 5.449830025331984, -6976.211832885278,3.3581360592049433e-09
                1.6133234782541885,                       -0.10508097462150513,                        0.19816885146063057,             1.7274756002867757,                4.388174738856332e-08,                6.766363615240412e-09,                   0.12181805031842081, -6984.944832849738, 5.379496553567719,  -6979.56533629617, 1.259608841647765e-10
                1.6133233933889515,                       -0.10986962795059348,                        0.18266080040824612,             1.7348575543897287,               -4.027345715251762e-08,               -6.031228433345248e-09,                   0.11964488928295458,-6979.8717273231705, 5.422143792785468, -6974.449583530385,2.0112100788626803e-08
                 1.613323389139098,                       -0.12738293677577295,                        0.19064570469057215,             1.7503011472484233,               -4.302299980163404e-08,               -6.628246514150948e-09,                   0.11932472748828618, -6985.083095189875, 5.379909214693857, -6979.703185975181,1.0969558007850615e-10
                1.6133234820704647,                       -0.10242273054457311,                        0.19921647932695008,              1.750799042163797,               4.7696140093034245e-08,                8.128693024245237e-09,                   0.11886481981930133, -6979.585232085374,5.3965658247326775, -6974.188666260641, 2.678432694605333e-08
                1.6133234642458403,                       -0.12908338142681677,                         0.1863766820586084,              1.739147076193072,                3.127538540648178e-08,                4.382791879420367e-09,                   0.11608067757172003, -6983.713817437452, 5.413066391042896,-6978.3007510464095,4.3137890244522196e-10
