galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.lens.bulge.intensity,galaxies.lens.bulge.effective_radius,galaxies.lens.bulge.sersic_index,galaxies.lens.bulge.centre.centre_0,galaxies.lens.bulge.centre.centre_1,galaxies.lens.bulge.ell_comps.ell_comps_0,galaxies.lens.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,    log_likelihood,         log_prior,     log_posterior,                weight
              0.002014930106504355,             0.0006845933816205241,                 1.601659688367671,                    -0.05317181188618579,                    0.007413705775785428,        0.05324580906595646,      -0.049742792184257145,           2.0883908319596056,                  0.5880268534171914,              2.9091905613818207,                0.00265858614661919,            -0.00028660651436975465,                     -0.04615814340108431,                    -0.006343666232117974,              1.186694983382051,                   0.09826212516972524,                1.0429182306937181,                0.0011681573187165015,                0.0008049369963579221,                       -0.11589014274631111,                       -0.04829068477158841, 5430.235819974324, 2.384943563823535, 5432.620763538148, 3.406662910279484e-10
            -0.0008548076949310025,              -0.00250762050218529,                1.6004886538379572,                    -0.05087723406361713,                   0.0027469556019731663,         0.0505002860981811,      -0.048500288317489704,           2.0790103314082504,                   0.587824651725365,              2.9161711238706056,             -0.0026485571202329327,              0.0010098613777178279,                     -0.05491222667458434,                    -0.000843358369172046,              1.201852391521554,                   0.09752272269631565,                 1.001729794515188,                -0.000351854491924702,                -0.002072167536292447,                       -0.10406504599475927,                       -0.04494380361449194, 5430.830758055066, 2.287269822900211, 5433.118027877967, 6.176002850033664e-10
            -0.0008699004094259539,            -0.0010849557563026987,                1.5991484141612258,                    -0.04944249757664321,                    0.004249826955146921,        0.05057761541728034,       -0.04698251294418846,           2.0711022852367895,                  0.5888147053809325,              2.9184293286815794,             -0.0002521730921715178,              7.202847812757676e-05,                    -0.051539275518972305,                    0.0026560283468875473,             1.1530482264174609,                   0.09838566609123217,                1.0725286106300131,               -0.0019090707304583888,               -0.0006487156768628255,                        -0.1244951405387605,                       -0.06192891829263066, 5431.030480333206,2.5854211235496694, 5433.615901456756, 7.541292242867198e-10
            -0.0013590313006510125,             0.0035987099477294464,                1.6006627865593053,                    -0.05308997507107381,                    0.003377647088106148,        0.05028377508733347,      -0.049425569451304406,            2.016743169183449,                  0.5966639269320746,              3.0063586440574235,              0.0014630833571794596,              4.515611328089153e-05,                    -0.052542582842396705,                   -0.0037345772956906475,              1.145731762647117,                   0.09892881292327675,                1.0592656528175235,                -0.001271622436246014,                0.0017715510606343531,                       -0.10760512632290231,                       -0.05163632743520374,5429.4795085250935,2.4090283796333365, 5431.888536904727,1.5990692547763642e-10
              0.002557614976635842,            -0.0016335853349590179,                1.5991318987865701,                    -0.04943271192758073,                  -0.0010218125935180292,        0.04904853383473299,       -0.04798200571558149,           2.1103865656577776,                  0.5825985219061709,               2.956824009243476,              0.0006942766179021944,             -0.0008876108320667108,                    -0.051313691149175444,                    0.0024325923638157344,              1.203425330044583,                   0.09951461090209889,                0.9601089341514105,                0.0017455935581825075,               -0.0010854066096659318,                        -0.1001289104045391,                         -0.062848871535057, 5430.528555211465, 2.487002490096334, 5433.015557701561,4.5652278747059037e-10
             0.0007155183516625347,             -0.002688351337604562,                1.6008146161196746,                    -0.05480698917907491,                   0.0003268763024583393,        0.04977354543421034,       -0.05083865977704772,            2.051083446866988,                  0.5929167489757562,              2.9007675291733515,              0.0009914000958551226,              0.0010288066392215708,                     -0.05199625568852522,                   -0.0017114730070676642,             1.1105028091998044,                   0.10234178555413444,                1.0687690502298977,                0.0012730594412616232,               -0.0009700440068399459,                       -0.10087237466946634,                      -0.033759814929288263, 5430.300806158961,2.2974473375883813, 5432.598253496549, 3.635400843009842e-10
              -0.00121389357688293,            -0.0022586857493879955,                1.5989419978462016,                    -0.05054316115612829,                    0.006350171267287707,        0.05114191158033726,       -0.04815082596401331,            2.000230047867434,                  0.5999209556123962,              3.0066760933192542,                0.00078108306263818,             -0.0001230432110975944,                     -0.05010363231818786,                   -0.0030864634506976964,             1.1590798793815917,                    0.0969509480655907,                 1.084978083904328,               -0.0015199794843988319,                -0.001238547908938115,                       -0.10978201429177369,                       -0.05029596623983445, 5430.214984463676, 2.398088513302686, 5432.613072976978, 3.336417687691062e-10
           -0.00025043278674892656,           -0.00020392996114363903,                1.6002289070351419,                     -0.0460550112330366,                    -0.00126031388333229,        0.04881549883761118,       -0.04648163908628187,           2.0199125164776675,                   0.597204922342412,               2.950757024505534,              -0.002755902465394651,              0.0010945818452674087,                     -0.05161906682110544,                    0.0006306947695208923,             1.2151951936267875,                   0.09957448392844546,                0.9402519066516578,               0.00011047503840386113,                9.221389033419985e-05,                       -0.10697707431721493,                      -0.036234922845751354, 5431.759989024525,2.1859153673678318, 5433.945904391892,1.5641102792329353e-09
             -0.000436546909958592,             0.0014880786455905273,                 1.600679324872399,                   -0.048862495309704594,                   0.0007790805765715904,        0.04909671845817299,       -0.04740023322667562,           2.1367735092318045,                  0.5781329734391638,              2.9197937297046956,            -0.00046539773085305374,              0.0016434217854091483,                     -0.04941133900608797,                     -0.00125700080205101,              1.129258159929484,                    0.1017159246225521,                1.0719309278778613,                -0.001607247798385087,                0.0005142098230027217,                       -0.12649917994133444,                      -0.051849021436961136, 5430.298435144092, 2.535855657300921, 5432.834290801393,3.6267914640726283e-10
             0.0010708688046712038,           -0.00022473027451156964,                 1.599256467409032,                   -0.049023506973043966,                   -0.005700120226295292,        0.04841861885953054,       -0.04860349362507769,           2.0998164334276392,                  0.5839159002008458,                 2.9293329508242,              0.0015831064596439964,              0.0012340542806061363,                     -0.05017942183971315,                    -0.004927014172994169,             1.1996042256784478,                   0.10311541922507025,                0.9521084323542283,                 0.001543545736611437,               -0.0011060019619963434,                       -0.10437619700499537,                       -0.03217839658752215, 5431.567379348015,2.1896637494481075, 5433.757043097463,1.2900841826927864e-09
             0.0004464311598454611,             0.0005124678990183579,                 1.599465253289324,                    -0.04331145584887319,                   -0.008600609909342973,        0.04691623942878957,       -0.04502456208322361,            2.040836974203572,                  0.5930106175616974,              2.9454002866058535,              0.0007609198803341816,            -0.00019474795392182738,                     -0.06008574639089614,                    0.0009123965528401884,             1.2343689061274246,                   0.10146439376674767,                0.9293411398316032,                0.0008182807750575046,                0.0003796014438031932,                        -0.0959989913320854,                      -0.033701615370006495, 5429.650548261236, 2.179019056897912, 5431.829567318134,1.8973562699576881e-10
