galaxies.bgg.mass.einstein_radius,galaxies.bgg.mass.ell_comps.ell_comps_0,galaxies.bgg.mass.ell_comps.ell_comps_1,galaxies.bgg.shear.gamma_1,galaxies.bgg.shear.gamma_2,extra_galaxies.0.mass.einstein_radius,extra_galaxies.1.mass.einstein_radius,extra_galaxies.2.mass.einstein_radius,galaxies.source.bulge.profile_list.29.centre.centre_0,galaxies.source.bulge.profile_list.29.centre.centre_1,galaxies.source.bulge.profile_list.29.ell_comps.ell_comps_0,galaxies.source.bulge.profile_list.29.ell_comps.ell_comps_1,    log_likelihood,         log_prior,     log_posterior,                weight
                1.185598229540719,                   0.014281321257798702,                    0.23185445746042344,        0.0504014374610563,      -0.03489097454515189,                   0.4739800285581315,                   0.7197991483792133,                   0.2774076294550009,                                  0.14092437027935834,                                  0.03648440484441835,                                       0.001772813924899348,                                         0.2118563939929892, 7819.332480109144,0.6516292343683823,7819.9841093435125,2.0222573654783942e-10
               1.1837273953701906,                   0.012425406649429377,                    0.23152221578311752,       0.05031046593803162,      -0.03545499444292016,                  0.47455191406524333,                   0.7205007433370167,                   0.2784558269446148,                                   0.1408737698036872,                                 0.036049294498766815,                                       0.004411974385342074,                                        0.21093979447635577, 7822.584818048243,0.6524972280510611, 7823.237315276294, 5.227678202828763e-09
               1.1858148691973662,                    0.01570044383594747,                    0.23299323851018777,       0.05077336092392093,      -0.03450372162175219,                   0.4742314683340241,                   0.7193149267959156,                  0.27792918332665717,                                  0.14161359669663212,                                  0.03628829630184185,                                      0.0009077345908915027,                                        0.21216055265756595, 7822.977909764217,0.6543535306263785, 7823.632263294843, 7.745088938969065e-09
               1.1828609865581092,                   0.011509769399922482,                     0.2316023628942814,       0.05022096090007622,      -0.03583393254149442,                  0.47438841681511024,                   0.7215010649470089,                  0.27886602521152093,                                  0.14054172336670928,                                 0.035679714881445224,                                       0.004771067399010106,                                        0.21230494072635345, 7819.290192475593,0.6491868140575593, 7819.939379289651,1.9385238116128366e-10
               1.1845362855019252,                    0.01253926149046689,                    0.23131808133703707,      0.050217342172978685,       -0.0354528362292969,                   0.4739633293634479,                   0.7202890857804638,                   0.2781058061152271,                                   0.1406952811751415,                                  0.03607332231801306,                                       0.004524333188588705,                                        0.20898408339712632, 7818.813837379166,0.6564776470903645, 7819.470315026257, 1.203906474823032e-10
                1.184219308588958,                   0.013826017391166649,                     0.2332372713940467,       0.05073646214430716,      -0.03503804634708213,                    0.474910960464772,                   0.7202299417884845,                  0.27846540667631325,                                  0.14150717873695642,                                 0.035936729880660136,                                      0.0016329946217195387,                                         0.2116082808638098, 7822.073876378738,0.6558909918669353, 7822.729767370604, 3.136242952948052e-09
                1.183613025953888,                   0.010885304526659041,                     0.2312567509462253,       0.05027993794456026,      -0.03597261249953487,                   0.4739092719822912,                   0.7202358517637647,                   0.2798025837831968,                                  0.14081767218954885,                                  0.03499468866533447,                                       0.006150371196588361,                                        0.20995144824280113, 7819.289942281997,0.6536982886271149, 7819.943640570625,1.9380388660371407e-10
               1.1834953152298726,                   0.011813883372497445,                     0.2313370877203953,       0.05008628459833164,      -0.03558549827398566,                  0.47486934424911875,                   0.7212573141117279,                  0.27737533706781836,                                  0.14039051893017143,                                  0.03651705846936582,                                      0.0038360960591967133,                                        0.21192613482375786, 7822.563776280636,0.6495064208243951, 7823.213282701461, 5.118827831226105e-09
               1.1841910918453573,                   0.011917147564540063,                    0.23042403647547188,      0.050224195565417906,     -0.035691192621891965,                  0.47375237257925207,                   0.7191040343599624,                   0.2799880505921073,                                   0.1410042130678309,                                 0.035177054516028435,                                       0.008512886455884331,                                         0.2100670417898192, 7818.895799314581,0.6513217816257804, 7819.547121096207,1.3067375362195815e-10
                 1.18361058600782,                   0.015104940142041601,                    0.23177294507311721,       0.05082465460377894,      -0.03491374436125205,                   0.4737909067069907,                   0.7191008494228667,                  0.28156537068638515,                                  0.14207466823397086,                                  0.03388448724462945,                                       0.005846381003684543,                                         0.2086780373778901, 7823.868096599843,0.6590049441859189,7824.5271015440285, 1.886381983152495e-08
               1.1837773122493747,                    0.01095616201428362,                    0.23114521143641226,      0.050021698893574884,       -0.0357903867604471,                   0.4747263203486693,                   0.7209830540931016,                  0.27732144361090594,                                  0.14034323613042235,                                  0.03666452064457805,                                      0.0053881633950157515,                                        0.20925863426291744, 7818.963542277794,0.6550636630797498, 7819.618605940874, 1.398327058365093e-10
               1.1845191523050764,                   0.012924557044640454,                    0.23141900914582017,       0.05054975276918655,      -0.03536694557945269,                  0.47381123178687007,                   0.7189451545977625,                   0.2802029248876471,                                  0.14148427529518678,                                  0.03484695289689063,                                        0.00587118417836346,                                        0.20977669364627974, 7823.812177175227,0.6550582844707741, 7824.467235459698,1.7837917142209222e-08
               1.1843816912158065,                   0.012258859398458707,                    0.23126773277584442,       0.05033853846934383,     -0.035610640396099014,                    0.473766238596498,                   0.7198162234606785,                  0.27927182891255903,                                  0.14095347662758237,                                   0.0354123398511321,                                       0.005417561819513418,                                        0.21264966132583119,  7823.65008310516, 0.647709378788789, 7824.297792483949, 1.516867275573242e-08
               1.1846474864015761,                   0.013296998278179078,                     0.2324400789018586,       0.05060438123830491,      -0.03523378460932408,                   0.4740475632457372,                   0.7201990183888467,                   0.2787439081435654,                                   0.1411457205837616,                                 0.035663694474291165,                                      0.0040643284323262875,                                        0.21252952315623513,  7822.13436848767,0.6513321139799035,  7822.78570060165, 3.331816599626936e-09
                1.183938333816199,                   0.011434898177536817,                    0.23090029721149422,       0.05004094641609036,      -0.03560764056231086,                   0.4746816646769219,                    0.720937357069968,                   0.2771267852700574,                                  0.14032027638694866,                                  0.03659365647371502,                                       0.006079240941875676,                                        0.21314101153326734, 7820.155163488933,0.6453237153439803, 7820.800487204277,4.6038723975718217e-10
                1.183102223918266,                   0.012958401821028833,                    0.23213723565008806,       0.05053049032393547,     -0.035398835310497256,                  0.47470970725132744,                    0.720360579813673,                   0.2795853479974866,                                  0.14134655977759336,                                  0.03533072956445869,                                      0.0032081526834428146,                                        0.21135741497895935, 7823.502086795685,0.6533418806230425, 7824.155428676308,1.3081983636212317e-08
