galaxies.lens.bulge.centre.centre_0,galaxies.lens.bulge.centre.centre_1,galaxies.lens.bulge.ell_comps.ell_comps_0,galaxies.lens.bulge.ell_comps.ell_comps_1,galaxies.lens.bulge.intensity,galaxies.lens.bulge.effective_radius,galaxies.lens.bulge.sersic_index,    log_likelihood,         log_prior,     log_posterior,                weight
                0.08723675879824028,               0.007368378495590739,                      0.09534618914585997,                      -0.1001959337711847,         0.011699924539588052,                  1.3767681885771257,               4.792151112055111, 29657.94542649488, 85.61949597782129,29743.564922472702,1.1498322847468499e-10
                0.08066359203930402,               0.009977672338800989,                      0.11645385535544076,                      -0.0665971191969383,          0.01629539614270375,                  1.1072927983827299,               4.598183536241024,29658.026302330007, 61.50370855183073,29719.530010881837,1.2466898608133935e-10
                 0.0799583769779979,                0.00770177076227804,                      0.07681922239536458,                     -0.06965375678222428,         0.009957644213082246,                  1.5667816953611795,               4.880724275852357,29658.361550535992,100.52094561333955, 29758.88249614933,1.7432307308872953e-10
                0.07799375843169672,                0.00399169099998106,                      0.11338790571765736,                     -0.07226494351585895,         0.012134699215573825,                  1.3582778021159032,               4.749221652706105,29657.979004997505,  82.5426277087743, 29740.52163270628,1.1890974750119302e-10
                 0.0832781850589316,                0.01140030928536513,                      0.09663441534990608,                     -0.09769084587417949,         0.012124845804020432,                  1.3396499127900687,               4.872522068973697,29658.020119611185, 82.61942529575435, 29740.63954490694,1.2390057069051762e-10
                0.08148525505574823,                0.00484598588792228,                      0.11984465237762855,                     -0.06719095144062076,         0.013506443160320339,                  1.2433844974386166,               4.660851379215586, 29659.72444906365, 74.18063027196013, 29733.90507933561, 3.004235293410764e-10
                0.08900376251146423,                0.00663946876822052,                      0.10414553547221558,                     -0.06966934927582119,         0.014827186379878399,                  1.1811732937347115,               4.653926129122824,29659.402256827314, 67.57515610625936,29726.977412933575,2.1767453906757127e-10
                0.08701139261445143,               0.011835510645437197,                      0.08659363555610643,                     -0.08119792703037666,         0.020036866929248512,                  0.9969107440576314,               4.104608597254746, 29660.00528896139, 50.02912794297399,29710.034416904364, 3.978333270287275e-10
                0.08657114831378193,               0.006214570767873681,                      0.12222844131547071,                     -0.09553601752969265,         0.021729338553256473,                  0.9380152480976802,              4.1018085847378725,29663.058452344212,46.196285108860415,29709.254737453073, 8.427003440849586e-09
                0.08396018237587588,               0.008504146854213824,                      0.09806759045389772,                     -0.06853026423575413,         0.019256192207058986,                  1.0494214416531833,               4.160956970355058,29660.220592124726, 52.05043193182254, 29712.27102405655, 4.934079440523079e-10
                0.08740987194194227,               0.009965278132330365,                      0.09086898785660119,                     -0.08804604547051129,         0.010510232467963322,                  1.5131287432125766,               4.861507273554871, 29663.29523955079, 95.27731338240655,29758.572552933194,1.0678458113129218e-08
                0.08327271742754389,               0.009582868802170859,                      0.13180912794154756,                       -0.071559906962814,         0.011007983056764157,                  1.4691867849374443,               4.850042149780334,29658.753765870628, 91.00716665340441,29749.760932524034,1.1380768503785778e-10
                0.08570618754013369,                0.00883025016438341,                      0.09258152060701423,                     -0.05761022998758484,         0.014695093040027392,                  1.2265343691023214,               4.548342238640013, 29663.26191082976, 68.15722530402012, 29731.41913613378,1.0328424253051278e-08
                0.08270917284764943,               0.005443326960152791,                       0.1245620336217532,                     -0.09381760431632535,         0.017562082638718998,                  1.0608836563702397,               4.338738884436651, 29663.36930859308,57.114120942396426,29720.483429535474,1.1499430288016402e-08
                0.08266731897400198,               0.011188347913772977,                      0.11254516846473855,                     -0.05918191743213795,         0.013369993798741632,                  1.2617769068022937,               4.773747680989128,29662.521429845485,  74.9228390955495,29737.444268941035,4.9254652953533804e-09
                0.08760200404673969,               0.009752564260771677,                      0.10416364539911457,                     -0.06380316467308962,          0.02237268674985727,                  0.9324086426923217,               3.890825181887097, 29659.01964964324,44.823414779572786,29703.843064422814,1.4847161914555242e-10
                0.08684696851594699,              0.0071920122960920565,                      0.12409449375219221,                     -0.06153143515930869,          0.01391294818677562,                  1.2746605524912396,               4.452658916234563,29659.036242208706, 72.02426829108259, 29731.06051049979, 1.509556958170611e-10
                0.08483025065662404,               0.011109341986399021,                      0.11593804268692956,                     -0.07403541527721892,         0.012743816137194629,                  1.3458083915027044,               4.685004467677314,29660.434480023556,  78.6152223692889,29739.049702392844, 6.110777511875394e-10
                0.07973820139657878,                0.00496404238155465,                      0.11320398656637468,                     -0.06593701636190938,          0.02042694297066132,                  0.9633466881651983,              4.1874082038712634, 29664.81161464588,49.085760576875764,29713.897375222758,4.8647652117168024e-08
                0.08141171994076064,               0.005157660736214029,                       0.0965847441467636,                      -0.1004940306143343,         0.009878271218220061,                  1.5752118842604583,               4.883846324819663,29663.150347742754,101.37718904997864, 29764.52753679273,  9.23810375843792e-09
                0.08460967269104742,               0.011262875256138154,                      0.10819738973083896,                    -0.058118624006184144,         0.015754035748309612,                  1.1318347391371444,               4.620125244828816,  29660.4327301452,  63.6000769071143,29724.032807052314, 6.100093744939364e-10
                0.08426224060362979,               0.012172105073005639,                      0.11100599047761296,                     -0.09002899084295643,          0.01958846153348976,                  1.0192514435297064,               4.153148419206511,29660.190287807043, 51.20421606640907,29711.394503873453, 4.786798426150915e-10
                0.08017511914260171,              0.0034845470266452877,                      0.10462701984917597,                     -0.05883955774707443,          0.01452624351267125,                  1.2022233272613343,               4.613800867548564,29660.134200349123, 68.95675055920783,29729.090950908332, 4.525709421100609e-10
                0.08790065075094063,               0.009789042581779739,                      0.10116343577931067,                     -0.08664870890934313,         0.017098858842752074,                  1.1105858913565125,               4.224194483594847, 29662.78894883305, 58.62545940202573,29721.414408235076, 6.436196331961296e-09
                0.08432645145499444,               0.005731896847968942,                      0.09313903298932341,                     -0.10602450975441555,          0.01957522977821543,                  1.0241412647956873,               4.062641048716504, 29659.96009164989,51.235301346953705,29711.195392996844,    3.802526232103e-10
                0.08141081447113413,               0.005516230879824494,                      0.08549139687565419,                     -0.06638355974815727,         0.012660053525513517,                  1.3452264428168674,                4.50163761724266,29663.366307886856, 79.09068373182802,29742.456991618685,1.1464975596044848e-08
                0.07977718795117207,               0.007691363442741599,                      0.11707623882420068,                      -0.0607288117569485,         0.020666279397574754,                  0.9574608759898002,               4.255757585120432,29661.268889403724, 48.52032790341951,29709.789217307145,1.4075889900055394e-09
                0.08190996023227988,               0.009825476132446805,                       0.0920022155111932,                     -0.09516873007578823,         0.021356017495168887,                  0.9753783808971154,               4.001325762262302, 29660.41426478647, 46.96036134948118, 29707.37462613595, 5.988486926803831e-10
                0.08497243026500016,               0.006422994996650045,                      0.08206068565419693,                     -0.07787726457007832,         0.009067319343773795,                  1.6550411895328239,               4.982340492095304,29665.100941996116,110.39762516615626, 29775.49856716227,  6.49703425301276e-08
                 0.0859618854898719,               0.009532324077118645,                       0.1068481233836521,                      -0.0600419844312427,         0.012384643823192681,                  1.3140408893748698,               4.755974011400411, 29658.68362489545, 80.87016660300833, 29739.55379149846,1.0609862386034206e-10
                0.08382452375368522,                0.00782582539861593,                       0.1355246685776245,                     -0.08027052918408978,         0.011962239485782082,                  1.3615802955858733,               4.809417080710473,29664.145224885742, 83.77359847946823, 29747.91882336521,2.4983454521587257e-08
                0.08144701900684816,              0.0032798115363220294,                      0.08877102025375394,                     -0.07435002725325537,         0.014626501868722783,                  1.2413167164961805,               4.411755730819533,29658.976543695095, 68.48045073381486, 29727.45699442891,1.4220758765289914e-10
                0.08207184712569807,                0.00805206531474486,                      0.07953817935978146,                     -0.06812614019254219,         0.011438759390624715,                  1.4509035027167045,               4.647858141778589, 29662.38557633765, 87.52077964785136,  29749.9063559855,4.2997859334392205e-09
                0.07872552072610084,                0.00767838612037835,                      0.10143548090237592,                     -0.09172263322177693,          0.01330228893866348,                  1.2745110914529005,              4.7118929775263245,29664.278108058825, 75.31369260533778,29739.591800664162, 2.853401714958481e-08
                0.08280082296737912,              0.0060840558679611965,                      0.11665020773869948,                      -0.0590664728790639,         0.009130159241015226,                  1.6325359185622266,                4.98723031411258,29662.697877721257,109.66038771308021,29772.358265434337, 5.875943378173098e-09
                 0.0838749507834574,               0.009900264816534875,                      0.10566842964002002,                     -0.07812515129299537,         0.025832071347925128,                  0.8363808980549015,               3.791258147712476,29660.150741834543,   38.847137291713,29698.997879126255,4.6011939696140116e-10
                0.08072752741455634,               0.007500588132151492,                       0.0855905605141889,                     -0.06769744343798091,         0.011390130201023998,                  1.3957095576183063,              4.8767544995937016,29662.701089544043, 87.89798606513288,29750.599075609178,  5.89484620702509e-09
