galaxies.lens.bulge.profile_list.59.centre.centre_0,galaxies.lens.bulge.profile_list.59.centre.centre_1,galaxies.lens.bulge.profile_list.29.ell_comps.ell_comps_0,galaxies.lens.bulge.profile_list.29.ell_comps.ell_comps_1,galaxies.lens.bulge.profile_list.59.ell_comps.ell_comps_0,galaxies.lens.bulge.profile_list.59.ell_comps.ell_comps_1,    log_likelihood,           log_prior,     log_posterior,                weight
                                0.07831283318852492,                              0.0017990098964234258,                                       -0.020218741512847,                                     -0.04320963437032235,                                      0.43076085598929753,                                      -0.3852507036136533, 22253.77254845085, -0.7244783464765224, 22253.04807010437,3.8965275987251057e-10
                                0.07958983889732549,                               0.001962426891630689,                                    -0.022284087379497327,                                     -0.06144588021423246,                                      0.43354554798664485,                                     -0.41222525490904877,22253.137881901413, -0.8684488465391986,22252.269433054873,2.0655969154089006e-10
                                  0.070955051210908,                              0.0018462731827438433,                                      0.33542694924615807,                                     -0.48354405919512766,                                     0.014219005054597538,                                     -0.07321759098068753,22256.434036602892, -0.8113683548043905, 22255.62266824809,5.5788845572640175e-09
                                0.07994410081601233,                               0.002440488939731894,                                   0.00031478617607460835,                                     -0.07672535017472078,                                       0.3521802721436163,                                     -0.47046219453794846, 22255.41822537557, -0.8078317316329487, 22254.61039364394, 2.020161843924663e-09
                                0.07315657121261357,                               0.004340245799663606,                                  -0.00016030873010527407,                                    -0.032830745194548684,                                        0.342883810120843,                                     -0.47494588546912514, 22255.84685148114, -0.7687666531305694, 22255.07808482801,3.1012452814585385e-09
                                0.08161270927821632,                              0.0047810217721887815,                                    -0.015198417863265258,                                     -0.05385067075112832,                                       0.3994662957356761,                                       -0.413720125919104,22259.266687163232,  -0.711254240737451,22258.555432922494, 9.478767749843733e-08
                                0.07599971807677852,                               0.002133430406070877,                                     0.015554600587011913,                                      -0.0669046891253112,                                       0.5068984621278959,                                     -0.46636097885834177,22256.056685396055, -1.5184111622403282,22254.538274233815, 3.825302883767353e-09
                                0.07902648772327434,                               0.008979239575241424,                                      0.34345907652576907,                                      -0.5096656896410285,                                   -0.0070128661411760366,                                     -0.03830415707479969, 22254.61522895645, -0.9633158547415038, 22253.65191310171, 9.050013983327075e-10
                                0.07654715298122455,                               0.007445768208046474,                                        0.354366188211923,                                     -0.49670229553281625,                                     0.009076744445217338,                                     -0.06275082224494453,22265.677468590246, -0.9470323965839119,22264.730436193662, 5.766587426409371e-05
                                0.07407208983068089,                                0.00787547968793198,                                    -0.005558123237730756,                                    -0.052261718334180744,                                      0.44333443779068804,                                      -0.4545153859007337,22252.899820623974,  -1.111383624202177, 22251.78843699977,1.6280092841431927e-10
                                0.07801076100999368,                               0.007313750225205001,                                        0.342276327323777,                                      -0.4480836033925964,                                     0.011696790850754002,                                     -0.07371850881111401,22254.073683788276, -0.6536691444479668,22253.420014643827,  5.26573709404926e-10
                                0.06896398896000253,                              0.0013557383451401062,                                       0.3575140362379982,                                     -0.48804863224961065,                                     -0.01101141297248891,                                    -0.049697728083421835,22260.582001894087, -0.9042004533763962, 22259.67780144071,3.5317163167157094e-07
                                0.07543695601271133,                              0.0023390124593789113,                                    0.0034991696831962794,                                     -0.06824627558680525,                                       0.4427493731909287,                                     -0.49204436433876986,22261.293014365358, -1.3164537495888493,22259.976560615767, 7.190756866590661e-07
                                0.07222411986645466,                               0.002238980295550766,                                        0.331163642263628,                                     -0.44197856187572115,                                     0.004639925864109737,                                     -0.07179540050758677, 22255.12908536441, -0.5797096012703251,22254.549375763138, 1.512914038306076e-09
                                0.07025714226795376,                              0.0023140438275871256,                                    -0.013454465596346115,                                     -0.04194526416672941,                                       0.4151266494273302,                                      -0.4032284593486886, 22253.20412274062, -0.7278942555084722, 22252.47622848511,2.2070572938570107e-10
                                0.08376012637752939,                              0.0052469675045500735,                                     0.007453906864189847,                                     -0.06829070441011434,                                       0.3910444994257008,                                      -0.4977743015751074,22253.680180439253, -1.1087302752422161, 22252.57145016401,3.5527351997843475e-10
