galaxies.lens_0.mass.centre.centre_0,galaxies.lens_0.mass.centre.centre_1,galaxies.lens_0.bulge.centre.centre_0,galaxies.lens_0.bulge.centre.centre_1,galaxies.lens_0.bulge.ell_comps.ell_comps_0,galaxies.lens_0.bulge.ell_comps.ell_comps_1,galaxies.lens_0.bulge.intensity,galaxies.lens_0.bulge.effective_radius,galaxies.lens_0.bulge.sersic_index,galaxies.lens_0.mass.ell_comps.ell_comps_0,galaxies.lens_0.mass.ell_comps.ell_comps_1,galaxies.lens_0.mass.einstein_radius,galaxies.lens_0.mass.slope,galaxies.lens_0.shear.gamma_1,galaxies.lens_0.shear.gamma_2,galaxies.lens_1.mass.centre.centre_0,galaxies.lens_1.mass.centre.centre_1,galaxies.lens_1.bulge.centre.centre_0,galaxies.lens_1.bulge.centre.centre_1,galaxies.lens_1.bulge.ell_comps.ell_comps_0,galaxies.lens_1.bulge.ell_comps.ell_comps_1,galaxies.lens_1.bulge.intensity,galaxies.lens_1.bulge.effective_radius,galaxies.lens_1.bulge.sersic_index,galaxies.lens_1.mass.ell_comps.ell_comps_0,galaxies.lens_1.mass.ell_comps.ell_comps_1,galaxies.lens_1.mass.einstein_radius,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,log_likelihood,log_prior,log_posterior,weight
0.0773651312761613,0.0070731736926231,0.0788078660991651,0.0093971406670136,0.065347931104872,-0.1241044959474145,0.0083089859418552,1.8571588536186503,4.992896558296839,0.0673342724385254,-0.1218743730381944,1.7022945581663298,2.133396670948735,0.0140981084160668,0.005513334335422,-0.0484843087175282,-0.0196225402991767,-0.0184656879888775,-0.0513227632258643,0.1050926332403807,0.2072414190361123,0.016667729182449,0.2194822495290689,2.6594465789156247,0.0575922989601658,0.193446507272554,0.1002571620329909,-0.2221618257978631,0.2949960090125784,0.334139165065923,0.412899593426878,0.2669887221046061,0.1483230710768871,1.621343153497356,31154.652152889343,186.37490070210444,31341.02705359145,0.0001
0.0793976830734912,0.00871673730722,0.0802102192398894,0.0109856087638328,0.0660547581329016,-0.1248769248716632,0.0088769857449837,1.8129531174292497,4.825654218992376,0.0617191704128054,-0.1301453490201449,1.705172321510123,2.1344690946027436,0.0075112868464888,0.0023531213162808,-0.0747502563709832,-0.0638378067791444,-0.0170295683983489,-0.0510421027677817,0.108692223627401,0.2049257248671549,0.0206922370383358,0.1937146767674263,2.415603011340764,0.1220187321902413,0.1200248396809467,0.0944999949914163,-0.2212391832329711,0.2995705673540114,0.3368417083432438,0.4211217993793384,0.2753369042098409,0.1394918979449846,1.5672937557299886,31151.422434573313,167.26907227639975,31318.69150684971,0.0001
0.0784526821992814,0.0111182757743808,0.0818285521941213,0.008749871034429,0.0688512901577139,-0.1297463611897434,0.0078921035270827,1.928577572918492,4.965613730651077,0.0714169086261747,-0.1293598940969792,1.6996869810976265,2.1468762103189745,0.0147163768372261,0.0109048379183171,-0.03038402202127,-0.0865953571032944,-0.0199625287950826,-0.049615858947802,0.1124437649973238,0.1896488969462303,0.0203364978896413,0.1980216502289105,2.4487696493444076,0.1048727751280387,0.218562733163618,0.1200169278609206,-0.2262406048118446,0.2977277821145372,0.3376973134285591,0.4071922328180555,0.2717998356770433,0.1462856696635449,1.626301014729297,31155.024123691084,182.0334530639256,31337.05757675501,0.0001
0.0790973526710831,0.0096980812895104,0.0804316069404075,0.0099002901765783,0.0667797393967522,-0.1188630846506501,0.0079240359560145,1.9417872089103632,4.97579404920145,0.0695664445490363,-0.1276150742864957,1.7058555796942338,2.134873236796883,0.0107566497368331,0.0060158474571421,-0.0529293223850708,-0.003622565367129,-0.019162916701469,-0.0503002149825112,0.1195671892384786,0.1773540235648611,0.0214599986563971,0.1887994444578621,2.4002704224698226,0.0941271670311176,0.1846265733002293,0.0981143387298834,-0.2187430356590566,0.3011959811480127,0.3566294103727345,0.397741447436318,0.26987582764178,0.1369173843640149,1.4368549367950585,31152.42433821532,178.82176648515147,31331.246104700473,0.0001
0.0784136337590813,0.0121151553809799,0.0793782469707646,0.009834596633473,0.0767744682038878,-0.1196027930524585,0.0102711927870416,1.6483703349569785,4.6824133547787365,0.0654917957765335,-0.1224652846245272,1.7088618079586897,2.124988267232743,0.0139441642446318,0.005218045310252,-0.0212308420901904,-0.0964568625244465,-0.0176433966960056,-0.0461040745320203,0.1089225423352672,0.1844189198874257,0.01955252048977,0.1976537583828751,2.4785853905816753,-0.0030103707018535,0.3453086953817913,0.096905990611801,-0.2161104629313791,0.2942216787735748,0.3267677770740358,0.4096776227745287,0.2630586795252267,0.1405465159677943,1.473696577168346,31145.763383507765,154.60662544613314,31300.370008953894,0.0001
0.0755667691533144,0.0103037426111557,0.0788011845056035,0.0086433268526353,0.0619380466266807,-0.1212527314141243,0.008805709240569,1.8123992439509409,4.828907293530948,0.064723392469061,-0.1166222754455334,1.7031334107076124,2.129872548699932,0.0197464720741918,0.0058966529111233,-0.021268317182599,-0.0500651102981865,-0.0195228791831203,-0.0477575630222514,0.1139198228253467,0.1786558574716641,0.020691058971034,0.1916116276482373,2.4244064812500623,0.0648213399521052,0.2905358704624395,0.0993282987594117,-0.2182220890914327,0.2931732740876265,0.3635174025941819,0.4078544211648185,0.2771663736861202,0.1469874360294538,1.7000144620435518,31157.97781959061,167.48992377560083,31325.46774336621,0.0001
0.0761255406306568,0.0083975718090379,0.078907104075059,0.0100522110930567,0.0721178346555609,-0.1188194339926424,0.0087484305295185,1.8081021112054911,4.898857381011256,0.0667007043140576,-0.1263107224950652,1.688060501766175,2.159181768254149,0.0176402186712006,0.0028366645198363,-0.0867890936314074,0.0328167039387476,-0.0222134304552324,-0.05100343426129,0.108993812526665,0.1756887506295422,0.0204598641550871,0.1998224486534261,2.401880544591985,0.0136972135037897,0.2705403628696173,0.124005841360183,-0.2265482299811524,0.2997083366671761,0.3440899824182374,0.4216525986313975,0.2775967978571068,0.1447101511905955,1.654394951382912,31154.957294259493,169.0859615965066,31324.043255856,0.0001
0.0806776713681981,0.0105771627232459,0.0781666830591162,0.0098096676553104,0.0717777757181279,-0.1224305793013524,0.0079438832119684,1.929789550917465,4.988536056161778,0.0666921726805809,-0.1351467536172093,1.69189006141642,2.1623608747932144,0.0131007538306018,0.0036431636468946,-0.0414283418334579,-0.0350722979724011,-0.0204678921961361,-0.0520635074124275,0.1132443501014379,0.1928622425760127,0.0212649023412224,0.1967576986120454,2.3896533707060605,0.128575991008717,0.1036985871980501,0.122401387221477,-0.2250148738933879,0.3045971397478145,0.3431687103391452,0.4094604442246796,0.2596870300237565,0.1414806536970534,1.3628096891638597,31155.585076389776,179.06989181987316,31334.65496820965,0.0001
0.078207556484811,0.0093771772379145,0.0801619289260655,0.0087392633579721,0.0617698347804561,-0.1208173211525822,0.0083230669938791,1.8784022775820104,4.907983924422071,0.0592968708391016,-0.1254016045367877,1.7156861655831477,2.112322515208855,0.0075926331918179,0.0008308725331258,-0.1521814954442182,-0.0012397183268503,-0.0177851541673095,-0.0490031118959409,0.1133145599000255,0.183522100561165,0.0197846605527398,0.1949653289050146,2.4867040198112935,0.0033666319597404,0.1829721096333969,0.0779454273391928,-0.2142237713643847,0.2946564428649981,0.3413585235392891,0.4132838043628448,0.2629917608066128,0.1286787837102904,1.3561374222853462,31146.410266077397,177.90695463385973,31324.31722071126,0.0001
0.0771334905866872,0.0087447325902029,0.0798321623387509,0.0107531295802174,0.0599029437975526,-0.1187452758360081,0.0085509895393924,1.8394006397317408,4.897496538110114,0.0659068552730249,-0.1248111879796035,1.680024622734271,2.171552278042491,0.0183824620631369,0.0016343398217591,-0.0529742948438637,0.086555009897475,-0.0206156120289125,-0.0524359153228005,0.1042142264958573,0.1893313276701628,0.0200214699160805,0.2003136969404365,2.5285112546309465,0.0601183584269225,0.2096128523550119,0.1283812729570305,-0.2230433245491789,0.3155029364360459,0.3540328510717973,0.3991707578227307,0.2787096764648901,0.1428791253488789,1.5781570947291794,31151.67935829673,173.06662931679665,31324.74598761352,0.0001
