galaxies.lens_0.bulge.ell_comps.ell_comps_0,galaxies.lens_0.bulge.ell_comps.ell_comps_1,galaxies.lens_0.bulge.intensity,galaxies.lens_0.mass.ell_comps.ell_comps_0,galaxies.lens_0.mass.ell_comps.ell_comps_1,galaxies.lens_0.mass.centre.centre_0,galaxies.lens_0.mass.centre.centre_1,galaxies.lens_0.mass.einstein_radius,galaxies.lens_0.bulge.effective_radius,galaxies.lens_0.bulge.sersic_index,galaxies.lens_0.shear.gamma_1,galaxies.lens_0.shear.gamma_2,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.sersic_index,galaxies.source.bulge.intensity,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.effective_radius,galaxies.lens_1.bulge.ell_comps.ell_comps_0,galaxies.lens_1.bulge.ell_comps.ell_comps_1,galaxies.lens_1.bulge.intensity,galaxies.lens_1.mass.ell_comps.ell_comps_0,galaxies.lens_1.mass.ell_comps.ell_comps_1,galaxies.lens_1.mass.centre.centre_0,galaxies.lens_1.mass.centre.centre_1,galaxies.lens_1.mass.einstein_radius,galaxies.lens_1.bulge.effective_radius,galaxies.lens_1.bulge.sersic_index,log_likelihood,log_prior,log_posterior,weight
0.049619447746834,-0.1287542701480934,0.0040394001562406,0.0600202791817412,-0.0780511445767717,0.080767475404345,0.0080690133933889,1.796051161026735,2.948783800394713,5.693447906289782,0.0288007295453139,0.0112684235082817,0.0255855597535855,-0.4454991315170966,1.0922974293695864,0.2345704306887881,0.4997489550015321,-0.2920717555128501,0.1028526790400586,0.0780906443408399,0.1723344629023281,0.0027158543462443,-0.0647240562098952,0.5711104718993143,-0.0032105286127105,-0.0411055086263937,1.1889791552479687,0.5962088581980192,4.624583013322569,27945.075203317705,602.7139897658016,28547.789193083507,0.0001
0.0586269693352481,-0.1244506373993385,0.0041009585432572,0.0503762643348477,-0.0847074223329244,0.0826217124237972,0.007416282577764,1.7971564267899187,2.8762700871062465,5.745853658808031,0.0232027204797037,0.0002178679509188,0.0718374456057078,-0.4886734004375774,1.16344906855408,0.2552842902819456,0.4989162338330355,-0.2955354359710813,0.1044184089210051,0.0656527942677401,0.1618487755609327,0.0022890011886658,-0.0913112725148964,0.5668855305687487,-0.0028197305239527,-0.0432138164715482,1.1886527361163737,0.6807372619644447,4.784154951812613,27942.27139823846,667.0742351131936,28609.34563335165,0.0001
0.0526518663090714,-0.1253832622885409,0.0039732210061288,0.0547355916528394,-0.0856069603322223,0.0814367626324895,0.0071965516893781,1.8001682345512375,2.957138192270241,5.743760364860284,0.0217999149483468,0.0067662237551076,0.0739558612185803,-0.4602910857307389,1.1313456541984304,0.2349697178909911,0.4999775102418319,-0.2854687894273667,0.1079802740179843,0.0572325179595725,0.1513864530139426,0.0029716710442039,-0.0924102062686135,0.5778516140702681,-0.0027525525928386,-0.0426364995121977,1.2100308080397466,0.5689345938962971,4.538892230200787,27944.079996763965,574.7577577211752,28518.83775448514,0.0001
0.0544345887040131,-0.1229936000525811,0.0042972919714392,0.0553174499154142,-0.0793299365468233,0.081853091708362,0.006462298573984,1.7986218345953398,2.8344494218432836,5.565546661217475,0.0281686563340454,0.0053443431143312,0.0444547057911626,-0.4618483298998842,1.1384948601447007,0.2373677950903831,0.4996868756045218,-0.2976092142360522,0.1024696845118676,0.0716618690704534,0.1794120090758585,0.0030850828298734,-0.0628125356487697,0.5680939028881052,-0.0023302976261986,-0.0422792408919213,1.1712302811010102,0.5470387833769952,4.510435779021188,27944.88951805422,545.289018043797,28490.178536098018,0.0001
0.0492733896634072,-0.1277482788624207,0.0046098935550979,0.0588109068656031,-0.0782387986913728,0.0828356322113896,0.0070047874958565,1.7978482581918722,2.690795645110841,5.535021928167984,0.0319649180132872,0.0100226073135235,0.0543763779581145,-0.4544923997147549,1.223808437251861,0.2434459501880033,0.4990289027154525,-0.2786012408892123,0.1033377716091026,0.0676711643805019,0.1880450522861494,0.0021319876353698,-0.0792354813059336,0.5897410729702823,-0.0020165300800626,-0.0428100445930096,1.2006154351831586,0.7209506532875471,4.8044767990071255,27935.06888353298,674.7784005261072,28609.847284059084,0.0001
0.0439208057751477,-0.1270553307113251,0.0038240619951123,0.0569137947079653,-0.0815772241268593,0.0813455523076735,0.0075830912293675,1.7977565354449143,3.0325208075177823,5.781908938120145,0.0247189037655328,0.0079516272622131,0.0150284442095467,-0.4635551905267324,1.0736322982401594,0.2346201963995395,0.4997901091015777,-0.2957311728119969,0.0997163920378658,0.073935083966686,0.1590836760822877,0.0028863609461768,-0.046574553264816,0.5652356803548263,-0.0026623527233345,-0.0425367533766016,1.1709919261154609,0.5640945848375728,4.673565636011023,27949.069053253665,593.6206487969438,28542.689702050608,0.0001
0.0582881184378246,-0.128158816125977,0.0041439397269399,0.0524341296796169,-0.0893000428567139,0.0817903150991092,0.007514119580417,1.7998387972063334,2.86140229177222,5.685399718403959,0.0178920101909615,0.0021324014902302,0.0104787744748384,-0.4719183948402867,1.0727444296344202,0.2454821432449052,0.4986044635410894,-0.2953423331497478,0.1007974958017976,0.068352095074654,0.1702959636056942,0.0024399916906451,-0.0743147536224337,0.5626067553930635,-0.0032590931987035,-0.0433141588971746,1.1757736466284432,0.654240624976892,4.719166964859834,27944.23124030143,638.3588635548315,28582.590103856262,0.0001
0.0489429114851682,-0.1276019955909513,0.0041007224824352,0.0588342896640709,-0.0894929921359159,0.0813154625938295,0.007261679765474,1.8006820624420403,2.895518220267811,5.695309238656907,0.018286457321926,0.0115826970383365,0.0488614189002581,-0.483377857587757,1.158182881694121,0.2463168126303678,0.4998245732926821,-0.2910812925863177,0.1075480473541603,0.076537625812612,0.2030434179282108,0.0027241154329587,-0.0719986052223716,0.5642685749957429,-0.0029655306394567,-0.0425605425134284,1.1928603268533633,0.5962795555939642,4.637056808532895,27945.31367086873,597.9467646606635,28543.260435529395,0.0001
0.0595192062616554,-0.1287698824839523,0.0044742131045591,0.0518864705216847,-0.0830581835304687,0.0801391796049713,0.0066097042382261,1.794916118101829,2.746076773343722,5.534243096157288,0.0229435880248076,0.0033592776724475,0.0661782010770659,-0.4705910333879676,1.2416904017089616,0.2479959196234281,0.4998957899556384,-0.2958732582660993,0.105205693752048,0.0524519625361376,0.1802861501112646,0.0020828059846682,-0.0782365592106821,0.5619907414201916,-0.0029303837562678,-0.0423685633638422,1.181511108055409,0.7146595420771653,4.968390978643086,27935.59297331824,691.6140367422748,28627.207010060516,0.0001
0.050655338853611,-0.1226506785658684,0.004358128363964,0.0613842023177017,-0.0871582264302588,0.0822711794888035,0.0070040513466135,1.8008560541373877,2.7710707846477205,5.613110167284839,0.0220762706500108,0.0139559923082254,0.107956500295376,-0.4605602346457372,1.1010134817523936,0.2426995149452122,0.4992209200168375,-0.2842215612918622,0.112249469834902,0.0615071676151761,0.1696535660042185,0.002726233318417,-0.1084662270103322,0.5787720432732626,-0.0035693528417453,-0.0432551165708032,1.235698171220756,0.6151788553873989,4.55121137806758,27942.234520844097,584.5860001653876,28526.82052100949,0.0001
