galaxies.lens_0.mass.centre.centre_0,galaxies.lens_0.mass.centre.centre_1,galaxies.lens_0.bulge.centre.centre_0,galaxies.lens_0.bulge.centre.centre_1,galaxies.lens_0.bulge.ell_comps.ell_comps_0,galaxies.lens_0.bulge.ell_comps.ell_comps_1,galaxies.lens_0.mass.ell_comps.ell_comps_0,galaxies.lens_0.mass.ell_comps.ell_comps_1,galaxies.lens_0.bulge.intensity,galaxies.lens_0.bulge.effective_radius,galaxies.lens_0.bulge.sersic_index,galaxies.lens_0.mass.einstein_radius,galaxies.lens_0.shear.gamma_1,galaxies.lens_0.shear.gamma_2,galaxies.lens_1.mass.centre.centre_0,galaxies.lens_1.mass.centre.centre_1,galaxies.lens_1.bulge.centre.centre_0,galaxies.lens_1.bulge.centre.centre_1,galaxies.lens_1.bulge.ell_comps.ell_comps_0,galaxies.lens_1.bulge.ell_comps.ell_comps_1,galaxies.lens_1.mass.ell_comps.ell_comps_0,galaxies.lens_1.mass.ell_comps.ell_comps_1,galaxies.lens_1.bulge.intensity,galaxies.lens_1.bulge.effective_radius,galaxies.lens_1.bulge.sersic_index,galaxies.lens_1.mass.einstein_radius,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,log_likelihood,log_prior,log_posterior,weight
0.0641934955018558,0.0027621128692679,0.0780321002209583,0.0083834764965917,0.0680455702809528,-0.1234085847108557,0.066294929830404,-0.0923647462211168,0.0089460532430883,1.7581323063956007,4.914474877761909,1.7875143718957391,0.0061360976434394,0.0243834831411052,-0.0887620704861724,0.0324342126225017,-0.0114080677085942,-0.0431882113488815,0.0944931517673145,0.2341312580986976,0.0999608053038546,-0.4143320829107195,0.0083598174730942,0.2919469726004909,3.343577348155539,0.0003939308799899,-0.1996920400791061,0.2632548288965645,0.3219552761952948,0.409444273621142,0.2460159077113608,0.1276443116597508,1.451409161055481,31007.38202609449,236.59078951143377,31243.97281560592,0.0001
0.0611734946495839,0.0026545717413208,0.0766104489480254,0.0092625570364993,0.0697414683637688,-0.122954415689908,0.0636910586973932,-0.0887901423785011,0.0089687390662217,1.7480644266790144,4.928989983884987,1.784095872030856,0.0082756192233915,0.0215852164406319,-0.1087574641752877,0.2084604757993366,-0.0131975637889676,-0.0425118673968973,0.0850880865236515,0.2111303842332508,0.2243975430118914,-0.257354625664266,0.0080127070115183,0.2971670783073369,3.394830786786069,0.0001972527462511,-0.2006653293201049,0.2583931963742392,0.3358645040062148,0.3998747677083915,0.2486756507104996,0.1302383097314657,1.5922622204461916,31003.781528405965,244.15471413343428,31247.9362425394,0.0001
0.06071655762796,0.0013589523066698,0.0793912820613216,0.0086873982821398,0.071335071399908,-0.1304189042106382,0.0653094847065025,-0.0915887677489512,0.0085564252402817,1.8052890461057336,4.937250863950694,1.783940598589176,0.0051023032447174,0.0225586461044082,-0.0227857852688791,-0.0248155482436115,-0.0138754774092568,-0.0437236535272582,0.0926736442889824,0.2359255427526564,0.0977673553630611,0.9571052268423064,0.0081980991142397,0.2936357245197153,3.387385836193687,0.0003737700670385,-0.2005285352606972,0.2629499827399263,0.3175734380538825,0.4254305454397046,0.2605157739846885,0.1273268325166201,1.6276450519026715,31007.33149713956,239.19782857848324,31246.52932571804,0.0001
0.0641192511247375,0.0037446931238911,0.0785012045412761,0.0095300381926826,0.066587776813598,-0.1254661769515456,0.0687844099979911,-0.0902713611192369,0.0095549566943378,1.6901621273483682,4.836716561030392,1.787566541876689,0.0068311670806399,0.0245101212532152,-0.0138283975009371,-0.0926516422463064,-0.0112614179899217,-0.0417204394133371,0.1093780347252974,0.2194490045273728,0.4322079426218921,0.4313844686642972,0.0071915322097463,0.3237740601153234,3.45658139438389,0.0002520885717153,-0.1983551648597266,0.2661639381695906,0.315540989047292,0.4000709399072995,0.2498306839328838,0.1287990990222486,1.5784030050945164,31005.01634616549,247.85683928053737,31252.873185446027,0.0001
0.0607548389514288,-0.0005649584865888,0.0797407437145216,0.009177537325415,0.068712388703994,-0.1210219843375207,0.0658587273124166,-0.0801397497898795,0.0101217295264651,1.6280552541296698,4.752742976208956,1.7856077049929957,0.0126844889094374,0.0246606186174409,0.0646040633557165,-0.2234420716699137,-0.0106795925194877,-0.0437801705059949,0.0840253606557123,0.2339217355755812,-0.0723851198043344,-0.1835527728610102,0.0063357009745458,0.343680948525371,3.615809339786616,0.0001063458848757,-0.2024595232720898,0.2600163563255281,0.3263193688936723,0.4219894291793643,0.2563514402443407,0.1250152503545004,1.56144668281538,30998.80539275219,264.64219878942475,31263.44759154162,0.0001
0.0613795425952402,0.002181075657465,0.0784344209716092,0.0083715249549233,0.0662771043462758,-0.1250932928096423,0.0663935214469265,-0.0861283872593644,0.0088386302448028,1.769043212535822,4.929277961913119,1.7840793725058577,0.0098986627534271,0.0226652011014369,-0.0655214076064681,-0.1271465060359334,-0.0136337831892541,-0.0440964530133006,0.1084415874311736,0.2261934808964831,0.429288242498719,-0.3189770152193381,0.0080988482411212,0.2925991431441267,3.445915417065883,4.0826658326801864e-05,-0.1992543915637372,0.2595244968294898,0.3226700952186396,0.4213120611246506,0.250724760356822,0.1251954509523371,1.494194108821468,31010.689486603565,241.64748785032455,31252.33697445389,0.0001
0.0641092921192209,0.0032023674651816,0.079682802795586,0.009957686858171,0.0611266196154717,-0.1286654440268274,0.0674536204215153,-0.0908699027065339,0.0085765293642061,1.7997449813341335,4.967189911263467,1.783713145196933,0.0057416980286337,0.0227091988775269,0.150404357968902,-0.0001988643850939,-0.0123663108593706,-0.0429215817797272,0.1115949396168137,0.2335297293112878,-0.3603229142216866,0.3837211195829498,0.0097811852711459,0.2669490646134222,3.1504309285517236,0.0003269404561124,-0.1970805908435298,0.2631344672546159,0.3282035711733176,0.4205041667104385,0.2484744276629331,0.1286648516710429,1.5573113309971998,31006.561953352415,224.03836990637197,31230.600323258783,0.0001
0.0622739576344548,0.001383712728334,0.0793393902108793,0.0077036782211027,0.0695437888672365,-0.1242301658395712,0.0658776889803121,-0.0903693333185299,0.0099632057627051,1.6573467808033004,4.714107017563774,1.786152768206693,0.006689170543332,0.0225323131761089,-0.1295161145353067,-0.0342713932367366,-0.0128124608253544,-0.0448075378407354,0.0811689798174547,0.2191461294786537,-0.6359583668988534,-0.0569323492842293,0.0091277681774525,0.276180128054619,3.2744153944748327,9.311532500212492e-05,-0.1995053505134,0.2587407960945998,0.3174477563378349,0.4154876147879496,0.2471539902652516,0.1260078374355316,1.5178033311923118,31006.831748720073,214.3049197761672,31221.13666849624,0.0001
0.061584221302448,0.0044312723254171,0.0777943679521813,0.0101243501461676,0.0653871050096848,-0.1222287236738118,0.0661192351899206,-0.0949009840008046,0.0099297426317033,1.638721434257151,4.770120694417688,1.7858554001725828,0.004853436994421,0.0217112914378366,-0.0173601115724506,0.1234799177604188,-0.0145375088167483,-0.0427861444987394,0.1056460699241719,0.2257566246704729,0.0898599144486731,0.4623320680622388,0.009071624197858,0.2829351883822293,3.226960194384226,7.493844793851991e-05,-0.1978873778498788,0.2637614580626205,0.3311187496308714,0.4014995213605683,0.2502185111169709,0.1233004294008989,1.4594038320335136,31000.50249888271,216.1621907919675,31216.66468967468,0.0001
0.0626395365892457,0.0008423284771782,0.0775611477263887,0.0104699984422737,0.0672967105987087,-0.128236140511396,0.0627507829447465,-0.0872105680278344,0.0090066100129022,1.7654295699178042,4.861726509337277,1.7808745412897429,0.0087040213230389,0.019645603618546,-0.0986739197794866,0.058454675888952,-0.0120291239776216,-0.0445434098366379,0.1096844864586801,0.205687664462062,0.1234021692454705,-0.0427374923986252,0.0083331544320219,0.2875046621077031,3.4089691400559223,0.0004427891922315,-0.1971664398317278,0.2620941442886059,0.3290608783218214,0.4095914040387178,0.2419122255799547,0.1261953433321579,1.4636140715337853,31004.22763756224,237.42154822485873,31241.649185787097,0.0001
